Specimen_ID,Mix_ID,Test_Temperature_C,Ambient_Strength_MPa,Insitu_Strength_MPa,Strength_Retention_Percent,Ambient_Modulus_GPa,Insitu_Modulus_GPa,Modulus_Retention_Percent,Failure_Mode,Test_Date,Operator,Notes
IST-CTRL-200-1,CTRL,200,50.2,45.2,90.0,32.0,28.8,90.0,Cone,2024-03-13,Tech_A,Moderate reduction at 200C
IST-CTRL-200-2,CTRL,200,49.8,44.8,90.0,31.7,28.5,90.0,Cone,2024-03-13,Tech_A,Moderate reduction at 200C
IST-CTRL-200-3,CTRL,200,50.4,45.4,90.1,32.8,29.5,90.0,Cone,2024-03-13,Tech_A,Moderate reduction at 200C
IST-CTRL-400-1,CTRL,400,50.2,30.1,60.0,32.0,16.0,50.0,Cone-Shear,2024-03-14,Tech_B,Significant degradation
IST-CTRL-400-2,CTRL,400,49.8,29.9,60.0,31.7,15.9,50.1,Cone-Shear,2024-03-14,Tech_B,Significant degradation
IST-CTRL-400-3,CTRL,400,50.4,30.2,60.0,32.8,16.4,50.0,Cone-Shear,2024-03-14,Tech_B,Significant degradation
IST-CTRL-600-1,CTRL,600,50.2,15.1,30.0,32.0,6.4,20.0,Shear,2024-03-15,Tech_A,Severe degradation
IST-CTRL-600-2,CTRL,600,49.8,14.9,30.0,31.7,6.3,19.9,Shear,2024-03-15,Tech_A,Severe degradation
IST-CTRL-600-3,CTRL,600,50.4,15.1,30.0,32.8,6.6,20.1,Shear,2024-03-15,Tech_A,Severe degradation
IST-CTRL-800-1,CTRL,800,50.2,5.0,10.0,32.0,1.6,5.0,Brittle,2024-03-16,Tech_B,Critical degradation
IST-CTRL-800-2,CTRL,800,49.8,5.0,10.0,31.7,1.6,5.0,Brittle,2024-03-16,Tech_B,Critical degradation
IST-CTRL-800-3,CTRL,800,50.4,5.0,9.9,32.8,1.6,4.9,Brittle,2024-03-16,Tech_B,Critical degradation
IST-RC10-200-1,RC-10,200,45.0,41.4,92.0,25.9,24.3,93.8,Cone-Shear,2024-03-17,Tech_A,Better retention than control
IST-RC10-200-2,RC-10,200,44.6,41.0,91.9,25.1,23.6,94.0,Cone-Shear,2024-03-17,Tech_A,Better retention than control
IST-RC10-200-3,RC-10,200,45.4,41.7,91.9,26.7,25.1,94.0,Cone-Shear,2024-03-17,Tech_A,Better retention than control
IST-RC10-400-1,RC-10,400,45.0,31.5,70.0,25.9,15.5,59.8,Cone-Shear,2024-03-18,Tech_B,Improved high-temp performance
IST-RC10-400-2,RC-10,400,44.6,31.2,70.0,25.1,15.1,60.2,Cone-Shear,2024-03-18,Tech_B,Improved high-temp performance
IST-RC10-400-3,RC-10,400,45.4,31.8,70.0,26.7,16.0,59.9,Cone-Shear,2024-03-18,Tech_B,Improved high-temp performance
IST-RC20-400-1,RC-20,400,40.0,30.0,75.0,19.5,12.2,62.6,Shear,2024-03-19,Tech_A,Excellent retention
IST-RC20-400-2,RC-20,400,39.5,29.6,75.0,18.7,11.7,62.6,Shear,2024-03-19,Tech_A,Excellent retention
IST-RC20-400-3,RC-20,400,40.4,30.3,75.0,20.3,12.7,62.6,Shear,2024-03-19,Tech_A,Excellent retention
IST-RC20-600-1,RC-20,600,40.0,24.0,60.0,19.5,9.8,50.3,Shear,2024-03-20,Tech_B,Much better than control
IST-RC20-600-2,RC-20,600,39.5,23.7,60.0,18.7,9.4,50.3,Shear,2024-03-20,Tech_B,Much better than control
IST-RC20-600-3,RC-20,600,40.4,24.2,59.9,20.3,10.2,50.2,Shear,2024-03-20,Tech_B,Much better than control
IST-RC30-600-1,RC-30,600,35.0,24.5,70.0,14.3,8.6,60.1,Shear,2024-03-21,Tech_A,Outstanding performance
IST-RC30-600-2,RC-30,600,34.5,24.2,70.1,13.7,8.2,59.9,Shear,2024-03-21,Tech_A,Outstanding performance
IST-RC30-600-3,RC-30,600,35.4,24.8,70.1,14.9,8.9,59.7,Shear,2024-03-21,Tech_A,Outstanding performance
IST-RC30-800-1,RC-30,800,35.0,17.5,50.0,14.3,5.7,39.9,Shear,2024-03-22,Tech_B,Exceptional compared to control
IST-RC30-800-2,RC-30,800,34.5,17.3,50.1,13.7,5.5,40.1,Shear,2024-03-22,Tech_B,Exceptional compared to control
IST-RC30-800-3,RC-30,800,35.4,17.7,50.0,14.9,6.0,40.3,Shear,2024-03-22,Tech_B,Exceptional compared to control
IST-RC15SF-400-1,RC-15-SF,400,48.0,36.0,75.0,26.7,17.3,64.8,Cone-Shear,2024-03-23,Tech_A,SF improves high-temp performance
IST-RC15SF-400-2,RC-15-SF,400,47.5,35.6,75.0,25.9,16.8,64.9,Cone-Shear,2024-03-23,Tech_A,SF improves high-temp performance
IST-RC15SF-400-3,RC-15-SF,400,48.4,36.3,75.0,27.5,17.8,64.7,Cone-Shear,2024-03-23,Tech_A,SF improves high-temp performance
IST-RC15SF-600-1,RC-15-SF,600,48.0,28.8,60.0,26.7,13.4,50.2,Shear,2024-03-24,Tech_B,SF provides thermal stability
IST-RC15SF-600-2,RC-15-SF,600,47.5,28.5,60.0,25.9,13.0,50.2,Shear,2024-03-24,Tech_B,SF provides thermal stability
IST-RC15SF-600-3,RC-15-SF,600,48.4,29.0,59.9,27.5,13.8,50.2,Shear,2024-03-24,Tech_B,SF provides thermal stability
