Temperature_C,Permeability_m2,Standard_Deviation,Damage_Level,Test_Method,Specimen_ID,Rubber_Content_Percent,Pressure_Gradient_MPa_m,Notes
20,2.8e-17,0.5e-17,Undamaged,Gas_Permeability,RC-PERM-01,0,0.2,Reference_permeability
20,4.2e-17,0.6e-17,Undamaged,Gas_Permeability,RC-PERM-02,10,0.2,Higher_with_rubber
20,6.5e-17,0.8e-17,Undamaged,Gas_Permeability,RC-PERM-03,20,0.2,Much_higher
20,9.8e-17,1.2e-17,Undamaged,Gas_Permeability,RC-PERM-04,30,0.2,Highest_initial
100,3.2e-17,0.6e-17,Undamaged,Gas_Permeability,RC-PERM-01,0,0.2,Slight_increase
100,4.8e-17,0.7e-17,Undamaged,Gas_Permeability,RC-PERM-02,10,0.2,Slight_increase
100,7.5e-17,0.9e-17,Undamaged,Gas_Permeability,RC-PERM-03,20,0.2,Slight_increase
100,11.2e-17,1.4e-17,Undamaged,Gas_Permeability,RC-PERM-04,30,0.2,Slight_increase
200,5.8e-17,0.8e-17,Minor,Gas_Permeability,RC-PERM-01,0,0.2,Dehydration_opens_pores
200,8.5e-17,1.0e-17,Minor,Gas_Permeability,RC-PERM-02,10,0.2,Enhanced_porosity
200,13.2e-17,1.6e-17,Minor,Gas_Permeability,RC-PERM-03,20,0.2,High_porosity
200,19.8e-17,2.4e-17,Minor,Gas_Permeability,RC-PERM-04,30,0.2,Very_high_porosity
300,1.5e-16,0.2e-16,Moderate,Gas_Permeability,RC-PERM-01,0,0.2,Microcracking_begins
300,2.2e-16,0.3e-16,Moderate,Gas_Permeability,RC-PERM-02,10,0.2,Rubber_voids_form
300,3.5e-16,0.4e-16,Moderate,Gas_Permeability,RC-PERM-03,20,0.2,Connected_voids
300,5.3e-16,0.6e-16,Moderate,Gas_Permeability,RC-PERM-04,30,0.2,High_connectivity
400,4.8e-16,0.6e-16,Moderate,Gas_Permeability,RC-PERM-01,0,0.2,Extensive_microcracking
400,7.2e-16,0.9e-16,Moderate,Gas_Permeability,RC-PERM-02,10,0.2,Large_void_network
400,1.15e-15,1.4e-16,Moderate,Gas_Permeability,RC-PERM-03,20,0.2,Very_permeable
400,1.75e-15,2.1e-16,Moderate,Gas_Permeability,RC-PERM-04,30,0.2,Highly_permeable
500,1.58e-15,2.0e-16,Severe,Gas_Permeability,RC-PERM-01,0,0.2,Severe_damage
500,2.42e-15,3.0e-16,Severe,Gas_Permeability,RC-PERM-02,10,0.2,Major_void_space
500,3.85e-15,4.7e-16,Severe,Gas_Permeability,RC-PERM-03,20,0.2,Interconnected_network
500,5.88e-15,7.2e-16,Severe,Gas_Permeability,RC-PERM-04,30,0.2,Open_structure
600,5.25e-15,6.5e-16,Severe,Gas_Permeability,RC-PERM-01,0,0.2,Critical_damage
600,8.05e-15,1.0e-15,Severe,Gas_Permeability,RC-PERM-02,10,0.2,Very_open_structure
600,1.28e-14,1.6e-15,Severe,Gas_Permeability,RC-PERM-03,20,0.2,Extremely_permeable
600,1.96e-14,2.4e-15,Severe,Gas_Permeability,RC-PERM-04,30,0.2,Maximum_permeability
700,1.82e-14,2.3e-15,Critical,Gas_Permeability,RC-PERM-01,0,0.2,Near_collapse
700,2.78e-14,3.5e-15,Critical,Gas_Permeability,RC-PERM-02,10,0.2,Skeletal_structure
700,4.42e-14,5.5e-15,Critical,Gas_Permeability,RC-PERM-03,20,0.2,Loose_matrix
700,6.76e-14,8.5e-15,Critical,Gas_Permeability,RC-PERM-04,30,0.2,Very_loose_matrix
800,6.35e-14,8.0e-15,Critical,Gas_Permeability,RC-PERM-01,0,0.2,Fragmented
800,9.72e-14,1.2e-14,Critical,Gas_Permeability,RC-PERM-02,10,0.2,Highly_fragmented
800,1.54e-13,1.9e-14,Critical,Gas_Permeability,RC-PERM-03,20,0.2,Severely_fragmented
800,2.36e-13,3.0e-14,Critical,Gas_Permeability,RC-PERM-04,30,0.2,Maximum_fragmentation
900,2.18e-13,2.7e-14,Collapse,Gas_Permeability,RC-PERM-01,0,0.2,Structural_collapse
900,3.34e-13,4.2e-14,Collapse,Gas_Permeability,RC-PERM-02,10,0.2,Major_collapse
900,5.31e-13,6.6e-14,Collapse,Gas_Permeability,RC-PERM-03,20,0.2,Extensive_collapse
900,8.12e-13,1.0e-13,Collapse,Gas_Permeability,RC-PERM-04,30,0.2,Complete_collapse
1000,7.55e-13,9.5e-14,Collapse,Gas_Permeability,RC-PERM-01,0,0.2,Powder_state
1000,1.15e-12,1.4e-13,Collapse,Gas_Permeability,RC-PERM-02,10,0.2,Powder_like
1000,1.83e-12,2.3e-13,Collapse,Gas_Permeability,RC-PERM-03,20,0.2,Loose_powder
1000,2.80e-12,3.5e-13,Collapse,Gas_Permeability,RC-PERM-04,30,0.2,Completely_disaggregated
