Temperature_C,Total_Porosity_Percent,Capillary_Porosity_Percent,Gel_Porosity_Percent,Average_Pore_Size_nm,Test_Method,Specimen_ID,Rubber_Content_Percent,Notes
20,12.5,8.2,4.3,45.2,MIP,RC-POR-01,0,Reference_porosity
20,15.8,10.8,5.0,68.5,MIP,RC-POR-02,10,Rubber_increases_porosity
20,19.2,13.5,5.7,92.3,MIP,RC-POR-03,20,Higher_porosity
20,22.8,16.5,6.3,118.7,MIP,RC-POR-04,30,Highest_initial_porosity
100,13.2,8.8,4.4,48.5,MIP,RC-POR-01,0,Minimal_change
100,16.6,11.5,5.1,72.8,MIP,RC-POR-02,10,Minimal_change
100,20.1,14.3,5.8,98.2,MIP,RC-POR-03,20,Minimal_change
100,23.9,17.4,6.5,125.8,MIP,RC-POR-04,30,Minimal_change
200,15.8,11.2,4.6,65.3,MIP,RC-POR-01,0,Dehydration_effects
200,19.5,14.2,5.3,95.2,MIP,RC-POR-02,10,Enhanced_porosity
200,23.6,17.5,6.1,128.5,MIP,RC-POR-03,20,High_porosity
200,28.2,21.2,7.0,165.8,MIP,RC-POR-04,30,Very_high_porosity
300,19.2,14.8,4.4,88.5,MIP,RC-POR-01,0,C-S-H_dehydration
300,23.5,18.5,5.0,125.8,MIP,RC-POR-02,10,Rubber_degradation
300,28.4,22.8,5.6,168.5,MIP,RC-POR-03,20,Large_pores_forming
300,33.8,27.6,6.2,218.5,MIP,RC-POR-04,30,Very_large_pores
400,24.5,20.2,4.3,128.5,MIP,RC-POR-01,0,Progressive_damage
400,29.2,24.5,4.7,175.2,MIP,RC-POR-02,10,Void_formation
400,34.8,29.6,5.2,235.8,MIP,RC-POR-03,20,Large_void_network
400,41.2,35.2,6.0,308.5,MIP,RC-POR-04,30,Extensive_voids
500,31.8,27.5,4.3,185.2,MIP,RC-POR-01,0,Severe_damage
500,36.8,32.3,4.5,248.5,MIP,RC-POR-02,10,Major_void_space
500,43.2,38.2,5.0,328.5,MIP,RC-POR-03,20,Interconnected_voids
500,50.5,45.0,5.5,425.8,MIP,RC-POR-04,30,Open_structure
600,40.2,36.2,4.0,285.8,MIP,RC-POR-01,0,Critical_damage
600,45.8,41.5,4.3,368.5,MIP,RC-POR-02,10,Very_open_structure
600,52.8,48.2,4.6,475.2,MIP,RC-POR-03,20,Extremely_porous
600,60.5,55.5,5.0,608.5,MIP,RC-POR-04,30,Maximum_porosity
700,49.5,46.0,3.5,425.8,MIP,RC-POR-01,0,Near_collapse
700,55.2,51.5,3.7,528.5,MIP,RC-POR-02,10,Skeletal_structure
700,62.5,58.6,3.9,658.5,MIP,RC-POR-03,20,Loose_matrix
700,70.2,66.2,4.0,818.5,MIP,RC-POR-04,30,Very_loose_matrix
800,59.8,56.8,3.0,685.2,MIP,RC-POR-01,0,Fragmented
800,65.5,62.3,3.2,825.8,MIP,RC-POR-02,10,Highly_fragmented
800,72.5,69.2,3.3,1025.8,MIP,RC-POR-03,20,Severely_fragmented
800,79.8,76.5,3.3,1285.5,MIP,RC-POR-04,30,Maximum_fragmentation
900,70.2,67.8,2.4,1125.8,MIP,RC-POR-01,0,Structural_collapse
900,75.8,73.6,2.2,1328.5,MIP,RC-POR-02,10,Major_collapse
900,82.5,80.5,2.0,1625.8,MIP,RC-POR-03,20,Extensive_collapse
900,88.5,86.7,1.8,2025.5,MIP,RC-POR-04,30,Complete_collapse
1000,80.5,78.8,1.7,1825.5,MIP,RC-POR-01,0,Powder_state
1000,85.2,83.7,1.5,2125.8,MIP,RC-POR-02,10,Powder_like
1000,90.8,89.5,1.3,2625.5,MIP,RC-POR-03,20,Loose_powder
1000,95.2,94.2,1.0,3425.8,MIP,RC-POR-04,30,Completely_disaggregated
