x_mm,y_mm,z_m
-25.291526,-21.072180,-8.489120586e-09
-24.488621,-21.072180,-2.082679548e-08
-23.685715,-21.072180,-1.191665255e-07
-22.882809,-21.072180,2.965939732e-08
-22.079904,-21.072180,-1.533691723e-07
-21.276998,-21.072180,-4.331730025e-08
-20.474093,-21.072180,5.476167193e-08
-19.671187,-21.072180,-2.705879678e-08
-18.868281,-21.072180,1.330396373e-07
-18.065376,-21.072180,-5.564235030e-08
-17.262470,-21.072180,-1.217215164e-07
-16.459565,-21.072180,-1.167923432e-07
-15.656659,-21.072180,9.601608891e-08
-14.853754,-21.072180,-1.813089744e-08
-14.050848,-21.072180,2.440541592e-08
-13.247942,-21.072180,-2.051933646e-07
-12.445037,-21.072180,-9.016470844e-08
-11.642131,-21.072180,-2.061563591e-07
-10.839226,-21.072180,-5.319260181e-08
-10.036320,-21.072180,-2.831704282e-09
-9.233414,-21.072180,-5.454521079e-08
-8.430509,-21.072180,4.915989802e-08
-7.627603,-21.072180,2.878919801e-07
-6.824698,-21.072180,-1.650582140e-07
-6.021792,-21.072180,1.740868883e-07
-5.218886,-21.072180,2.403459767e-07
-4.415981,-21.072180,-1.771405777e-07
-3.613075,-21.072180,-6.949512612e-08
-2.810170,-21.072180,-1.914535683e-07
-2.007264,-21.072180,-1.505761282e-07
-1.204358,-21.072180,-1.435646705e-07
-0.401453,-21.072180,9.309726314e-08
0.401453,-21.072180,-7.783959135e-08
1.204358,-21.072180,-1.243209601e-07
2.007264,-21.072180,-4.098877726e-08
2.810170,-21.072180,-3.842147620e-08
3.613075,-21.072180,3.798709562e-08
4.415981,-21.072180,-2.708451607e-10
5.218886,-21.072180,-6.272720137e-08
6.021792,-21.072180,-2.039546017e-08
6.824698,-21.072180,2.167406053e-08
7.627603,-21.072180,-2.678824173e-07
8.430509,-21.072180,-1.036051014e-08
9.233414,-21.072180,-2.050419716e-08
10.036320,-21.072180,-1.747436850e-07
10.839226,-21.072180,-6.807265413e-08
11.642131,-21.072180,-1.185894106e-07
12.445037,-21.072180,6.444090529e-08
13.247942,-21.072180,-8.399580402e-08
14.050848,-21.072180,-1.216993222e-07
14.853754,-21.072180,-2.297740899e-08
15.656659,-21.072180,-2.683422014e-07
16.459565,-21.072180,-8.997450278e-08
17.262470,-21.072180,-4.920167248e-08
18.065376,-21.072180,-2.704103660e-09
18.868281,-21.072180,8.780032993e-09
19.671187,-21.072180,-3.584197247e-08
20.474093,-21.072180,1.047632600e-07
21.276998,-21.072180,3.074197111e-08
22.079904,-21.072180,3.880128985e-08
22.882809,-21.072180,1.756955625e-07
23.685715,-21.072180,-1.056559412e-08
24.488621,-21.072180,3.252031825e-10
25.291526,-21.072180,-5.207327398e-08
-25.291526,-20.403222,-5.541936000e-08
-24.488621,-20.403222,-8.728131446e-08
-23.685715,-20.403222,5.790916431e-08
-22.882809,-20.403222,-1.953654588e-07
-22.079904,-20.403222,1.239860673e-09
-21.276998,-20.403222,-4.459397473e-08
-20.474093,-20.403222,4.435116882e-08
-19.671187,-20.403222,5.104564586e-08
-18.868281,-20.403222,-2.437538560e-08
-18.065376,-20.403222,-2.053365260e-07
-17.262470,-20.403222,1.156682320e-07
-16.459565,-20.403222,-7.790128345e-08
-15.656659,-20.403222,-1.962486970e-07
-14.853754,-20.403222,-7.025993138e-08
-14.050848,-20.403222,-1.335838371e-07
-13.247942,-20.403222,-1.521788405e-07
-12.445037,-20.403222,1.183427057e-07
-11.642131,-20.403222,1.015622899e-07
-10.839226,-20.403222,1.669251488e-07
-10.036320,-20.403222,-4.978807630e-08
-9.233414,-20.403222,-6.393217242e-08
-8.430509,-20.403222,-1.105831440e-07
-7.627603,-20.403222,-1.993284216e-07
-6.824698,-20.403222,1.086849248e-07
-6.021792,-20.403222,8.917653627e-08
-5.218886,-20.403222,8.729986808e-08
-4.415981,-20.403222,-1.662511037e-07
-3.613075,-20.403222,3.473180210e-08
-2.810170,-20.403222,1.382972373e-07
-2.007264,-20.403222,-1.053693527e-07
-1.204358,-20.403222,-5.555556206e-08
-0.401453,-20.403222,-5.982928679e-08
0.401453,-20.403222,-5.612547674e-08
1.204358,-20.403222,4.236821209e-08
2.007264,-20.403222,-2.402564954e-07
2.810170,-20.403222,-1.416435364e-07
3.613075,-20.403222,-5.374418968e-09
4.415981,-20.403222,-1.794432559e-08
5.218886,-20.403222,-9.605599830e-08
6.021792,-20.403222,-1.629403460e-07
6.824698,-20.403222,3.053373027e-08
7.627603,-20.403222,-1.072007681e-07
8.430509,-20.403222,3.618658135e-08
9.233414,-20.403222,-7.284951352e-08
10.036320,-20.403222,-2.605588371e-08
10.839226,-20.403222,4.373659090e-08
11.642131,-20.403222,-1.085514132e-07
12.445037,-20.403222,-1.211240457e-07
13.247942,-20.403222,-1.156122879e-07
14.050848,-20.403222,2.151533995e-08
14.853754,-20.403222,-1.021746443e-08
15.656659,-20.403222,1.897179899e-09
16.459565,-20.403222,1.001338676e-08
17.262470,-20.403222,-7.292851253e-08
18.065376,-20.403222,-7.632944831e-08
18.868281,-20.403222,-7.466962124e-08
19.671187,-20.403222,3.906367483e-09
20.474093,-20.403222,-1.310850011e-07
21.276998,-20.403222,-1.200410416e-07
22.079904,-20.403222,-2.637819652e-08
22.882809,-20.403222,-7.661429278e-08
23.685715,-20.403222,1.450441825e-07
24.488621,-20.403222,1.615011895e-07
25.291526,-20.403222,5.507505352e-08
-25.291526,-19.734264,1.692346748e-07
-24.488621,-19.734264,1.303028572e-08
-23.685715,-19.734264,-1.380136918e-07
-22.882809,-19.734264,-2.051455005e-08
-22.079904,-19.734264,3.775762024e-08
-21.276998,-19.734264,7.880000776e-09
-20.474093,-19.734264,-2.544915645e-08
-19.671187,-19.734264,-1.891310762e-08
-18.868281,-19.734264,-1.308128349e-07
-18.065376,-19.734264,-6.485375261e-08
-17.262470,-19.734264,-4.178287914e-08
-16.459565,-19.734264,-1.201969623e-07
-15.656659,-19.734264,-1.205119193e-07
-14.853754,-19.734264,-1.256105536e-07
-14.050848,-19.734264,4.439562608e-09
-13.247942,-19.734264,2.830802771e-08
-12.445037,-19.734264,-1.171302748e-07
-11.642131,-19.734264,9.580457201e-08
-10.839226,-19.734264,1.352660845e-07
-10.036320,-19.734264,-1.724832099e-07
-9.233414,-19.734264,3.204844380e-08
-8.430509,-19.734264,2.648922157e-08
-7.627603,-19.734264,1.503279536e-07
-6.824698,-19.734264,3.423457169e-08
-6.021792,-19.734264,7.101279924e-08
-5.218886,-19.734264,1.768153159e-08
-4.415981,-19.734264,6.373256773e-08
-3.613075,-19.734264,-7.977701524e-08
-2.810170,-19.734264,1.143768086e-07
-2.007264,-19.734264,-1.681977130e-08
-1.204358,-19.734264,-1.271022857e-07
-0.401453,-19.734264,-1.520485179e-07
0.401453,-19.734264,-1.100183623e-08
1.204358,-19.734264,6.754517619e-08
2.007264,-19.734264,4.225646451e-08
2.810170,-19.734264,2.672802601e-08
3.613075,-19.734264,-1.036075218e-07
4.415981,-19.734264,2.118298388e-08
5.218886,-19.734264,-1.885911507e-07
6.021792,-19.734264,1.355099382e-09
6.824698,-19.734264,-9.441908945e-08
7.627603,-19.734264,-1.443357188e-07
8.430509,-19.734264,-1.708698048e-08
9.233414,-19.734264,8.489405697e-08
10.036320,-19.734264,-1.426742251e-07
10.839226,-19.734264,1.050389594e-07
11.642131,-19.734264,5.124101456e-08
12.445037,-19.734264,-2.962309115e-09
13.247942,-19.734264,-6.566562257e-08
14.050848,-19.734264,-4.970348529e-08
14.853754,-19.734264,-1.632095073e-07
15.656659,-19.734264,-2.112757656e-07
16.459565,-19.734264,-1.528436658e-07
17.262470,-19.734264,1.093201775e-07
18.065376,-19.734264,-2.443613262e-08
18.868281,-19.734264,-4.243557830e-08
19.671187,-19.734264,5.045401337e-08
20.474093,-19.734264,-1.511350370e-07
21.276998,-19.734264,-1.468160750e-07
22.079904,-19.734264,4.549380320e-08
22.882809,-19.734264,-6.658596703e-08
23.685715,-19.734264,2.977484004e-08
24.488621,-19.734264,-5.282787735e-08
25.291526,-19.734264,-9.287436300e-08
-25.291526,-19.065306,4.712177290e-08
-24.488621,-19.065306,-3.055217827e-09
-23.685715,-19.065306,6.595349071e-08
-22.882809,-19.065306,-2.897284519e-07
-22.079904,-19.065306,-4.913884690e-08
-21.276998,-19.065306,-1.001062951e-07
-20.474093,-19.065306,-4.328291081e-08
-19.671187,-19.065306,3.577015096e-08
-18.868281,-19.065306,-6.956922456e-08
-18.065376,-19.065306,7.157316406e-08
-17.262470,-19.065306,1.075207784e-07
-16.459565,-19.065306,-9.389190342e-08
-15.656659,-19.065306,-5.319811678e-08
-14.853754,-19.065306,9.168586511e-08
-14.050848,-19.065306,7.284830613e-08
-13.247942,-19.065306,-1.300249087e-07
-12.445037,-19.065306,-8.622334639e-09
-11.642131,-19.065306,1.852979729e-08
-10.839226,-19.065306,-5.905252376e-08
-10.036320,-19.065306,-1.035322363e-07
-9.233414,-19.065306,-6.481029574e-08
-8.430509,-19.065306,1.093290159e-07
-7.627603,-19.065306,-4.402636179e-08
-6.824698,-19.065306,-2.369301600e-07
-6.021792,-19.065306,7.346588357e-08
-5.218886,-19.065306,2.795763174e-08
-4.415981,-19.065306,3.220381366e-08
-3.613075,-19.065306,2.984930255e-08
-2.810170,-19.065306,-2.052820763e-07
-2.007264,-19.065306,-5.273942098e-08
-1.204358,-19.065306,5.820619704e-08
-0.401453,-19.065306,-8.440897785e-08
0.401453,-19.065306,-5.076881255e-08
1.204358,-19.065306,-7.451674984e-08
2.007264,-19.065306,1.886981053e-08
2.810170,-19.065306,1.524709263e-08
3.613075,-19.065306,1.685095044e-08
4.415981,-19.065306,3.089401328e-08
5.218886,-19.065306,-2.081525889e-07
6.021792,-19.065306,5.551485762e-08
