building_id,climate_zone_id,building_type,function,style,quality,year_built,floors,floor_area_m2,height_m,rooftop_area_m2,volume_m3,wall_u_value,roof_u_value,window_u_value,wall_r_value,roof_r_value,window_r_value,primary_heating_fuel,energy_rating
BLD-00001,CZ-1,educational,educational,contemporary,medium,1969,9,1289.48,28.5,143.28,4082.78,1.572,1.068,3.211,0.636,0.936,0.311,district,D
BLD-00002,CZ-2,retail,retail,modernist,low,2000,7,1107.37,22.07,158.2,3490.85,0.819,0.594,1.675,1.221,1.684,0.597,electric,D
BLD-00003,CZ-3,residential,residential,brutalist,medium,1979,1,1418.26,2.81,1418.26,3980.41,1.356,1.09,3.018,0.737,0.917,0.331,electric,C
BLD-00004,CZ-3,residential,residential,vernacular,medium,2008,3,311.46,9.47,103.82,983.26,0.854,0.636,1.859,1.171,1.572,0.538,gas,C
BLD-00005,CZ-3,residential,residential,modernist,medium,1996,11,1357.4,36.54,123.4,4508.98,1.195,0.691,2.467,0.837,1.447,0.405,electric,C
BLD-00006,CZ-2,retail,retail,vernacular,low,1976,12,4855.11,33.19,404.59,13426.74,1.598,0.98,2.713,0.626,1.02,0.369,gas,D
BLD-00007,CZ-3,educational,educational,contemporary,low,1969,2,3462.05,5.66,1731.03,9804.42,1.447,1.012,3.286,0.691,0.988,0.304,gas,D
BLD-00008,CZ-2,retail,retail,modernist,high,1969,9,3779.73,30.6,419.97,12852.54,1.451,0.915,3.059,0.689,1.093,0.327,gas,D
BLD-00009,CZ-3,educational,educational,contemporary,medium,1994,2,5167.83,6.91,2583.92,17858.71,1.063,0.769,2.305,0.941,1.3,0.434,gas,D
BLD-00010,CZ-1,residential,residential,postmodern,medium,2006,10,2483.15,33.58,248.32,8337.29,0.91,0.563,1.912,1.099,1.776,0.523,electric,C
BLD-00011,CZ-1,educational,educational,contemporary,medium,2004,2,3367.2,5.75,1683.6,9679.25,0.842,0.605,1.715,1.188,1.653,0.583,gas,D
BLD-00012,CZ-2,office,office,contemporary,high,1996,5,1665.1,15.11,333.02,5030.81,1.127,0.785,2.353,0.887,1.274,0.425,district,D
BLD-00013,CZ-3,retail,retail,vernacular,medium,1987,11,5397.8,38.13,490.71,18709.78,1.476,0.877,2.842,0.678,1.14,0.352,electric,E
BLD-00014,CZ-1,office,office,postmodern,low,1996,21,1748.18,61.44,83.25,5114.39,1.229,0.695,2.051,0.814,1.439,0.488,electric,D
BLD-00015,CZ-3,educational,educational,brutalist,medium,1973,12,5267.85,41.52,438.99,18227.71,1.494,1.094,2.817,0.669,0.914,0.355,district,D
BLD-00016,CZ-2,retail,retail,contemporary,medium,1995,11,2882.3,31.38,262.03,8221.73,1.157,0.782,2.23,0.864,1.279,0.448,electric,D
BLD-00017,CZ-2,residential,residential,brutalist,low,1965,10,429.09,27.81,42.91,1193.36,1.533,0.993,3.22,0.652,1.007,0.311,electric,C
BLD-00018,CZ-1,residential,residential,brutalist,medium,2005,5,2391.34,15.91,478.27,7608.83,0.863,0.595,1.672,1.159,1.681,0.598,electric,C
BLD-00019,CZ-2,retail,retail,contemporary,medium,1970,3,1331.38,8.92,443.79,3959.66,1.588,0.938,2.833,0.63,1.066,0.353,gas,D
BLD-00020,CZ-3,office,office,modernist,low,1998,14,1562.33,43.88,111.6,4897.19,1.086,0.822,2.287,0.921,1.217,0.437,electric,E
BLD-00021,CZ-3,educational,educational,modernist,medium,1981,9,2706.84,25.5,300.76,7670.19,1.376,0.84,2.752,0.727,1.19,0.363,district,D
BLD-00022,CZ-3,educational,educational,art_deco,medium,2015,4,4991.61,13.42,1247.9,16745.18,0.694,0.435,1.445,1.441,2.299,0.692,district,D
BLD-00023,CZ-2,retail,retail,postmodern,low,1966,5,3255.65,14.27,651.13,9294.6,1.418,0.907,3.066,0.705,1.103,0.326,gas,D
BLD-00024,CZ-2,educational,educational,modernist,low,1979,8,1822.87,22.91,227.86,5219.79,1.403,1.068,3.055,0.713,0.936,0.327,district,D
BLD-00025,CZ-3,educational,educational,modernist,high,1972,7,4867.97,23.1,695.42,16064.86,1.454,1.012,2.866,0.688,0.988,0.349,gas,E
