timestamp,drybulb_C,rh_pct,ghi_Wm2,precipitation,wind_speed_ms,cloudcover
2022-01-01T00:00,7.6,100,0.0,0.0,4.2,100
2022-01-01T01:00,7.8,100,0.0,0.0,5.1,100
2022-01-01T02:00,7.9,100,0.0,0.0,4.2,100
2022-01-01T03:00,7.6,100,0.0,0.0,6.4,100
2022-01-01T04:00,7.5,100,0.0,0.1,4.7,100
2022-01-01T05:00,7.7,100,0.0,0.1,9.1,100
2022-01-01T06:00,8.3,100,0.0,1.1,7.4,100
2022-01-01T07:00,8.5,100,0.0,1.1,5.2,100
2022-01-01T08:00,8.1,100,0.0,0.5,2.8,100
2022-01-01T09:00,9.2,100,3.0,0.7,6.9,100
2022-01-01T10:00,9.7,100,39.0,0.7,8.0,100
2022-01-01T11:00,10.0,100,41.0,0.8,10.4,100
2022-01-01T12:00,11.1,98,107.0,0.5,11.0,100
2022-01-01T13:00,11.3,98,71.0,0.6,12.5,100
2022-01-01T14:00,11.5,98,67.0,0.8,9.5,100
2022-01-01T15:00,11.7,98,54.0,0.4,9.2,100
2022-01-01T16:00,11.5,99,29.0,0.1,7.7,100
2022-01-01T17:00,11.0,100,33.0,0.3,5.9,100
2022-01-01T18:00,10.4,100,2.0,1.4,2.9,100
2022-01-01T19:00,10.2,100,0.0,0.8,3.3,100
2022-01-01T20:00,9.4,100,0.0,1.7,4.6,100
2022-01-01T21:00,10.7,100,0.0,1.2,6.1,100
2022-01-01T22:00,10.7,100,0.0,1.2,7.2,100
2022-01-01T23:00,10.8,99,0.0,3.3,12.9,100
2022-01-02T00:00,10.6,98,0.0,9.1,19.2,100
2022-01-02T01:00,10.6,97,0.0,7.8,20.6,100
2022-01-02T02:00,10.2,96,0.0,0.1,11.5,100
2022-01-02T03:00,9.6,99,0.0,0.1,11.8,100
2022-01-02T04:00,9.6,98,0.0,0.5,11.8,100
2022-01-02T05:00,9.7,98,0.0,0.1,8.0,100
2022-01-02T06:00,9.3,98,0.0,0.2,5.0,100
2022-01-02T07:00,8.7,99,0.0,0.0,4.6,100
2022-01-02T08:00,9.0,100,0.0,0.0,4.2,100
2022-01-02T09:00,10.3,99,2.0,0.0,2.8,100
2022-01-02T10:00,10.7,98,28.0,0.0,5.8,100
2022-01-02T11:00,11.7,95,104.0,0.0,11.8,100
2022-01-02T12:00,12.2,94,87.0,0.0,15.0,100
2022-01-02T13:00,13.1,91,130.0,0.0,16.6,100
2022-01-02T14:00,13.7,87,149.0,0.0,19.9,100
2022-01-02T15:00,12.8,87,79.0,0.0,14.7,100
2022-01-02T16:00,12.2,84,85.0,0.0,15.3,100
2022-01-02T17:00,11.1,79,41.0,0.0,18.6,100
2022-01-02T18:00,9.0,75,10.0,0.0,21.1,100
2022-01-02T19:00,7.6,67,0.0,0.0,22.4,100
2022-01-02T20:00,6.3,81,0.0,0.0,24.8,100
2022-01-02T21:00,5.0,71,0.0,0.0,26.6,100
2022-01-02T22:00,3.6,63,0.0,0.0,22.9,100
2022-01-02T23:00,2.8,59,0.0,0.0,19.8,100
