temperature,cte,units
20.0,1.630657721589445e-05,/°C
21.0,1.6900345672245992e-05,/°C
22.0,1.625687028013537e-05,/°C
23.0,1.647596536249235e-05,/°C
24.0,1.7273366803542752e-05,/°C
25.0,1.8166467358522273e-05,/°C
26.0,1.723827714233972e-05,/°C
27.0,1.6464616241985457e-05,/°C
28.0,1.7617238721237135e-05,/°C
29.0,1.6283497999174186e-05,/°C
30.0,1.6609333093884245e-05,/°C
31.0,1.769873145587195e-05,/°C
32.0,1.7098619608844526e-05,/°C
33.0,1.8755229478619842e-05,/°C
34.0,1.8129536216871695e-05,/°C
35.0,1.715904189504724e-05,/°C
36.0,1.772651176161214e-05,/°C
37.0,1.7864585362885483e-05,/°C
38.0,1.7785608401720293e-05,/°C
39.0,1.7012340709231525e-05,/°C
40.0,1.702929443537685e-05,/°C
41.0,1.7285091138348074e-05,/°C
42.0,1.815616164660411e-05,/°C
43.0,1.7628940730432922e-05,/°C
44.0,1.6696475376646878e-05,/°C
45.0,1.7333269047322678e-05,/°C
46.0,1.7212314067363032e-05,/°C
47.0,1.794986690379039e-05,/°C
48.0,1.7237733157249688e-05,/°C
49.0,1.8235404996956067e-05,/°C
50.0,1.779686504707721e-05,/°C
51.0,1.8165019641876433e-05,/°C
52.0,1.639643582299219e-05,/°C
53.0,1.7460538428456753e-05,/°C
54.0,1.790918761418606e-05,/°C
55.0,1.7436805484736335e-05,/°C
56.0,1.730576377253399e-05,/°C
57.0,1.6997276827485726e-05,/°C
58.0,1.713685929758676e-05,/°C
59.0,1.6888843527448366e-05,/°C
60.0,1.6363338408600166e-05,/°C
61.0,1.6849063420615e-05,/°C
62.0,1.7852987700107965e-05,/°C
63.0,1.834377341072093e-05,/°C
64.0,1.7322236086860725e-05,/°C
65.0,1.6820637544561077e-05,/°C
66.0,1.8105978221215867e-05,/°C
67.0,1.746092790013565e-05,/°C
68.0,1.706910814358146e-05,/°C
69.0,1.7183040464596624e-05,/°C
70.0,1.7574243248345628e-05,/°C
71.0,1.7730041945902438e-05,/°C
72.0,1.7832288031149246e-05,/°C
73.0,1.7134040833061395e-05,/°C
74.0,1.8323926624518368e-05,/°C
75.0,1.7979515804791693e-05,/°C
76.0,1.7179017022040383e-05,/°C
77.0,1.675319197968531e-05,/°C
78.0,1.7938092637418342e-05,/°C
79.0,1.7297802996564492e-05,/°C
80.0,1.8057153575307107e-05,/°C
81.0,1.676847249791796e-05,/°C
82.0,1.7367659684440237e-05,/°C
83.0,1.797898313863e-05,/°C
84.0,1.7669453340009727e-05,/°C
85.0,1.848340602071396e-05,/°C
86.0,1.8155107280839216e-05,/°C
87.0,1.784738177657681e-05,/°C
88.0,1.7267362643301174e-05,/°C
89.0,1.78813755859096e-05,/°C
90.0,1.7557537266321318e-05,/°C
91.0,1.820817369112168e-05,/°C
92.0,1.7157219371315067e-05,/°C
93.0,1.8160470186345224e-05,/°C
94.0,1.7886362989898357e-05,/°C
95.0,1.834052085241345e-05,/°C
96.0,1.8101076213720514e-05,/°C
97.0,1.8618041526499253e-05,/°C
98.0,1.7710536599846854e-05,/°C
99.0,1.823909062901451e-05,/°C
100.0,1.8315935305794182e-05,/°C
101.0,1.9203807651897186e-05,/°C
102.0,1.8157422452013623e-05,/°C
103.0,1.803218231960992e-05,/°C
104.0,1.8082630538078934e-05,/°C
105.0,1.7417813792840227e-05,/°C
106.0,1.7562446443756962e-05,/°C
107.0,1.8494107236111775e-05,/°C
108.0,1.7967739998495863e-05,/°C
109.0,1.8354314082108463e-05,/°C
110.0,1.7894849449655423e-05,/°C
111.0,1.8808720318269733e-05,/°C
112.0,1.8362481825414014e-05,/°C
113.0,1.7760118760559224e-05,/°C
114.0,1.724205438191366e-05,/°C
115.0,1.7674310909095487e-05,/°C
116.0,1.73799420931787e-05,/°C
117.0,1.6932803403431903e-05,/°C
118.0,1.781856609902025e-05,/°C
119.0,1.8823773256909335e-05,/°C
120.0,1.875675688291382e-05,/°C
121.0,1.6750418708504372e-05,/°C
122.0,1.7882993790712963e-05,/°C
123.0,1.9051129100994544e-05,/°C
124.0,1.7824091729674828e-05,/°C
125.0,1.8690955086233786e-05,/°C
126.0,1.8845706788009362e-05,/°C
127.0,1.8416337879546544e-05,/°C
128.0,1.8086764243676738e-05,/°C
129.0,1.9551774851092966e-05,/°C
130.0,1.8170466405099818e-05,/°C
131.0,1.77928851828961e-05,/°C
132.0,1.7834086876159596e-05,/°C
133.0,1.830788266845566e-05,/°C
134.0,1.7856028498304102e-05,/°C
135.0,1.858955060050278e-05,/°C
136.0,1.8512564361086857e-05,/°C
137.0,1.861992437026204e-05,/°C
138.0,1.8569854014191726e-05,/°C
139.0,1.828109633997324e-05,/°C
140.0,1.790291184109756e-05,/°C
141.0,1.8165578943437552e-05,/°C
142.0,1.8437472672633262e-05,/°C
143.0,1.868623087587812e-05,/°C
144.0,1.8129915872862568e-05,/°C
145.0,1.8788765908044405e-05,/°C
146.0,1.917015180061874e-05,/°C
