study_id,flow_regime,gas_superficial_velocity_ms,liquid_superficial_velocity_ms,void_fraction,frequency_hz,sound_speed_ms,attenuation_db_m,pipe_diameter_mm,inclination_deg,measurement_location_m,reference
Li2022_001,stratified_smooth,0.5,0.1,0.65,1000,425.8,0.85,50.8,0,1.0,Li et al. 2022
Li2022_002,stratified_smooth,0.8,0.1,0.72,1000,398.2,1.12,50.8,0,1.0,Li et al. 2022
Li2022_003,stratified_smooth,1.2,0.1,0.78,1000,375.6,1.45,50.8,0,1.0,Li et al. 2022
Li2022_004,stratified_wavy,1.5,0.2,0.75,1000,382.4,1.68,50.8,0,1.0,Li et al. 2022
Li2022_005,stratified_wavy,2.0,0.2,0.82,1000,365.9,2.15,50.8,0,1.0,Li et al. 2022
Li2022_006,stratified_wavy,2.5,0.3,0.78,1000,371.2,2.48,50.8,0,1.0,Li et al. 2022
Li2022_007,stratified_smooth,0.5,0.1,0.65,2000,428.3,1.65,50.8,0,1.0,Li et al. 2022
Li2022_008,stratified_smooth,0.8,0.1,0.72,2000,401.7,2.18,50.8,0,1.0,Li et al. 2022
Li2022_009,stratified_smooth,1.2,0.1,0.78,2000,379.1,2.82,50.8,0,1.0,Li et al. 2022
Li2022_010,stratified_wavy,1.5,0.2,0.75,2000,385.9,3.26,50.8,0,1.0,Li et al. 2022
Li2022_011,stratified_wavy,2.0,0.2,0.82,2000,369.4,4.18,50.8,0,1.0,Li et al. 2022
Li2022_012,stratified_wavy,2.5,0.3,0.78,2000,374.7,4.82,50.8,0,1.0,Li et al. 2022
Li2022_013,stratified_smooth,0.5,0.1,0.65,5000,432.1,3.95,50.8,0,1.0,Li et al. 2022
Li2022_014,stratified_smooth,0.8,0.1,0.72,5000,405.5,5.22,50.8,0,1.0,Li et al. 2022
Li2022_015,stratified_smooth,1.2,0.1,0.78,5000,382.9,6.75,50.8,0,1.0,Li et al. 2022
Li2022_016,stratified_wavy,1.5,0.2,0.75,5000,389.7,7.82,50.8,0,1.0,Li et al. 2022
Li2022_017,stratified_wavy,2.0,0.2,0.82,5000,373.2,10.02,50.8,0,1.0,Li et al. 2022
Li2022_018,stratified_wavy,2.5,0.3,0.78,5000,378.5,11.55,50.8,0,1.0,Li et al. 2022
Li2022_019,annular,3.0,0.1,0.88,1000,358.4,3.25,50.8,0,1.0,Li et al. 2022
Li2022_020,annular,4.0,0.1,0.92,1000,348.2,4.18,50.8,0,1.0,Li et al. 2022
Li2022_021,annular,3.0,0.1,0.88,2000,361.9,6.32,50.8,0,1.0,Li et al. 2022
Li2022_022,annular,4.0,0.1,0.92,2000,351.7,8.12,50.8,0,1.0,Li et al. 2022
Li2022_023,annular,3.0,0.1,0.88,5000,365.7,15.18,50.8,0,1.0,Li et al. 2022
Li2022_024,annular,4.0,0.1,0.92,5000,355.5,19.45,50.8,0,1.0,Li et al. 2022
