study_id,flow_pattern,gas_flow_rate_m3h,liquid_flow_rate_m3h,void_fraction,frequency_hz,sound_speed_ms,attenuation_db_m,phase_velocity_ms,group_velocity_ms,pipe_diameter_mm,temperature_c,pressure_bar,reference
Xue2022_001,horizontal_stratified,15.2,2.8,0.68,800,412.5,0.92,408.3,415.7,76.2,22.5,1.2,Xue et al. 2022
Xue2022_002,horizontal_stratified,22.8,2.8,0.75,800,385.7,1.25,381.2,390.8,76.2,22.5,1.2,Xue et al. 2022
Xue2022_003,horizontal_stratified,30.4,2.8,0.81,800,362.9,1.68,358.1,368.2,76.2,22.5,1.2,Xue et al. 2022
Xue2022_004,horizontal_stratified,38.0,2.8,0.85,800,348.2,2.15,343.8,353.1,76.2,22.5,1.2,Xue et al. 2022
Xue2022_005,horizontal_stratified,15.2,2.8,0.68,1200,415.8,1.38,411.6,420.5,76.2,22.5,1.2,Xue et al. 2022
Xue2022_006,horizontal_stratified,22.8,2.8,0.75,1200,389.0,1.87,384.5,394.1,76.2,22.5,1.2,Xue et al. 2022
Xue2022_007,horizontal_stratified,30.4,2.8,0.81,1200,366.2,2.52,361.4,371.5,76.2,22.5,1.2,Xue et al. 2022
Xue2022_008,horizontal_stratified,38.0,2.8,0.85,1200,351.5,3.22,347.1,356.4,76.2,22.5,1.2,Xue et al. 2022
Xue2022_009,horizontal_stratified,15.2,2.8,0.68,2000,421.3,2.28,417.1,426.0,76.2,22.5,1.2,Xue et al. 2022
Xue2022_010,horizontal_stratified,22.8,2.8,0.75,2000,394.5,3.08,390.0,399.6,76.2,22.5,1.2,Xue et al. 2022
Xue2022_011,horizontal_stratified,30.4,2.8,0.81,2000,371.7,4.15,366.9,377.0,76.2,22.5,1.2,Xue et al. 2022
Xue2022_012,horizontal_stratified,38.0,2.8,0.85,2000,357.0,5.32,352.6,361.9,76.2,22.5,1.2,Xue et al. 2022
Xue2022_013,wavy_stratified,45.6,4.2,0.82,800,368.4,2.85,363.9,373.4,76.2,22.5,1.2,Xue et al. 2022
Xue2022_014,wavy_stratified,53.2,4.2,0.87,800,351.8,3.68,347.2,356.9,76.2,22.5,1.2,Xue et al. 2022
Xue2022_015,wavy_stratified,60.8,4.2,0.90,800,339.5,4.52,334.8,344.7,76.2,22.5,1.2,Xue et al. 2022
Xue2022_016,wavy_stratified,45.6,4.2,0.82,1200,371.7,4.28,367.2,376.7,76.2,22.5,1.2,Xue et al. 2022
Xue2022_017,wavy_stratified,53.2,4.2,0.87,1200,355.1,5.52,350.5,360.2,76.2,22.5,1.2,Xue et al. 2022
Xue2022_018,wavy_stratified,60.8,4.2,0.90,1200,342.8,6.78,338.1,348.0,76.2,22.5,1.2,Xue et al. 2022
Xue2022_019,wavy_stratified,45.6,4.2,0.82,2000,377.2,7.08,372.7,382.2,76.2,22.5,1.2,Xue et al. 2022
Xue2022_020,wavy_stratified,53.2,4.2,0.87,2000,360.6,9.12,356.0,365.7,76.2,22.5,1.2,Xue et al. 2022
Xue2022_021,wavy_stratified,60.8,4.2,0.90,2000,348.3,11.22,343.6,353.5,76.2,22.5,1.2,Xue et al. 2022
Xue2022_022,slug_flow,68.4,5.6,0.88,800,345.2,6.85,340.8,350.1,76.2,22.5,1.2,Xue et al. 2022
Xue2022_023,slug_flow,76.0,5.6,0.92,800,332.1,8.92,327.5,337.2,76.2,22.5,1.2,Xue et al. 2022
Xue2022_024,slug_flow,68.4,5.6,0.88,1200,348.5,10.28,344.1,353.4,76.2,22.5,1.2,Xue et al. 2022
Xue2022_025,slug_flow,76.0,5.6,0.92,1200,335.4,13.38,330.8,340.5,76.2,22.5,1.2,Xue et al. 2022
