study_id,flow_regime,gas_velocity_ms,liquid_velocity_ms,void_fraction,frequency_hz,sound_speed_ms,attenuation_db_m,wavelength_m,impedance_pa_s_m3,pipe_inner_diameter_mm,wall_thickness_mm,material,reference
Dijk2005_001,stratified_horizontal,1.2,0.15,0.72,500,395.8,0.68,0.792,1.58e6,100.0,5.0,steel,Dijk 2005
Dijk2005_002,stratified_horizontal,1.8,0.15,0.78,500,372.4,0.92,0.745,1.42e6,100.0,5.0,steel,Dijk 2005
Dijk2005_003,stratified_horizontal,2.4,0.15,0.83,500,351.2,1.25,0.702,1.28e6,100.0,5.0,steel,Dijk 2005
Dijk2005_004,stratified_horizontal,3.0,0.15,0.87,500,335.6,1.68,0.671,1.18e6,100.0,5.0,steel,Dijk 2005
Dijk2005_005,stratified_horizontal,1.2,0.15,0.72,1000,398.5,1.32,0.399,1.61e6,100.0,5.0,steel,Dijk 2005
Dijk2005_006,stratified_horizontal,1.8,0.15,0.78,1000,375.1,1.78,0.375,1.45e6,100.0,5.0,steel,Dijk 2005
Dijk2005_007,stratified_horizontal,2.4,0.15,0.83,1000,353.9,2.42,0.354,1.31e6,100.0,5.0,steel,Dijk 2005
Dijk2005_008,stratified_horizontal,3.0,0.15,0.87,1000,338.3,3.25,0.338,1.21e6,100.0,5.0,steel,Dijk 2005
Dijk2005_009,stratified_horizontal,1.2,0.15,0.72,2000,403.2,2.58,0.202,1.65e6,100.0,5.0,steel,Dijk 2005
Dijk2005_010,stratified_horizontal,1.8,0.15,0.78,2000,379.8,3.48,0.190,1.48e6,100.0,5.0,steel,Dijk 2005
Dijk2005_011,stratified_horizontal,2.4,0.15,0.83,2000,358.6,4.72,0.179,1.34e6,100.0,5.0,steel,Dijk 2005
Dijk2005_012,stratified_horizontal,3.0,0.15,0.87,2000,343.0,6.35,0.172,1.24e6,100.0,5.0,steel,Dijk 2005
Dijk2005_013,wavy_stratified,3.6,0.25,0.85,500,346.8,2.15,0.694,1.25e6,100.0,5.0,steel,Dijk 2005
Dijk2005_014,wavy_stratified,4.2,0.25,0.88,500,338.2,2.85,0.676,1.19e6,100.0,5.0,steel,Dijk 2005
Dijk2005_015,wavy_stratified,4.8,0.25,0.91,500,331.5,3.68,0.663,1.15e6,100.0,5.0,steel,Dijk 2005
Dijk2005_016,wavy_stratified,3.6,0.25,0.85,1000,349.5,4.18,0.350,1.28e6,100.0,5.0,steel,Dijk 2005
Dijk2005_017,wavy_stratified,4.2,0.25,0.88,1000,340.9,5.55,0.341,1.22e6,100.0,5.0,steel,Dijk 2005
Dijk2005_018,wavy_stratified,4.8,0.25,0.91,1000,334.2,7.15,0.334,1.18e6,100.0,5.0,steel,Dijk 2005
Dijk2005_019,wavy_stratified,3.6,0.25,0.85,2000,354.2,8.15,0.177,1.31e6,100.0,5.0,steel,Dijk 2005
Dijk2005_020,wavy_stratified,4.2,0.25,0.88,2000,345.6,10.82,0.173,1.25e6,100.0,5.0,steel,Dijk 2005
Dijk2005_021,wavy_stratified,4.8,0.25,0.91,2000,338.9,13.95,0.169,1.21e6,100.0,5.0,steel,Dijk 2005
Dijk2005_022,intermittent,5.4,0.35,0.89,500,342.1,4.25,0.684,1.22e6,100.0,5.0,steel,Dijk 2005
Dijk2005_023,intermittent,6.0,0.35,0.92,500,335.8,5.68,0.672,1.18e6,100.0,5.0,steel,Dijk 2005
Dijk2005_024,intermittent,5.4,0.35,0.89,1000,344.8,8.28,0.345,1.25e6,100.0,5.0,steel,Dijk 2005
Dijk2005_025,intermittent,6.0,0.35,0.92,1000,338.5,11.05,0.339,1.21e6,100.0,5.0,steel,Dijk 2005
