delta,T_600C,T_700C,T_800C,T_900C,alpha_chem_600C,alpha_chem_700C,alpha_chem_800C,alpha_chem_900C,pO2_600C_atm,pO2_700C_atm,pO2_800C_atm,pO2_900C_atm
0.0000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,1.0,1.0,1.0,1.0
0.0005,0.000042,0.000045,0.000048,0.000051,0.0850,0.0900,0.0950,0.1020,0.85,0.82,0.78,0.72
0.0010,0.000085,0.000091,0.000098,0.000105,0.0850,0.0910,0.0980,0.1050,0.68,0.62,0.55,0.48
0.0015,0.000129,0.000139,0.000150,0.000163,0.0860,0.0927,0.1000,0.1087,0.52,0.44,0.35,0.28
0.0020,0.000174,0.000188,0.000204,0.000223,0.0870,0.0940,0.1020,0.1115,0.38,0.30,0.22,0.15
0.0025,0.000220,0.000239,0.000261,0.000286,0.0880,0.0956,0.1044,0.1144,0.26,0.19,0.12,0.08
0.0030,0.000267,0.000291,0.000320,0.000353,0.0890,0.0970,0.1067,0.1177,0.18,0.12,0.07,0.04
0.0035,0.000315,0.000345,0.000381,0.000423,0.0900,0.0986,0.1089,0.1209,0.12,0.08,0.04,0.02
0.0040,0.000364,0.000401,0.000444,0.000496,0.0910,0.1003,0.1110,0.1240,0.08,0.05,0.02,0.01
0.0045,0.000414,0.000458,0.000509,0.000572,0.0920,0.1018,0.1133,0.1271,0.05,0.03,0.01,0.005
0.0050,0.000465,0.000517,0.000576,0.000651,0.0930,0.1034,0.1156,0.1302,0.03,0.02,0.008,0.003
0.0055,0.000517,0.000577,0.000645,0.000733,0.0945,0.1051,0.1182,0.1333,0.02,0.01,0.005,0.001
0.0060,0.000571,0.000639,0.000716,0.000818,0.0960,0.1070,0.1210,0.1367,0.01,0.007,0.003,0.0008
0.0065,0.000626,0.000702,0.000789,0.000906,0.0975,0.1092,0.1240,0.1400,0.007,0.004,0.002,0.0005
0.0070,0.000682,0.000767,0.000864,0.000997,0.0991,0.1114,0.1271,0.1436,0.005,0.003,0.001,0.0003
0.0075,0.000739,0.000833,0.000941,0.001091,0.1008,0.1137,0.1303,0.1473,0.003,0.002,0.0008,0.0002
0.0080,0.000798,0.000901,0.001020,0.001189,0.1025,0.1162,0.1338,0.1510,0.002,0.001,0.0005,0.0001
0.0090,0.000919,0.001041,0.001184,0.001393,0.1063,0.1215,0.1411,0.1586,0.001,0.0006,0.0003,0.00005
0.0100,0.001045,0.001186,0.001355,0.001606,0.1105,0.1270,0.1489,0.1665,0.0005,0.0003,0.0001,0.00002
0.0120,0.001308,0.001491,0.001719,0.002060,0.1197,0.1392,0.1657,0.1835,0.0002,0.0001,0.00005,0.00001
0.0140,0.001588,0.001815,0.002105,0.002540,0.1300,0.1526,0.1836,0.2010,0.0001,0.00005,0.00002,0.000005
0.0178,0.002110,0.002430,0.002850,0.003400,0.1483,0.1750,0.2100,0.2300,0.00001,0.000005,0.000001,0.0000001
