Temperature_C,Temperature_K,pO2_atm,log_pO2,Delta_delta,Chemical_Strain_xx,Chemical_Strain_yy,Chemical_Strain_zz,Source
600,873,1.0,0.0,0.009,0.000765,0.000765,0.001301,TGA Dataset
600,873,0.21,-0.678,0.012,0.001020,0.001020,0.001734,TGA Dataset
600,873,0.01,-2.0,0.018,0.001530,0.001530,0.002601,TGA Dataset
600,873,1e-5,-5.0,0.025,0.002125,0.002125,0.003613,TGA Dataset
600,873,1e-10,-10.0,0.035,0.002975,0.002975,0.005058,TGA Dataset
650,923,1.0,0.0,0.011,0.000935,0.000935,0.001590,TGA Dataset
650,923,0.21,-0.678,0.015,0.001275,0.001275,0.002168,TGA Dataset
650,923,0.01,-2.0,0.021,0.001785,0.001785,0.003035,TGA Dataset
650,923,1e-5,-5.0,0.029,0.002465,0.002465,0.004191,TGA Dataset
650,923,1e-10,-10.0,0.038,0.003230,0.003230,0.005491,TGA Dataset
700,973,1.0,0.0,0.014,0.001190,0.001190,0.002023,TGA Dataset
700,973,0.21,-0.678,0.019,0.001615,0.001615,0.002746,TGA Dataset
700,973,0.01,-2.0,0.026,0.002210,0.002210,0.003757,TGA Dataset
700,973,1e-5,-5.0,0.034,0.002890,0.002890,0.004913,TGA Dataset
700,973,1e-10,-10.0,0.041,0.003485,0.003485,0.005925,TGA Dataset
750,1023,1.0,0.0,0.017,0.001445,0.001445,0.002457,TGA Dataset
750,1023,0.21,-0.678,0.023,0.001955,0.001955,0.003324,TGA Dataset
750,1023,0.01,-2.0,0.031,0.002635,0.002635,0.004480,TGA Dataset
750,1023,1e-5,-5.0,0.038,0.003230,0.003230,0.005491,TGA Dataset
750,1023,1e-10,-10.0,0.044,0.003740,0.003740,0.006358,TGA Dataset
800,1073,1.0,0.0,0.021,0.001785,0.001785,0.003035,TGA Dataset
800,1073,0.21,-0.678,0.028,0.002380,0.002380,0.004046,TGA Dataset
800,1073,0.01,-2.0,0.036,0.003060,0.003060,0.005202,TGA Dataset
800,1073,1e-5,-5.0,0.042,0.003570,0.003570,0.006069,TGA Dataset
800,1073,1e-10,-10.0,0.046,0.003910,0.003910,0.006647,TGA Dataset
850,1123,1.0,0.0,0.025,0.002125,0.002125,0.003613,TGA Dataset
850,1123,0.21,-0.678,0.033,0.002805,0.002805,0.004769,TGA Dataset
850,1123,0.01,-2.0,0.040,0.003400,0.003400,0.005780,TGA Dataset
850,1123,1e-5,-5.0,0.045,0.003825,0.003825,0.06502,TGA Dataset
850,1123,1e-10,-10.0,0.047,0.003995,0.003995,0.006791,TGA Dataset
900,1173,1.0,0.0,0.029,0.002465,0.002465,0.004191,TGA Dataset
900,1173,0.21,-0.678,0.037,0.003145,0.003145,0.005347,TGA Dataset
900,1173,0.01,-2.0,0.043,0.003655,0.003655,0.006213,TGA Dataset
900,1173,1e-5,-5.0,0.047,0.003995,0.003995,0.006791,TGA Dataset
900,1173,1e-10,-10.0,0.047,0.003995,0.003995,0.006791,TGA Dataset
