region_id,timestamp_utc,kgco2e_per_kwh
R1_NYISO_NYC,2024-06-01T00:00:00Z,0.3673
R1_NYISO_NYC,2024-06-01T01:00:00Z,0.3721
R1_NYISO_NYC,2024-06-01T02:00:00Z,0.3816
R1_NYISO_NYC,2024-06-01T03:00:00Z,0.3726
R1_NYISO_NYC,2024-06-01T04:00:00Z,0.4257
R1_NYISO_NYC,2024-06-01T05:00:00Z,0.4374
R1_NYISO_NYC,2024-06-01T06:00:00Z,0.4383
R1_NYISO_NYC,2024-06-01T07:00:00Z,0.4133
R1_NYISO_NYC,2024-06-01T08:00:00Z,0.4282
R1_NYISO_NYC,2024-06-01T09:00:00Z,0.4692
R1_NYISO_NYC,2024-06-01T10:00:00Z,0.4192
R1_NYISO_NYC,2024-06-01T11:00:00Z,0.4727
R1_NYISO_NYC,2024-06-01T12:00:00Z,0.4387
R1_NYISO_NYC,2024-06-01T13:00:00Z,0.4722
R1_NYISO_NYC,2024-06-01T14:00:00Z,0.4479
R1_NYISO_NYC,2024-06-01T15:00:00Z,0.448
R1_NYISO_NYC,2024-06-01T16:00:00Z,0.4098
R1_NYISO_NYC,2024-06-01T17:00:00Z,0.4304
R1_NYISO_NYC,2024-06-01T18:00:00Z,0.4232
R1_NYISO_NYC,2024-06-01T19:00:00Z,0.4149
R1_NYISO_NYC,2024-06-01T20:00:00Z,0.4039
R1_NYISO_NYC,2024-06-01T21:00:00Z,0.4094
R1_NYISO_NYC,2024-06-01T22:00:00Z,0.3686
R1_NYISO_NYC,2024-06-01T23:00:00Z,0.3547
R1_NYISO_NYC,2024-06-02T00:00:00Z,0.3793
R1_NYISO_NYC,2024-06-02T01:00:00Z,0.3772
R1_NYISO_NYC,2024-06-02T02:00:00Z,0.3686
R1_NYISO_NYC,2024-06-02T03:00:00Z,0.383
R1_NYISO_NYC,2024-06-02T04:00:00Z,0.4015
R1_NYISO_NYC,2024-06-02T05:00:00Z,0.4369
R1_NYISO_NYC,2024-06-02T06:00:00Z,0.4143
R1_NYISO_NYC,2024-06-02T07:00:00Z,0.4319
R1_NYISO_NYC,2024-06-02T08:00:00Z,0.4451
R1_NYISO_NYC,2024-06-02T09:00:00Z,0.4472
R1_NYISO_NYC,2024-06-02T10:00:00Z,0.4377
R1_NYISO_NYC,2024-06-02T11:00:00Z,0.4384
R1_NYISO_NYC,2024-06-02T12:00:00Z,0.4668
R1_NYISO_NYC,2024-06-02T13:00:00Z,0.4333
R1_NYISO_NYC,2024-06-02T14:00:00Z,0.4526
R1_NYISO_NYC,2024-06-02T15:00:00Z,0.4537
R1_NYISO_NYC,2024-06-02T16:00:00Z,0.4481
R1_NYISO_NYC,2024-06-02T17:00:00Z,0.4128
R1_NYISO_NYC,2024-06-02T18:00:00Z,0.4222
R1_NYISO_NYC,2024-06-02T19:00:00Z,0.4324
R1_NYISO_NYC,2024-06-02T20:00:00Z,0.4023
R1_NYISO_NYC,2024-06-02T21:00:00Z,0.4034
R1_NYISO_NYC,2024-06-02T22:00:00Z,0.3745
R1_NYISO_NYC,2024-06-02T23:00:00Z,0.3911
R1_NYISO_NYC,2024-06-03T00:00:00Z,0.3651
R1_NYISO_NYC,2024-06-03T01:00:00Z,0.3778
R1_NYISO_NYC,2024-06-03T02:00:00Z,0.3941
R1_NYISO_NYC,2024-06-03T03:00:00Z,0.4064
R1_NYISO_NYC,2024-06-03T04:00:00Z,0.3989
R1_NYISO_NYC,2024-06-03T05:00:00Z,0.4036
R1_NYISO_NYC,2024-06-03T06:00:00Z,0.4186
R1_NYISO_NYC,2024-06-03T07:00:00Z,0.4334
R1_NYISO_NYC,2024-06-03T08:00:00Z,0.4488
R1_NYISO_NYC,2024-06-03T09:00:00Z,0.4652
R1_NYISO_NYC,2024-06-03T10:00:00Z,0.4579
R1_NYISO_NYC,2024-06-03T11:00:00Z,0.4742
R1_NYISO_NYC,2024-06-03T12:00:00Z,0.4252
R1_NYISO_NYC,2024-06-03T13:00:00Z,0.4272
R1_NYISO_NYC,2024-06-03T14:00:00Z,0.4674
R1_NYISO_NYC,2024-06-03T15:00:00Z,0.4365
R1_NYISO_NYC,2024-06-03T16:00:00Z,0.42
R1_NYISO_NYC,2024-06-03T17:00:00Z,0.4342
R1_NYISO_NYC,2024-06-03T18:00:00Z,0.4259
R1_NYISO_NYC,2024-06-03T19:00:00Z,0.402
R1_NYISO_NYC,2024-06-03T20:00:00Z,0.4079
R1_NYISO_NYC,2024-06-03T21:00:00Z,0.4036
R1_NYISO_NYC,2024-06-03T22:00:00Z,0.3972
R1_NYISO_NYC,2024-06-03T23:00:00Z,0.3605
R1_NYISO_NYC,2024-06-04T00:00:00Z,0.361
R1_NYISO_NYC,2024-06-04T01:00:00Z,0.3552
R1_NYISO_NYC,2024-06-04T02:00:00Z,0.3733
R1_NYISO_NYC,2024-06-04T03:00:00Z,0.3703
R1_NYISO_NYC,2024-06-04T04:00:00Z,0.404
R1_NYISO_NYC,2024-06-04T05:00:00Z,0.431
R1_NYISO_NYC,2024-06-04T06:00:00Z,0.4241
R1_NYISO_NYC,2024-06-04T07:00:00Z,0.4434
R1_NYISO_NYC,2024-06-04T08:00:00Z,0.4344
R1_NYISO_NYC,2024-06-04T09:00:00Z,0.4343
