measure_id,building_type,climate_zone,applicability_score
ME_EN_ROOF_R21_POLYISO,Office,1A,0.91
ME_EN_ROOF_R21_POLYISO,Office,1B,0.85
ME_EN_ROOF_R21_POLYISO,Office,1C,0.88
ME_EN_ROOF_R21_POLYISO,Office,2A,0.87
ME_EN_ROOF_R21_POLYISO,Office,2B,0.92
ME_EN_ROOF_R21_POLYISO,Office,2C,0.92
ME_EN_ROOF_R21_POLYISO,Office,3A,0.94
ME_EN_ROOF_R21_POLYISO,Office,3B,0.86
ME_EN_ROOF_R21_POLYISO,Office,3C,0.89
ME_EN_ROOF_R21_POLYISO,Office,4A,0.85
ME_EN_ROOF_R21_POLYISO,Office,4B,0.87
ME_EN_ROOF_R21_POLYISO,Office,4C,0.9
ME_EN_ROOF_R21_POLYISO,Office,5A,0.85
ME_EN_ROOF_R21_POLYISO,Office,5B,0.87
ME_EN_ROOF_R21_POLYISO,Office,5C,0.91
ME_EN_ROOF_R21_POLYISO,Office,6A,0.9
ME_EN_ROOF_R21_POLYISO,Office,6B,0.87
ME_EN_ROOF_R21_POLYISO,Office,6C,0.91
ME_EN_ROOF_R21_POLYISO,Office,7A,0.93
ME_EN_ROOF_R21_POLYISO,Office,7B,0.85
ME_EN_ROOF_R21_POLYISO,Office,7C,0.93
ME_EN_ROOF_R21_POLYISO,School,1A,0.92
ME_EN_ROOF_R21_POLYISO,School,1B,0.88
ME_EN_ROOF_R21_POLYISO,School,1C,0.87
ME_EN_ROOF_R21_POLYISO,School,2A,0.95
ME_EN_ROOF_R21_POLYISO,School,2B,0.88
ME_EN_ROOF_R21_POLYISO,School,2C,0.86
ME_EN_ROOF_R21_POLYISO,School,3A,0.86
ME_EN_ROOF_R21_POLYISO,School,3B,0.93
ME_EN_ROOF_R21_POLYISO,School,3C,0.91
ME_EN_ROOF_R21_POLYISO,School,4A,0.93
ME_EN_ROOF_R21_POLYISO,School,4B,0.92
ME_EN_ROOF_R21_POLYISO,School,4C,0.9
ME_EN_ROOF_R21_POLYISO,School,5A,0.95
ME_EN_ROOF_R21_POLYISO,School,5B,0.89
ME_EN_ROOF_R21_POLYISO,School,5C,0.91
ME_EN_ROOF_R21_POLYISO,School,6A,0.93
ME_EN_ROOF_R21_POLYISO,School,6B,0.91
ME_EN_ROOF_R21_POLYISO,School,6C,0.94
ME_EN_ROOF_R21_POLYISO,School,7A,0.91
ME_EN_ROOF_R21_POLYISO,School,7B,0.92
ME_EN_ROOF_R21_POLYISO,School,7C,0.85
ME_EN_ROOF_R21_POLYISO,Residential,1A,0.87
ME_EN_ROOF_R21_POLYISO,Residential,1B,0.88
ME_EN_ROOF_R21_POLYISO,Residential,1C,0.86
ME_EN_ROOF_R21_POLYISO,Residential,2A,0.87
ME_EN_ROOF_R21_POLYISO,Residential,2B,0.86
ME_EN_ROOF_R21_POLYISO,Residential,2C,0.88
ME_EN_ROOF_R21_POLYISO,Residential,3A,0.91
ME_EN_ROOF_R21_POLYISO,Residential,3B,0.89
ME_EN_ROOF_R21_POLYISO,Residential,3C,0.89
ME_EN_ROOF_R21_POLYISO,Residential,4A,0.87
ME_EN_ROOF_R21_POLYISO,Residential,4B,0.88
ME_EN_ROOF_R21_POLYISO,Residential,4C,0.94
ME_EN_ROOF_R21_POLYISO,Residential,5A,0.91
ME_EN_ROOF_R21_POLYISO,Residential,5B,0.91
ME_EN_ROOF_R21_POLYISO,Residential,5C,0.87
ME_EN_ROOF_R21_POLYISO,Residential,6A,0.92
ME_EN_ROOF_R21_POLYISO,Residential,6B,0.87
ME_EN_ROOF_R21_POLYISO,Residential,6C,0.89
ME_EN_ROOF_R21_POLYISO,Residential,7A,0.95
ME_EN_ROOF_R21_POLYISO,Residential,7B,0.91
ME_EN_ROOF_R21_POLYISO,Residential,7C,0.91
ME_EN_ROOF_R21_POLYISO,Hospital,1A,0.92
ME_EN_ROOF_R21_POLYISO,Hospital,1B,0.93
ME_EN_ROOF_R21_POLYISO,Hospital,1C,0.93
ME_EN_ROOF_R21_POLYISO,Hospital,2A,0.87
ME_EN_ROOF_R21_POLYISO,Hospital,2B,0.85
ME_EN_ROOF_R21_POLYISO,Hospital,2C,0.88
ME_EN_ROOF_R21_POLYISO,Hospital,3A,0.88
ME_EN_ROOF_R21_POLYISO,Hospital,3B,0.87
ME_EN_ROOF_R21_POLYISO,Hospital,3C,0.94
ME_EN_ROOF_R21_POLYISO,Hospital,4A,0.94
ME_EN_ROOF_R21_POLYISO,Hospital,4B,0.88
ME_EN_ROOF_R21_POLYISO,Hospital,4C,0.92
ME_EN_ROOF_R21_POLYISO,Hospital,5A,0.89
ME_EN_ROOF_R21_POLYISO,Hospital,5B,0.94
ME_EN_ROOF_R21_POLYISO,Hospital,5C,0.9
ME_EN_ROOF_R21_POLYISO,Hospital,6A,0.88
ME_EN_ROOF_R21_POLYISO,Hospital,6B,0.87
ME_EN_ROOF_R21_POLYISO,Hospital,6C,0.91
ME_EN_ROOF_R21_POLYISO,Hospital,7A,0.88
ME_EN_ROOF_R21_POLYISO,Hospital,7B,0.91
ME_EN_ROOF_R21_POLYISO,Hospital,7C,0.94
ME_EN_ROOF_R21_POLYISO,Retail,1A,0.89
ME_EN_ROOF_R21_POLYISO,Retail,1B,0.87
ME_EN_ROOF_R21_POLYISO,Retail,1C,0.95
ME_EN_ROOF_R21_POLYISO,Retail,2A,0.9
ME_EN_ROOF_R21_POLYISO,Retail,2B,0.86
ME_EN_ROOF_R21_POLYISO,Retail,2C,0.85
ME_EN_ROOF_R21_POLYISO,Retail,3A,0.86
ME_EN_ROOF_R21_POLYISO,Retail,3B,0.91
ME_EN_ROOF_R21_POLYISO,Retail,3C,0.93
ME_EN_ROOF_R21_POLYISO,Retail,4A,0.89
ME_EN_ROOF_R21_POLYISO,Retail,4B,0.86
ME_EN_ROOF_R21_POLYISO,Retail,4C,0.89
ME_EN_ROOF_R21_POLYISO,Retail,5A,0.95
ME_EN_ROOF_R21_POLYISO,Retail,5B,0.9
ME_EN_ROOF_R21_POLYISO,Retail,5C,0.95
ME_EN_ROOF_R21_POLYISO,Retail,6A,0.94
ME_EN_ROOF_R21_POLYISO,Retail,6B,0.85
ME_EN_ROOF_R21_POLYISO,Retail,6C,0.92
ME_EN_ROOF_R21_POLYISO,Retail,7A,0.92
ME_EN_ROOF_R21_POLYISO,Retail,7B,0.9
ME_EN_ROOF_R21_POLYISO,Retail,7C,0.88
ME_EN_ROOF_R21_POLYISO,Warehouse,1A,0.91
ME_EN_ROOF_R21_POLYISO,Warehouse,1B,0.86
ME_EN_ROOF_R21_POLYISO,Warehouse,1C,0.89
ME_EN_ROOF_R21_POLYISO,Warehouse,2A,0.9
ME_EN_ROOF_R21_POLYISO,Warehouse,2B,0.95
ME_EN_ROOF_R21_POLYISO,Warehouse,2C,0.94
ME_EN_ROOF_R21_POLYISO,Warehouse,3A,0.88
ME_EN_ROOF_R21_POLYISO,Warehouse,3B,0.9
ME_EN_ROOF_R21_POLYISO,Warehouse,3C,0.87
ME_EN_ROOF_R21_POLYISO,Warehouse,4A,0.94
ME_EN_ROOF_R21_POLYISO,Warehouse,4B,0.94
ME_EN_ROOF_R21_POLYISO,Warehouse,4C,0.88
ME_EN_ROOF_R21_POLYISO,Warehouse,5A,0.91
ME_EN_ROOF_R21_POLYISO,Warehouse,5B,0.91
ME_EN_ROOF_R21_POLYISO,Warehouse,5C,0.87
ME_EN_ROOF_R21_POLYISO,Warehouse,6A,0.93
ME_EN_ROOF_R21_POLYISO,Warehouse,6B,0.9
ME_EN_ROOF_R21_POLYISO,Warehouse,6C,0.93
ME_EN_ROOF_R21_POLYISO,Warehouse,7A,0.9
ME_EN_ROOF_R21_POLYISO,Warehouse,7B,0.85
ME_EN_ROOF_R21_POLYISO,Warehouse,7C,0.88
ME_EN_ROOF_R42_POLYISO,Office,1A,0.85
ME_EN_ROOF_R42_POLYISO,Office,1B,0.94
ME_EN_ROOF_R42_POLYISO,Office,1C,0.94
ME_EN_ROOF_R42_POLYISO,Office,2A,0.93
ME_EN_ROOF_R42_POLYISO,Office,2B,0.88
ME_EN_ROOF_R42_POLYISO,Office,2C,0.86
ME_EN_ROOF_R42_POLYISO,Office,3A,0.94
ME_EN_ROOF_R42_POLYISO,Office,3B,0.94
ME_EN_ROOF_R42_POLYISO,Office,3C,0.86
ME_EN_ROOF_R42_POLYISO,Office,4A,0.9
ME_EN_ROOF_R42_POLYISO,Office,4B,0.86
ME_EN_ROOF_R42_POLYISO,Office,4C,0.93
ME_EN_ROOF_R42_POLYISO,Office,5A,0.93
ME_EN_ROOF_R42_POLYISO,Office,5B,0.86
ME_EN_ROOF_R42_POLYISO,Office,5C,0.9
ME_EN_ROOF_R42_POLYISO,Office,6A,0.9
ME_EN_ROOF_R42_POLYISO,Office,6B,0.88
ME_EN_ROOF_R42_POLYISO,Office,6C,0.94
ME_EN_ROOF_R42_POLYISO,Office,7A,0.89
ME_EN_ROOF_R42_POLYISO,Office,7B,0.87
ME_EN_ROOF_R42_POLYISO,Office,7C,0.9
ME_EN_ROOF_R42_POLYISO,School,1A,0.92
ME_EN_ROOF_R42_POLYISO,School,1B,0.87
ME_EN_ROOF_R42_POLYISO,School,1C,0.88
ME_EN_ROOF_R42_POLYISO,School,2A,0.95
ME_EN_ROOF_R42_POLYISO,School,2B,0.91
ME_EN_ROOF_R42_POLYISO,School,2C,0.89
ME_EN_ROOF_R42_POLYISO,School,3A,0.9
ME_EN_ROOF_R42_POLYISO,School,3B,0.86
ME_EN_ROOF_R42_POLYISO,School,3C,0.87
ME_EN_ROOF_R42_POLYISO,School,4A,0.88
ME_EN_ROOF_R42_POLYISO,School,4B,0.91
ME_EN_ROOF_R42_POLYISO,School,4C,0.87
ME_EN_ROOF_R42_POLYISO,School,5A,0.87
ME_EN_ROOF_R42_POLYISO,School,5B,0.86
ME_EN_ROOF_R42_POLYISO,School,5C,0.91
ME_EN_ROOF_R42_POLYISO,School,6A,0.87
ME_EN_ROOF_R42_POLYISO,School,6B,0.94
ME_EN_ROOF_R42_POLYISO,School,6C,0.94
ME_EN_ROOF_R42_POLYISO,School,7A,0.86
ME_EN_ROOF_R42_POLYISO,School,7B,0.87
ME_EN_ROOF_R42_POLYISO,School,7C,0.92
