position_um,Ni_at%,Zr_at%,Y_at%,O_at%,note
0,30.00,59.00,8.00,3.00,interface traverse
10,30.83,58.96,8.11,2.10,interface traverse
20,31.64,58.86,8.22,1.29,interface traverse
30,32.40,58.68,8.33,0.59,interface traverse
40,33.09,58.44,8.43,0.03,interface traverse
50,33.70,58.14,8.53,-0.37,interface traverse
60,34.21,57.79,8.62,-0.61,interface traverse
70,34.60,57.38,8.70,-0.68,interface traverse
80,34.86,56.93,8.78,-0.57,interface traverse
90,34.99,56.45,8.84,-0.28,interface traverse
100,34.98,55.94,8.90,0.19,interface traverse
110,34.83,55.42,8.94,0.82,interface traverse
120,34.55,54.88,8.97,1.60,interface traverse
130,34.14,54.35,8.99,2.52,interface traverse
140,33.62,53.83,9.00,3.55,interface traverse
150,32.99,53.34,9.00,4.68,interface traverse
160,32.29,52.87,8.98,5.87,interface traverse
170,31.52,52.44,8.95,7.10,interface traverse
180,30.71,52.05,8.91,8.33,interface traverse
190,29.87,51.72,8.86,9.55,interface traverse
200,29.05,51.44,8.80,10.71,interface traverse
210,28.25,51.23,8.72,11.80,interface traverse
220,27.49,51.09,8.64,12.78,interface traverse
230,26.81,51.01,8.55,13.63,interface traverse
240,26.22,51.01,8.46,14.32,interface traverse
250,25.73,51.07,8.36,14.84,interface traverse
260,25.35,51.21,8.25,15.19,interface traverse
270,25.11,51.41,8.14,15.33,interface traverse
280,25.01,51.68,8.03,15.28,interface traverse
290,25.04,52.01,7.92,15.04,interface traverse
300,25.21,52.39,7.81,14.60,interface traverse
310,25.51,52.81,7.70,13.98,interface traverse
320,25.93,53.28,7.60,13.19,interface traverse
330,26.47,53.77,7.50,12.26,interface traverse
340,27.11,54.29,7.41,11.20,interface traverse
350,27.83,54.82,7.32,10.04,interface traverse
360,28.60,55.35,7.24,8.80,interface traverse
370,29.42,55.88,7.18,7.53,interface traverse
380,30.25,56.39,7.12,6.24,interface traverse
390,31.08,56.87,7.07,4.98,interface traverse
400,31.87,57.33,7.04,3.77,interface traverse
410,32.61,57.74,7.01,2.63,interface traverse
420,33.28,58.10,7.00,1.61,interface traverse
430,33.86,58.41,7.00,0.72,interface traverse
440,34.34,58.66,7.02,-0.01,interface traverse
450,34.69,58.84,7.04,-0.57,interface traverse
460,34.91,58.96,7.08,-0.95,interface traverse
470,35.00,59.00,7.13,-1.13,interface traverse
480,34.95,58.97,7.19,-1.11,interface traverse
490,34.76,58.88,7.26,-0.89,interface traverse
500,34.44,58.71,7.33,-0.48,interface traverse
