x_um,y_um,phase,modulus_GPa,hardness_GPa,creep_compliance_1GPa_s
0,0,YSZ,187.78,14.96,0.0126
0,10,YSZ,185.31,14.54,0.0149
0,20,YSZ,188.42,14.81,0.0146
0,30,YSZ,189.05,14.95,0.0146
0,40,YSZ,188.84,15.15,0.0120
0,50,YSZ,186.47,14.89,0.0125
0,60,YSZ,189.66,14.85,0.0141
0,70,YSZ,188.48,14.97,0.0126
0,80,YSZ,189.02,14.84,0.0144
0,90,YSZ,185.08,14.71,0.0141
0,100,Ni-YSZ,111.49,9.83,0.0186
0,110,Ni-YSZ,112.35,9.95,0.0188
0,120,Ni-YSZ,112.16,9.69,0.0200
0,130,Ni-YSZ,111.57,9.56,0.0218
0,140,Ni-YSZ,111.07,9.39,0.0204
0,150,Ni-YSZ,111.13,9.74,0.0220
0,160,Ni-YSZ,111.86,9.74,0.0194
0,170,Ni-YSZ,110.63,9.49,0.0213
0,180,Ni-YSZ,111.49,9.36,0.0187
0,190,Ni-YSZ,110.72,9.43,0.0195
0,200,Ni-YSZ,113.53,9.86,0.0188
10,0,YSZ,185.14,14.99,0.0125
10,10,YSZ,186.14,14.58,0.0145
10,20,YSZ,188.68,15.02,0.0132
10,30,YSZ,188.49,15.34,0.0144
10,40,YSZ,186.53,14.68,0.0136
10,50,YSZ,186.53,15.19,0.0129
10,60,YSZ,188.30,15.40,0.0143
10,70,YSZ,187.44,14.82,0.0124
10,80,YSZ,188.28,15.06,0.0137
10,90,YSZ,185.17,14.99,0.0133
10,100,Ni-YSZ,111.00,9.58,0.0217
10,110,Ni-YSZ,111.63,9.86,0.0220
10,120,Ni-YSZ,111.03,9.66,0.0201
10,130,Ni-YSZ,112.68,9.42,0.0195
10,140,Ni-YSZ,111.90,9.79,0.0202
10,150,Ni-YSZ,110.09,9.15,0.0189
10,160,Ni-YSZ,111.24,9.87,0.0186
10,170,Ni-YSZ,110.36,9.42,0.0198
10,180,Ni-YSZ,110.91,9.14,0.0181
10,190,Ni-YSZ,113.18,9.23,0.0200
10,200,Ni-YSZ,110.88,9.53,0.0183
20,0,YSZ,185.63,15.49,0.0148
20,10,YSZ,185.63,14.80,0.0138
20,20,YSZ,188.25,14.51,0.0121
20,30,YSZ,185.09,15.04,0.0144
20,40,YSZ,187.81,15.11,0.0149
20,50,YSZ,189.00,15.47,0.0145
20,60,YSZ,189.68,14.61,0.0128
20,70,YSZ,186.99,14.89,0.0132
20,80,YSZ,187.08,14.74,0.0139
20,90,YSZ,189.60,15.00,0.0125
20,100,Ni-YSZ,110.04,9.69,0.0186
20,110,Ni-YSZ,109.82,9.88,0.0197
20,120,Ni-YSZ,112.24,9.58,0.0198
20,130,Ni-YSZ,112.33,9.66,0.0220
20,140,Ni-YSZ,111.56,9.28,0.0204
20,150,Ni-YSZ,111.40,9.14,0.0203
20,160,Ni-YSZ,110.73,9.14,0.0207
20,170,Ni-YSZ,111.74,9.60,0.0183
20,180,Ni-YSZ,113.30,9.08,0.0192
20,190,Ni-YSZ,111.78,9.06,0.0213
20,200,Ni-YSZ,112.39,9.12,0.0200
30,0,YSZ,188.65,14.62,0.0131
30,10,YSZ,185.83,15.23,0.0149
30,20,YSZ,188.09,14.86,0.0139
30,30,YSZ,188.04,15.30,0.0147
30,40,YSZ,186.05,14.70,0.0122
30,50,YSZ,188.92,14.94,0.0126
30,60,YSZ,187.36,15.42,0.0144
30,70,YSZ,187.75,15.29,0.0146
30,80,YSZ,189.31,14.79,0.0148
30,90,YSZ,188.39,15.44,0.0121
30,100,Ni-YSZ,110.78,9.73,0.0187
30,110,Ni-YSZ,112.30,9.95,0.0216
30,120,Ni-YSZ,112.17,9.63,0.0190
30,130,Ni-YSZ,110.69,9.30,0.0183
30,140,Ni-YSZ,110.34,9.57,0.0191
30,150,Ni-YSZ,110.57,9.41,0.0208
30,160,Ni-YSZ,111.36,9.94,0.0205
30,170,Ni-YSZ,110.55,9.55,0.0197
30,180,Ni-YSZ,110.04,9.47,0.0208
30,190,Ni-YSZ,113.75,9.21,0.0206
30,200,Ni-YSZ,109.93,9.46,0.0195
40,0,YSZ,185.69,14.58,0.0130
40,10,YSZ,185.17,15.18,0.0148
40,20,YSZ,186.47,15.40,0.0127
40,30,YSZ,186.79,14.53,0.0144
40,40,YSZ,188.13,14.72,0.0127
40,50,YSZ,186.64,15.12,0.0125
40,60,YSZ,184.76,15.30,0.0142
40,70,YSZ,186.86,15.36,0.0126
40,80,YSZ,185.39,15.35,0.0132
40,90,YSZ,188.61,15.39,0.0146
40,100,Ni-YSZ,110.40,9.08,0.0218
40,110,Ni-YSZ,111.68,9.18,0.0205
40,120,Ni-YSZ,111.48,9.53,0.0201
40,130,Ni-YSZ,112.47,9.95,0.0202
40,140,Ni-YSZ,111.72,9.63,0.0211
40,150,Ni-YSZ,112.62,9.02,0.0196
40,160,Ni-YSZ,113.30,9.03,0.0188
40,170,Ni-YSZ,112.18,9.47,0.0182
40,180,Ni-YSZ,112.96,9.60,0.0216
40,190,Ni-YSZ,110.58,9.38,0.0212
40,200,Ni-YSZ,110.04,9.53,0.0215
50,0,YSZ,184.73,14.50,0.0122
50,10,YSZ,187.84,14.92,0.0138
50,20,YSZ,185.43,14.59,0.0136
50,30,YSZ,188.18,15.07,0.0125
50,40,YSZ,187.05,14.78,0.0126
50,50,YSZ,189.00,14.65,0.0127
50,60,YSZ,184.96,15.25,0.0141
50,70,YSZ,185.25,15.04,0.0129
50,80,YSZ,184.81,15.23,0.0140
50,90,YSZ,188.80,15.29,0.0126
50,100,Ni-YSZ,112.60,9.80,0.0189
50,110,Ni-YSZ,112.84,9.42,0.0206
50,120,Ni-YSZ,111.19,9.57,0.0209
50,130,Ni-YSZ,113.34,9.26,0.0192
50,140,Ni-YSZ,110.02,9.73,0.0203
50,150,Ni-YSZ,110.79,9.59,0.0209
50,160,Ni-YSZ,111.69,9.65,0.0199
50,170,Ni-YSZ,110.46,9.76,0.0181
50,180,Ni-YSZ,111.64,9.78,0.0210
50,190,Ni-YSZ,110.36,9.60,0.0202
50,200,Ni-YSZ,111.22,9.30,0.0194
60,0,YSZ,187.57,14.56,0.0143
60,10,YSZ,185.79,14.91,0.0130
60,20,YSZ,189.46,14.79,0.0138
60,30,YSZ,186.00,14.85,0.0130
60,40,YSZ,188.92,15.09,0.0148
60,50,YSZ,187.60,14.57,0.0137
60,60,YSZ,185.02,14.73,0.0130
60,70,YSZ,185.12,15.19,0.0123
60,80,YSZ,188.87,15.33,0.0141
60,90,YSZ,186.58,14.69,0.0120
60,100,Ni-YSZ,112.66,9.77,0.0183
60,110,Ni-YSZ,111.70,9.98,0.0199
60,120,Ni-YSZ,113.03,9.94,0.0211
60,130,Ni-YSZ,111.41,9.20,0.0185
60,140,Ni-YSZ,112.73,9.04,0.0208
60,150,Ni-YSZ,112.43,9.62,0.0211
60,160,Ni-YSZ,110.71,9.68,0.0180
60,170,Ni-YSZ,112.02,9.77,0.0208
60,180,Ni-YSZ,112.46,9.60,0.0202
60,190,Ni-YSZ,111.29,9.98,0.0209
60,200,Ni-YSZ,111.32,9.69,0.0200
70,0,YSZ,186.95,14.67,0.0134
70,10,YSZ,189.33,15.48,0.0132
70,20,YSZ,188.17,14.88,0.0138
70,30,YSZ,188.75,14.61,0.0139
70,40,YSZ,187.30,15.27,0.0128
70,50,YSZ,186.19,15.50,0.0149
70,60,YSZ,186.24,15.05,0.0142
70,70,YSZ,184.75,14.72,0.0130
70,80,YSZ,187.44,15.09,0.0129
70,90,YSZ,186.09,15.47,0.0150
70,100,Ni-YSZ,112.88,9.42,0.0187
70,110,Ni-YSZ,110.79,9.35,0.0186
70,120,Ni-YSZ,112.44,9.04,0.0201
70,130,Ni-YSZ,110.87,9.85,0.0206
70,140,Ni-YSZ,113.46,9.37,0.0196
70,150,Ni-YSZ,110.53,9.67,0.0196
70,160,Ni-YSZ,110.34,9.97,0.0218
70,170,Ni-YSZ,113.23,9.99,0.0187
70,180,Ni-YSZ,110.52,9.53,0.0211
70,190,Ni-YSZ,111.74,9.81,0.0209
70,200,Ni-YSZ,111.73,9.58,0.0186
80,0,YSZ,187.95,15.33,0.0135
80,10,YSZ,188.68,14.99,0.0136
80,20,YSZ,186.31,15.26,0.0132
80,30,YSZ,189.50,15.17,0.0143
80,40,YSZ,186.55,15.36,0.0133
80,50,YSZ,188.58,15.49,0.0132
80,60,YSZ,188.38,15.35,0.0132
80,70,YSZ,189.26,14.53,0.0148
80,80,YSZ,188.09,15.01,0.0142
80,90,YSZ,186.77,15.50,0.0130
80,100,Ni-YSZ,112.08,9.65,0.0186
80,110,Ni-YSZ,110.10,9.44,0.0206
80,120,Ni-YSZ,112.27,9.76,0.0196
80,130,Ni-YSZ,109.84,9.72,0.0183
80,140,Ni-YSZ,112.89,9.09,0.0217
80,150,Ni-YSZ,110.62,9.87,0.0217
80,160,Ni-YSZ,112.25,9.61,0.0211
80,170,Ni-YSZ,109.81,9.52,0.0212
80,180,Ni-YSZ,113.52,9.20,0.0193
80,190,Ni-YSZ,112.46,9.61,0.0192
80,200,Ni-YSZ,113.74,9.18,0.0218
90,0,YSZ,185.36,14.75,0.0132
90,10,YSZ,188.55,15.37,0.0125
90,20,YSZ,185.53,15.38,0.0147
90,30,YSZ,185.88,15.15,0.0150
90,40,YSZ,185.52,15.36,0.0146
90,50,YSZ,185.12,14.97,0.0134
90,60,YSZ,188.97,14.97,0.0149
90,70,YSZ,187.97,14.90,0.0125
90,80,YSZ,189.55,14.57,0.0143
90,90,YSZ,186.10,14.55,0.0149
90,100,Ni-YSZ,110.76,9.19,0.0189
90,110,Ni-YSZ,112.36,9.96,0.0184
90,120,Ni-YSZ,113.02,9.12,0.0219
90,130,Ni-YSZ,112.58,9.36,0.0205
90,140,Ni-YSZ,112.51,9.52,0.0199
90,150,Ni-YSZ,111.92,9.61,0.0218
90,160,Ni-YSZ,113.76,9.46,0.0197
90,170,Ni-YSZ,113.66,9.11,0.0213
90,180,Ni-YSZ,110.35,9.08,0.0216
90,190,Ni-YSZ,113.47,9.36,0.0218
90,200,Ni-YSZ,113.32,9.60,0.0186
100,0,Ni-YSZ,110.19,9.24,0.0184
100,10,Ni-YSZ,110.54,9.05,0.0189
100,20,Ni-YSZ,110.42,9.74,0.0203
100,30,Ni-YSZ,112.92,9.42,0.0184
100,40,Ni-YSZ,110.85,9.95,0.0208
100,50,Ni-YSZ,110.67,9.94,0.0186
100,60,Ni-YSZ,112.38,9.91,0.0191
100,70,Ni-YSZ,111.71,9.05,0.0194
100,80,Ni-YSZ,111.32,9.96,0.0209
100,90,Ni-YSZ,111.14,9.85,0.0193
100,100,Ni-YSZ,111.69,9.94,0.0203
100,110,Ni-YSZ,112.08,9.13,0.0205
100,120,Ni-YSZ,112.94,9.28,0.0195
100,130,Ni-YSZ,111.24,9.06,0.0211
100,140,Ni-YSZ,111.62,9.33,0.0209
100,150,Ni-YSZ,110.43,9.54,0.0207
100,160,Ni-YSZ,111.07,9.19,0.0203
100,170,Ni-YSZ,112.17,9.67,0.0205
100,180,Ni-YSZ,113.61,9.05,0.0204
100,190,Ni-YSZ,112.50,9.38,0.0198
100,200,Ni-YSZ,109.81,9.85,0.0195
110,0,Ni-YSZ,112.09,9.42,0.0201
110,10,Ni-YSZ,110.57,9.21,0.0212
110,20,Ni-YSZ,112.03,9.57,0.0214
110,30,Ni-YSZ,111.17,9.02,0.0188
110,40,Ni-YSZ,110.11,9.18,0.0209
110,50,Ni-YSZ,112.83,9.50,0.0217
110,60,Ni-YSZ,111.18,9.09,0.0203
110,70,Ni-YSZ,113.71,9.04,0.0205
110,80,Ni-YSZ,112.10,9.72,0.0181
110,90,Ni-YSZ,109.87,9.72,0.0215
110,100,Ni-YSZ,111.42,9.29,0.0192
110,110,Ni-YSZ,113.48,9.49,0.0200
110,120,Ni-YSZ,112.67,9.04,0.0183
110,130,Ni-YSZ,112.12,9.38,0.0184
110,140,Ni-YSZ,112.87,9.46,0.0191
110,150,Ni-YSZ,111.80,9.22,0.0211
110,160,Ni-YSZ,111.48,9.56,0.0214
110,170,Ni-YSZ,109.83,9.54,0.0216
110,180,Ni-YSZ,112.36,9.12,0.0205
110,190,Ni-YSZ,112.42,9.14,0.0194
110,200,Ni-YSZ,111.89,9.54,0.0205
120,0,Ni-YSZ,113.05,9.46,0.0185
120,10,Ni-YSZ,111.04,9.18,0.0187
120,20,Ni-YSZ,111.31,9.76,0.0202
120,30,Ni-YSZ,111.67,9.53,0.0180
120,40,Ni-YSZ,112.76,9.03,0.0189
120,50,Ni-YSZ,111.84,9.45,0.0212
120,60,Ni-YSZ,111.28,9.45,0.0194
120,70,Ni-YSZ,110.89,9.09,0.0198
120,80,Ni-YSZ,113.38,9.75,0.0204
120,90,Ni-YSZ,110.74,9.27,0.0185
120,100,Ni-YSZ,113.28,9.08,0.0204
120,110,Ni-YSZ,113.76,9.39,0.0211
120,120,Ni-YSZ,110.42,9.77,0.0201
120,130,Ni-YSZ,112.61,9.24,0.0182
120,140,Ni-YSZ,112.66,9.98,0.0184
120,150,Ni-YSZ,113.59,9.48,0.0201
120,160,Ni-YSZ,112.78,9.85,0.0220
120,170,Ni-YSZ,110.14,9.13,0.0183
120,180,Ni-YSZ,111.96,9.02,0.0213
120,190,Ni-YSZ,110.34,9.26,0.0184
120,200,Ni-YSZ,110.88,9.13,0.0187
130,0,Ni-YSZ,113.25,9.12,0.0203
130,10,Ni-YSZ,112.35,9.27,0.0194
130,20,Ni-YSZ,110.48,9.98,0.0203
130,30,Ni-YSZ,110.73,9.69,0.0202
130,40,Ni-YSZ,111.09,9.64,0.0182
130,50,Ni-YSZ,113.23,9.39,0.0216
130,60,Ni-YSZ,113.20,9.47,0.0181
130,70,Ni-YSZ,113.54,9.01,0.0182
130,80,Ni-YSZ,112.88,9.15,0.0192
130,90,Ni-YSZ,113.30,9.41,0.0197
130,100,Ni-YSZ,110.04,9.28,0.0202
130,110,Ni-YSZ,112.35,9.92,0.0213
130,120,Ni-YSZ,113.74,9.09,0.0212
130,130,Ni-YSZ,112.07,9.32,0.0200
130,140,Ni-YSZ,110.30,9.64,0.0185
130,150,Ni-YSZ,110.47,9.50,0.0201
130,160,Ni-YSZ,110.06,9.35,0.0219
130,170,Ni-YSZ,110.16,9.28,0.0220
130,180,Ni-YSZ,110.35,9.05,0.0186
130,190,Ni-YSZ,111.58,9.92,0.0202
130,200,Ni-YSZ,113.32,9.98,0.0213
140,0,Ni-YSZ,111.52,9.62,0.0210
140,10,Ni-YSZ,110.82,9.61,0.0213
140,20,Ni-YSZ,110.02,9.17,0.0186
140,30,Ni-YSZ,111.99,9.30,0.0212
140,40,Ni-YSZ,112.52,9.47,0.0192
140,50,Ni-YSZ,110.59,9.53,0.0205
140,60,Ni-YSZ,110.53,9.62,0.0217
140,70,Ni-YSZ,110.52,9.76,0.0219
140,80,Ni-YSZ,111.10,9.21,0.0216
140,90,Ni-YSZ,113.32,9.09,0.0215
