grain_id,x_um,y_um,phi1_deg,Phi_deg,phi2_deg
1,162.06,334.3,280.03,129.44,183.04
2,183.07,431.47,146.32,128.16,125.58
3,2.95,369.04,347.92,81.72,226.11
4,110.61,96.76,210.64,131.51,0.76
5,484.5,157.16,35.36,69.57,110.27
6,138.65,188.09,1.95,110.86,164.36
7,39.89,96.26,245.76,38.11,312.69
8,204.09,262.45,329.43,125.82,97.96
9,145.33,376.95,250.86,88.94,169.57
10,51.11,171.93,253.97,21.18,296.83
11,483.26,392.48,170.85,163.19,322.52
12,128.21,289.99,353.5,78.69,195.46
13,37.16,143.39,344.96,168.6,107.36
14,303.74,282.48,180.65,175.5,235.24
15,86.9,375.09,1.58,122.68,43.54
16,465.58,363.12,219.33,119.21,168.32
17,185.54,279.66,26.76,60.24,48.72
18,331.21,414.25,254.54,37.38,69.59
19,147.63,148.51,265.25,168.58,359.55
20,215.44,364.21,55.54,140.55,293.37
21,280.42,299.79,82.81,53.16,143.45
22,233.48,352.9,57.92,164.87,317.57
23,407.03,106.89,352.26,134.79,35.94
24,210.15,241.03,211.77,45.75,194.33
25,131.13,126.32,314.8,35.23,159.18
26,365.39,402.77,126.66,162.3,174.82
27,404.12,363.88,175.15,157.19,151.51
28,340.91,26.08,157.13,81.47,317.0
29,49.26,441.36,213.25,34.76,294.54
30,273.55,453.69,83.77,164.31,262.7
31,441.1,431.79,128.2,27.59,22.75
32,161.77,46.69,89.18,22.02,102.09
33,119.43,417.76,342.85,3.17,199.43
34,353.68,83.74,210.6,123.71,40.98
35,481.98,378.92,133.44,44.11,59.81
36,493.06,199.21,160.29,63.52,58.39
37,155.92,277.32,143.72,68.68,164.82
38,97.22,33.66,166.81,17.19,282.32
39,10.5,10.41,157.66,118.49,9.4
40,176.45,193.42,232.75,44.21,103.09
41,84.43,449.36,291.42,36.22,311.73
42,3.89,143.15,63.25,16.48,112.16
43,95.34,18.4,226.16,96.64,258.99
44,184.86,109.28,132.65,79.04,95.87
45,448.54,168.2,9.62,166.61,57.83
46,221.87,365.13,312.27,109.1,155.03
47,38.5,87.04,303.81,178.22,96.79
48,133.26,21.04,101.37,73.82,174.64
49,284.03,299.39,164.21,98.71,334.99
50,328.73,397.67,25.45,44.15,355.98
51,72.07,201.93,350.8,42.02,95.72
52,204.65,215.34,187.56,107.67,23.52
53,237.63,92.1,52.16,83.78,253.52
54,418.89,310.15,19.74,162.4,339.8
55,262.27,471.6,102.98,70.82,137.1
56,208.45,137.67,86.83,16.4,120.25
57,300.55,262.79,0.34,162.8,291.14
58,353.04,66.15,349.48,60.92,320.79
59,300.45,347.17,244.71,12.81,192.38
60,314.41,97.92,142.73,60.3,150.65
61,93.62,250.71,93.17,77.97,249.77
62,482.48,74.69,9.34,78.81,276.8
63,186.04,292.14,290.53,117.65,7.35
64,234.16,428.02,11.68,142.97,4.07
65,427.93,459.95,281.36,112.94,339.51
66,409.41,50.5,302.22,40.0,285.29
67,414.37,214.64,292.82,55.41,143.42
68,23.52,150.53,337.14,124.79,241.5
69,420.54,79.87,298.63,131.06,298.44
70,40.73,43.04,272.53,103.37,231.38
71,260.18,34.6,262.19,112.67,64.94
72,121.65,311.83,217.53,120.36,235.21
73,174.99,30.86,278.07,52.73,294.95
74,397.33,368.27,114.04,22.2,214.35
75,190.74,337.26,268.63,7.9,281.89
76,457.07,492.72,180.09,153.99,95.05
77,376.33,137.67,40.64,106.36,265.42
78,440.31,224.88,316.75,90.64,127.78
79,350.08,161.79,357.03,177.51,245.12
80,440.54,246.55,246.43,21.32,149.61
81,171.03,227.36,163.99,5.43,237.39
82,412.2,387.1,45.42,71.29,244.65
83,14.79,336.1,93.57,149.82,172.12
