case_id,case_type,magnitude_mw,peak_ground_acc_g,groundwater_depth_m,relative_density_percent,fines_content_percent,pore_pressure_ratio_peak,uplift_displacement_m,structural_damage_index,notes,groundwater_level_m,rainfall_event_mm,plasticity_index,sensitivity,slope_angle_deg,depth_to_slip_surface_m,pore_pressure_ratio,factor_of_safety,slip_surface_formed
CASE_LQ_0001,liquefaction_uplift,6.51,0.281,4.22,45.2,3.3,0.679,0.068,0.421,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0002,liquefaction_uplift,6.62,0.499,2.62,100.0,15.6,0.522,0.088,0.348,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0003,liquefaction_uplift,6.42,0.421,1.35,80.3,8.6,0.614,0.048,0.332,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0004,liquefaction_uplift,7.51,0.463,1.37,28.2,16.4,0.779,0.074,0.499,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0005,liquefaction_uplift,6.19,0.421,3.12,55.9,6.6,0.669,0.098,0.404,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0006,liquefaction_uplift,7.44,0.329,2.15,59.4,12.9,0.661,0.09,0.472,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0007,liquefaction_uplift,6.74,0.207,1.35,36.4,0.0,0.633,0.042,0.461,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0008,liquefaction_uplift,6.53,0.15,2.42,55.3,17.4,0.582,0.106,0.279,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0009,liquefaction_uplift,6.93,0.269,1.53,21.8,15.9,0.578,0.074,0.34,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0010,liquefaction_uplift,7.02,0.131,2.85,41.4,14.5,0.548,0.101,0.261,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0011,liquefaction_uplift,6.7,0.358,0.54,45.8,10.8,0.716,0.069,0.541,Liquefaction-induced uplift scenario,,,,,,,,,
