sample_id,liquid_limit,plastic_limit,plasticity_index,preconsolidation_stress_kpa,vertical_effective_stress_kpa,ocr,natural_water_content_percent,su_kpa,sensitivity,pore_pressure_ratio,clay_mineral,log10_k_m_per_s
CLAY_00001,41.3,21.2,20.1,124.7,88.2,1.41,50.0,8.0,4.01,0.394,illite-mixed,-10.678
CLAY_00002,38.4,35.2,7.0,81.8,64.2,1.27,22.8,8.0,3.14,0.36,kaolinite-dominant,-9.293
CLAY_00003,46.2,32.8,13.4,505.3,190.0,2.66,26.1,13.5,2.89,0.196,kaolinite-dominant,-9.423
CLAY_00004,58.7,21.2,37.5,199.8,93.3,2.14,31.6,8.0,8.92,0.521,illite-mixed,-9.95
CLAY_00005,40.5,20.8,19.8,576.2,218.9,2.63,44.1,8.0,3.62,0.334,kaolinite-dominant,-9.994
CLAY_00006,51.4,34.5,16.9,461.4,258.4,1.79,33.8,10.6,2.72,0.263,kaolinite-dominant,-9.446
CLAY_00007,30.3,23.3,7.0,172.3,55.2,3.12,33.5,8.5,12.02,0.217,kaolinite-dominant,-9.629
CLAY_00008,55.8,24.8,31.0,76.4,35.7,2.14,46.3,13.3,4.17,0.343,illite-mixed,-9.968
CLAY_00009,53.1,20.5,32.6,107.2,65.2,1.64,42.7,8.0,7.5,0.468,illite-mixed,-9.964
CLAY_00010,59.2,22.9,36.3,883.9,276.7,3.19,43.3,8.0,6.29,0.372,illite-mixed,-10.638
CLAY_00011,69.4,23.9,45.5,381.8,147.7,2.58,46.3,8.0,8.5,0.466,smectite-rich,-9.83
CLAY_00012,35.8,20.4,15.4,453.2,178.9,2.53,49.0,8.0,5.44,0.307,kaolinite-dominant,-10.455
CLAY_00013,47.3,29.9,17.4,322.6,157.8,2.04,29.9,10.5,8.41,0.331,kaolinite-dominant,-10.082
CLAY_00014,74.9,28.8,46.1,376.6,112.2,3.36,45.8,8.0,6.52,0.536,smectite-rich,-10.526
CLAY_00015,49.5,34.1,15.4,105.8,77.8,1.36,48.2,8.1,2.09,0.346,kaolinite-dominant,-8.978
CLAY_00016,74.8,32.5,42.3,128.7,76.3,1.69,62.6,8.0,6.97,0.476,smectite-rich,-10.104
CLAY_00017,66.2,20.6,45.7,99.7,77.6,1.28,58.9,8.0,8.56,0.529,smectite-rich,-10.581
CLAY_00018,25.0,19.5,7.0,877.8,260.0,3.38,47.0,8.0,5.3,0.232,kaolinite-dominant,-9.991
CLAY_00019,52.3,27.0,25.3,872.5,265.4,3.29,61.6,8.0,3.73,0.46,illite-mixed,-10.182
CLAY_00020,81.3,28.6,52.7,553.2,211.2,2.62,64.8,8.0,3.82,0.466,smectite-rich,-10.278
CLAY_00021,43.4,16.6,26.7,664.3,222.9,2.98,45.7,13.5,7.52,0.374,illite-mixed,-10.79
CLAY_00022,34.7,16.9,17.8,210.0,175.6,1.2,45.7,8.0,4.36,0.321,kaolinite-dominant,-9.897
CLAY_00023,59.5,25.8,33.7,304.9,167.4,1.82,60.8,8.0,6.12,0.451,illite-mixed,-9.928
CLAY_00024,67.8,18.6,49.2,97.1,90.8,1.07,60.3,13.0,6.5,0.561,smectite-rich,-10.425
CLAY_00025,47.9,25.9,22.0,185.3,109.3,1.7,36.1,8.0,5.54,0.373,illite-mixed,-9.885
CLAY_00026,62.5,22.3,40.3,121.6,67.3,1.81,59.0,8.0,6.56,0.485,smectite-rich,-10.338
CLAY_00027,57.0,14.5,42.5,142.9,99.6,1.43,44.3,8.0,7.63,0.508,smectite-rich,-10.108
CLAY_00028,69.6,43.9,25.7,99.9,71.6,1.39,33.2,8.0,9.89,0.431,illite-mixed,-9.776
CLAY_00029,56.2,28.3,27.9,672.0,232.5,2.89,42.3,24.0,10.14,0.396,illite-mixed,-9.84
CLAY_00030,50.6,19.1,31.5,526.8,179.0,2.94,39.7,8.0,5.76,0.417,illite-mixed,-10.207
CLAY_00031,32.5,24.4,8.1,497.0,249.0,2.0,42.5,16.1,6.09,0.304,kaolinite-dominant,-9.576
CLAY_00032,43.0,22.1,20.9,62.3,25.0,2.49,49.0,8.0,4.14,0.384,illite-mixed,-9.865
