feature,importance
mfg_cooling_rate,0.6746123395605289
mfg_sintering_temp,0.20098340172809656
y_symmetry,0.01646542113782316
mfg_green_density,0.013763361891455553
disp_std,0.013179889906631742
grad_max,0.006976091757783601
grad_std,0.006964676468846725
hour_of_day,0.006858088845734809
mfg_humidity,0.006544862686538242
disp_range,0.006229313506441943
curvature_max,0.00484144405538695
days_from_start,0.0046735597028378095
curvature_mean,0.004646554088082596
grad_mean,0.004541877128662948
x_symmetry,0.00448889896946785
mfg_sintering_time,0.0042775497811681756
disp_rms,0.0038544161994658534
center_edge_ratio,0.003014679680933356
day_of_week,0.002282048842834222
center_mean,0.0020535796062010653
disp_min,0.0020342950710856983
disp_mean,0.0019037616575283485
disp_max,0.0017272709100235467
edge_mean,0.0016821397794055469
mfg_furnace_position,0.0010461796052993878
shift,0.0003542974317354309
