feature,importance
disp_range,0.5926481933699864
disp_std,0.2613130080212887
x_symmetry,0.08297013122567506
mfg_cooling_rate,0.009012047866357164
y_symmetry,0.008415471451529762
grad_mean,0.007309713456502652
grad_std,0.005652143023092331
mfg_sintering_temp,0.003707764422608795
mfg_sintering_time,0.00269480929205857
days_from_start,0.0026153655787970968
curvature_mean,0.0025605636840167322
mfg_green_density,0.0025237048983569057
curvature_max,0.002345497715216369
grad_max,0.0022556790944260243
hour_of_day,0.0019514560709787024
mfg_furnace_position,0.0017813864359260113
mfg_humidity,0.0017679259542058567
disp_max,0.001523718232351972
disp_rms,0.0014892776122221907
disp_min,0.0010905242804063043
edge_mean,0.0010073639895019134
disp_mean,0.0008593239569441947
day_of_week,0.0008305756873077173
center_edge_ratio,0.0007206113012456424
center_mean,0.0006525368677819205
shift,0.00030120651121511564
