year,scenario,entity_type,discount_rate,location
2024,low,federal_government,0.015000000000000001,United States
2024,low,commercial_real_estate,0.055,United States
2024,low,residential_owner,0.034999999999999996,United States
2024,low,utility_company,0.045,United States
2024,base,federal_government,0.030000000000000002,United States
2024,base,commercial_real_estate,0.07,United States
2024,base,residential_owner,0.049999999999999996,United States
2024,base,utility_company,0.06,United States
2024,high,federal_government,0.04,United States
2024,high,commercial_real_estate,0.08,United States
2024,high,residential_owner,0.06,United States
2024,high,utility_company,0.07,United States
2025,low,federal_government,0.015000000000000001,United States
2025,low,commercial_real_estate,0.055,United States
2025,low,residential_owner,0.034999999999999996,United States
2025,low,utility_company,0.045,United States
2025,base,federal_government,0.030000000000000002,United States
2025,base,commercial_real_estate,0.07,United States
2025,base,residential_owner,0.049999999999999996,United States
2025,base,utility_company,0.06,United States
2025,high,federal_government,0.04,United States
2025,high,commercial_real_estate,0.08,United States
2025,high,residential_owner,0.06,United States
2025,high,utility_company,0.07,United States
2026,low,federal_government,0.015000000000000001,United States
2026,low,commercial_real_estate,0.055,United States
2026,low,residential_owner,0.034999999999999996,United States
2026,low,utility_company,0.045,United States
2026,base,federal_government,0.030000000000000002,United States
2026,base,commercial_real_estate,0.07,United States
2026,base,residential_owner,0.049999999999999996,United States
2026,base,utility_company,0.06,United States
2026,high,federal_government,0.04,United States
2026,high,commercial_real_estate,0.08,United States
2026,high,residential_owner,0.06,United States
2026,high,utility_company,0.07,United States
2027,low,federal_government,0.015000000000000001,United States
2027,low,commercial_real_estate,0.055,United States
2027,low,residential_owner,0.034999999999999996,United States
2027,low,utility_company,0.045,United States
2027,base,federal_government,0.030000000000000002,United States
2027,base,commercial_real_estate,0.07,United States
2027,base,residential_owner,0.049999999999999996,United States
2027,base,utility_company,0.06,United States
2027,high,federal_government,0.04,United States
2027,high,commercial_real_estate,0.08,United States
2027,high,residential_owner,0.06,United States
2027,high,utility_company,0.07,United States
2028,low,federal_government,0.015000000000000001,United States
2028,low,commercial_real_estate,0.055,United States
2028,low,residential_owner,0.034999999999999996,United States
2028,low,utility_company,0.045,United States
2028,base,federal_government,0.030000000000000002,United States
2028,base,commercial_real_estate,0.07,United States
2028,base,residential_owner,0.049999999999999996,United States
2028,base,utility_company,0.06,United States
2028,high,federal_government,0.04,United States
2028,high,commercial_real_estate,0.08,United States
2028,high,residential_owner,0.06,United States
2028,high,utility_company,0.07,United States
2029,low,federal_government,0.015000000000000001,United States
2029,low,commercial_real_estate,0.055,United States
2029,low,residential_owner,0.034999999999999996,United States
2029,low,utility_company,0.045,United States
2029,base,federal_government,0.030000000000000002,United States
2029,base,commercial_real_estate,0.07,United States
2029,base,residential_owner,0.049999999999999996,United States
2029,base,utility_company,0.06,United States
2029,high,federal_government,0.04,United States
2029,high,commercial_real_estate,0.08,United States
2029,high,residential_owner,0.06,United States
2029,high,utility_company,0.07,United States
2030,low,federal_government,0.015000000000000001,United States
2030,low,commercial_real_estate,0.055,United States
2030,low,residential_owner,0.034999999999999996,United States
2030,low,utility_company,0.045,United States
2030,base,federal_government,0.030000000000000002,United States
2030,base,commercial_real_estate,0.07,United States
2030,base,residential_owner,0.049999999999999996,United States
2030,base,utility_company,0.06,United States
2030,high,federal_government,0.04,United States
2030,high,commercial_real_estate,0.08,United States
2030,high,residential_owner,0.06,United States
2030,high,utility_company,0.07,United States
2031,low,federal_government,0.015000000000000001,United States
2031,low,commercial_real_estate,0.055,United States
2031,low,residential_owner,0.034999999999999996,United States
2031,low,utility_company,0.045,United States
2031,base,federal_government,0.030000000000000002,United States
2031,base,commercial_real_estate,0.07,United States
2031,base,residential_owner,0.049999999999999996,United States
2031,base,utility_company,0.06,United States
2031,high,federal_government,0.04,United States
2031,high,commercial_real_estate,0.08,United States
2031,high,residential_owner,0.06,United States
2031,high,utility_company,0.07,United States
2032,low,federal_government,0.015000000000000001,United States
2032,low,commercial_real_estate,0.055,United States
2032,low,residential_owner,0.034999999999999996,United States
2032,low,utility_company,0.045,United States
2032,base,federal_government,0.030000000000000002,United States
2032,base,commercial_real_estate,0.07,United States
2032,base,residential_owner,0.049999999999999996,United States
2032,base,utility_company,0.06,United States
2032,high,federal_government,0.04,United States
2032,high,commercial_real_estate,0.08,United States
2032,high,residential_owner,0.06,United States
2032,high,utility_company,0.07,United States
2033,low,federal_government,0.015000000000000001,United States
2033,low,commercial_real_estate,0.055,United States
2033,low,residential_owner,0.034999999999999996,United States
2033,low,utility_company,0.045,United States
2033,base,federal_government,0.030000000000000002,United States
2033,base,commercial_real_estate,0.07,United States
2033,base,residential_owner,0.049999999999999996,United States
2033,base,utility_company,0.06,United States
2033,high,federal_government,0.04,United States
2033,high,commercial_real_estate,0.08,United States
2033,high,residential_owner,0.06,United States
2033,high,utility_company,0.07,United States
2034,low,federal_government,0.015000000000000001,United States
2034,low,commercial_real_estate,0.055,United States
2034,low,residential_owner,0.034999999999999996,United States
2034,low,utility_company,0.045,United States
2034,base,federal_government,0.030000000000000002,United States
2034,base,commercial_real_estate,0.07,United States
2034,base,residential_owner,0.049999999999999996,United States
2034,base,utility_company,0.06,United States
2034,high,federal_government,0.04,United States
2034,high,commercial_real_estate,0.08,United States
2034,high,residential_owner,0.06,United States
2034,high,utility_company,0.07,United States
2035,low,federal_government,0.015000000000000001,United States
2035,low,commercial_real_estate,0.055,United States
2035,low,residential_owner,0.034999999999999996,United States
2035,low,utility_company,0.045,United States
2035,base,federal_government,0.030000000000000002,United States
2035,base,commercial_real_estate,0.07,United States
2035,base,residential_owner,0.049999999999999996,United States
2035,base,utility_company,0.06,United States
2035,high,federal_government,0.04,United States
2035,high,commercial_real_estate,0.08,United States
2035,high,residential_owner,0.06,United States
2035,high,utility_company,0.07,United States
2036,low,federal_government,0.015000000000000001,United States
2036,low,commercial_real_estate,0.055,United States
2036,low,residential_owner,0.034999999999999996,United States
2036,low,utility_company,0.045,United States
2036,base,federal_government,0.030000000000000002,United States
