sample_id,undrained_shear_strength_kPa,drained_cohesion_kPa,drained_friction_angle_deg,effective_cohesion_kPa,effective_friction_angle_deg,sensitivity,compression_index_Cc,swelling_index_Cs,coefficient_consolidation_cv_m2/yr,coefficient_volume_change_mv_m2/kN,time_factor_T90,elastic_modulus_MPa,poisson_ratio,shear_modulus_MPa,bulk_modulus_MPa,permeability_m/s,hydraulic_conductivity_m/s
C001,45.2,12.5,18.5,8.5,25.8,3.2,0.385,0.058,2.85,0.00082,0.848,8.5,0.42,3.0,14.2,2.8E-10,2.8E-10
C002,52.8,15.2,17.2,10.2,24.5,3.8,0.425,0.065,2.35,0.00095,0.848,7.2,0.43,2.5,12.6,2.2E-10,2.2E-10
C003,28.5,8.8,20.2,5.5,27.5,5.5,0.525,0.082,1.85,0.00125,0.848,4.8,0.45,1.7,9.6,8.5E-10,8.5E-10
C004,32.2,10.5,19.5,6.8,26.8,6.2,0.565,0.092,1.55,0.00145,0.848,4.2,0.45,1.4,8.4,6.8E-10,6.8E-10
C005,85.5,25.8,22.5,18.5,28.5,2.5,0.285,0.042,4.25,0.00055,0.848,15.8,0.38,5.7,21.7,5.2E-11,5.2E-11
C006,95.8,28.5,21.8,20.8,27.8,2.8,0.305,0.045,3.85,0.00062,0.848,14.2,0.39,5.1,19.7,4.5E-11,4.5E-11
C007,68.2,20.5,24.2,15.2,30.2,2.2,0.255,0.038,5.25,0.00048,0.848,18.5,0.36,6.8,23.1,8.8E-11,8.8E-11
C008,75.5,22.8,23.5,17.5,29.5,2.5,0.275,0.040,4.85,0.00052,0.848,16.8,0.37,6.1,21.9,7.5E-11,7.5E-11
C009,12.5,3.5,8.5,2.2,15.5,8.5,1.285,0.225,0.35,0.00485,0.848,0.8,0.48,0.3,2.0,5.2E-09,5.2E-09
C010,15.8,4.2,7.8,2.8,14.2,9.2,1.425,0.258,0.28,0.00525,0.848,0.6,0.48,0.2,1.5,4.5E-09,4.5E-09
C011,22.5,6.5,16.5,4.2,24.5,4.5,0.685,0.108,1.25,0.00185,0.848,3.2,0.46,1.1,6.9,1.8E-09,1.8E-09
C012,26.8,7.8,15.8,5.2,23.8,5.2,0.745,0.118,1.05,0.00215,0.848,2.8,0.46,1.0,6.0,1.5E-09,1.5E-09
C013,58.5,18.5,26.5,13.5,32.5,12.5,0.185,0.028,7.85,0.00035,0.848,25.8,0.34,9.6,30.0,3.5E-11,3.5E-11
C014,65.2,20.8,25.8,15.8,31.8,15.8,0.205,0.032,6.85,0.00042,0.848,22.5,0.35,8.3,27.5,2.8E-11,2.8E-11
C015,18.5,5.2,15.2,3.5,23.2,3.5,0.825,0.132,0.85,0.00245,0.848,2.5,0.47,0.9,5.4,3.2E-09,3.2E-09
C016,21.2,6.2,14.5,4.2,22.5,4.2,0.885,0.145,0.72,0.00275,0.848,2.2,0.47,0.7,4.8,2.8E-09,2.8E-09
C017,25.8,7.5,13.8,4.8,21.8,6.8,0.985,0.158,0.65,0.00315,0.848,2.0,0.47,0.7,4.4,2.5E-09,2.5E-09
C018,30.5,8.8,13.2,5.8,21.2,7.5,1.052,0.172,0.55,0.00348,0.848,1.8,0.48,0.6,3.9,2.2E-09,2.2E-09
C019,20.2,5.8,17.8,3.8,25.8,4.8,0.765,0.122,0.95,0.00225,0.848,2.8,0.46,1.0,5.8,2.1E-09,2.1E-09
C020,23.5,6.8,17.2,4.5,25.2,5.5,0.825,0.135,0.82,0.00255,0.848,2.5,0.47,0.9,5.2,1.8E-09,1.8E-09
