sample_id,smectite_%,illite_%,kaolinite_%,chlorite_%,montmorillonite_%,vermiculite_%,mixed_layer_%,cation_exchange_capacity_meq/100g,specific_surface_area_m2/g,swelling_potential,clay_fraction_activity,XRD_peak_intensity,SEM_particle_size_um,organic_content_%,carbonate_content_%,iron_oxide_%,pH_value
C001,35.2,22.5,18.8,12.3,8.5,2.7,0,42.5,285,High,Active,3250,0.8-2.5,2.8,12.5,3.2,7.8
C002,38.5,20.8,17.2,11.5,9.8,2.2,0,45.8,310,High,Active,3450,0.6-2.2,3.2,14.2,3.5,7.9
C003,28.5,25.3,22.5,15.2,5.8,2.7,0,38.2,245,Moderate,Normal,2850,1.2-3.5,4.5,8.5,2.8,7.5
C004,30.2,24.8,21.8,14.5,6.5,2.2,0,40.5,258,Moderate,Normal,2950,1.0-3.2,4.8,9.2,2.9,7.6
C005,15.8,32.5,28.5,18.2,2.8,2.2,0,25.5,165,Low,Normal,2250,2.5-5.5,1.5,18.5,4.2,8.2
C006,17.2,31.8,27.8,17.5,3.2,2.5,0,27.2,175,Low,Normal,2350,2.2-5.2,1.8,19.8,4.5,8.3
C007,12.5,35.8,30.2,16.8,2.5,2.2,0,22.8,145,Low,Normal,2050,3.0-6.5,1.2,22.5,3.8,8.4
C008,14.2,34.5,29.5,16.2,2.8,2.8,0,24.5,155,Low,Normal,2150,2.8-6.2,1.4,23.8,4.0,8.3
C009,58.5,12.5,8.5,5.8,12.8,1.9,0,72.5,485,Very_High,Very_Active,4850,0.2-0.8,8.5,3.2,1.5,7.2
C010,62.8,10.8,7.2,4.5,13.5,1.2,0,78.2,520,Very_High,Very_Active,5150,0.15-0.7,9.2,2.8,1.2,7.1
C011,42.5,18.5,15.8,12.8,8.2,2.2,0,48.5,325,High,Active,3650,0.5-1.8,5.2,6.5,2.5,7.4
C012,45.8,16.8,14.2,11.5,9.5,2.2,0,52.8,345,High,Active,3850,0.4-1.6,5.8,7.2,2.7,7.3
C013,8.5,38.2,32.5,15.8,2.5,2.5,0,18.5,125,Very_Low,Inactive,1850,4.0-8.5,0.8,28.5,5.2,8.6
C014,9.8,36.5,31.2,15.2,2.8,4.5,0,20.2,135,Very_Low,Inactive,1950,3.8-8.2,0.9,29.8,5.5,8.5
C015,48.2,15.2,12.5,10.8,10.5,2.8,0,55.8,365,High,Active,4050,0.3-1.2,6.2,5.2,2.2,7.3
C016,52.5,13.5,10.8,9.2,11.8,2.2,0,60.5,385,Very_High,Active,4250,0.25-1.0,6.8,4.8,2.0,7.2
C017,55.2,14.8,10.2,8.5,9.8,1.5,0,65.8,425,Very_High,Very_Active,4550,0.2-0.9,7.5,4.2,1.8,7.1
C018,58.8,12.5,8.8,7.2,10.5,2.2,0,70.2,445,Very_High,Very_Active,4750,0.18-0.85,8.2,3.8,1.6,7.0
C019,38.8,20.2,16.5,13.2,8.8,2.5,0,46.2,315,High,Active,3550,0.6-1.5,5.5,7.8,2.8,7.5
C020,42.2,18.5,14.8,12.2,9.8,2.5,0,50.5,335,High,Active,3750,0.5-1.3,6.2,8.5,3.0,7.4
