sample_id,location,depth_m,clay_content_%,silt_content_%,sand_content_%,liquid_limit_%,plastic_limit_%,plasticity_index,liquidity_index,activity,preconsolidation_stress_kPa,OCR,water_content_%,bulk_density_kg/m3,dry_density_kg/m3,specific_gravity,void_ratio,porosity_%,degree_saturation_%
C001,Diezma_Landslide_Spain,3.5,68.5,25.3,6.2,72.3,28.5,43.8,0.45,0.64,285,2.8,42.5,1680,1180,2.72,1.31,56.7,88.3
C002,Diezma_Landslide_Spain,7.0,72.8,22.1,5.1,78.5,31.2,47.3,0.52,0.65,320,2.5,48.2,1620,1092,2.73,1.50,60.0,87.7
C003,Shanghai_Soft_Clay,5.2,58.2,35.5,6.3,65.8,25.8,40.0,0.58,0.69,180,1.8,52.3,1580,1038,2.70,1.60,61.5,88.4
C004,Shanghai_Soft_Clay,10.5,62.5,32.8,4.7,68.2,27.3,40.9,0.62,0.65,225,1.5,55.8,1550,995,2.71,1.72,63.2,87.9
C005,London_Clay_UK,8.0,55.3,38.2,6.5,58.5,22.5,36.0,0.35,0.65,450,3.5,35.8,1820,1340,2.74,1.04,51.0,94.3
C006,London_Clay_UK,15.0,60.8,33.5,5.7,62.3,24.8,37.5,0.40,0.62,520,3.2,38.5,1780,1285,2.75,1.14,53.3,93.0
C007,Boston_Blue_Clay,6.5,48.5,42.3,9.2,52.3,20.5,31.8,0.48,0.66,350,2.2,36.2,1850,1358,2.69,0.98,49.5,99.3
C008,Boston_Blue_Clay,12.0,52.8,39.5,7.7,55.8,21.8,34.0,0.52,0.64,420,2.0,39.5,1790,1283,2.70,1.10,52.4,96.7
C009,Mexico_City_Clay,4.8,75.2,20.3,4.5,285.5,95.2,190.3,0.85,2.53,95,1.2,225.8,1180,365,2.65,6.26,86.2,95.5
C010,Mexico_City_Clay,9.5,78.5,18.2,3.3,312.5,105.8,206.7,0.92,2.63,125,1.1,258.5,1150,325,2.66,7.18,87.8,95.8
C011,Bangkok_Clay_Thailand,5.5,65.8,28.5,5.7,82.5,32.5,50.0,0.65,0.76,145,1.4,65.2,1480,895,2.68,2.00,66.7,87.3
C012,Bangkok_Clay_Thailand,11.0,70.2,25.3,4.5,88.3,35.2,53.1,0.72,0.76,185,1.3,72.8,1440,834,2.69,2.22,69.0,87.8
C013,Norwegian_Marine_Clay,7.5,45.8,46.5,7.7,42.5,18.5,24.0,0.55,0.52,280,2.5,31.5,1920,1460,2.76,0.89,47.1,97.6
C014,Norwegian_Marine_Clay,14.0,49.2,43.8,7.0,45.8,19.8,26.0,0.62,0.53,350,2.2,34.8,1880,1395,2.77,0.99,49.7,97.3
C015,Singapore_Marine_Clay,4.2,54.5,38.3,7.2,75.5,28.8,46.7,0.68,0.86,115,1.3,60.5,1520,948,2.67,1.82,64.5,88.7
C016,Singapore_Marine_Clay,8.8,58.8,35.2,6.0,80.2,31.5,48.7,0.75,0.83,155,1.2,67.8,1480,883,2.68,2.03,67.0,89.3
C017,Nile_Delta_Clay,6.2,62.3,31.5,6.2,95.5,38.5,57.0,0.58,0.91,195,1.6,60.8,1510,940,2.71,1.88,65.3,87.5
C018,Nile_Delta_Clay,12.5,66.8,28.2,5.0,102.3,42.3,60.0,0.65,0.90,245,1.4,68.5,1470,872,2.72,2.12,68.0,87.7
C019,Venice_Lagoon_Clay,3.8,52.5,40.8,6.7,68.5,26.5,42.0,0.72,0.80,125,1.5,56.8,1550,990,2.69,1.72,63.2,88.8
C020,Venice_Lagoon_Clay,7.5,56.2,37.5,6.3,72.8,28.2,44.6,0.78,0.79,165,1.3,62.5,1510,930,2.70,1.90,65.5,88.7
