sample_id,undrained_shear_strength_kPa,sensitivity,effective_friction_angle_deg,effective_cohesion_kPa,compression_index,recompression_index,coefficient_consolidation_m2_year,youngs_modulus_MPa,shear_modulus_MPa,poissons_ratio,lambda_parameter,kappa_parameter,a_parameter,b_parameter
CLAY_0001,56.998910531998085,2.964952483972712,17.25639446011987,3.6477035094287737,0.5110989387384745,0.07366615933630725,2.1309114663263515,26.114909633523553,9.059163780755648,0.441353212368197,0.1319986557587537,0.019025345721326834,0.6056948155761142,0.9423091494530237
CLAY_0002,61.43428066462603,2.8183600604087715,18.561142968851044,8.91634331539477,0.3236926767890407,0.046468405013749284,1.9773131151566579,19.692354692937105,7.035243818057591,0.3995502645119486,0.07205970959013981,0.010344688065309795,0.5106515615876994,0.9585643540398245
CLAY_0003,38.40930674430384,2.8419334531306153,25.316576245364345,7.074128778524668,0.4563346420415506,0.030635742739131937,0.4192559090692827,21.3877188898639,7.473635192777448,0.4308779019969481,0.11428964640774324,0.007672764420052879,0.6879290612655902,0.9740945959549864
CLAY_0004,38.27014282532842,3.5466842558229237,23.855815978034684,3.6524884031645435,0.47328872061729865,0.06367560508365534,1.3088837529301145,20.719014328403084,7.3663673717120535,0.40632507740295315,0.11315771916935558,0.015224081885148786,0.6657428804643637,0.9315671859105955
CLAY_0005,12.664426356227278,2.7045145449480845,24.780456230451072,5.214300332018166,0.4216283096423099,0.03150730976443876,0.3462395568139413,37.65062412976017,12.92764035640225,0.45620635675845406,0.07631720957791882,0.005703008805478434,0.5403649735043139,0.9082471755984123
CLAY_0006,10.0,3.1742253084425074,20.246586484234655,2.610108534045067,0.3363128481563749,0.034659856771747224,3.10416450481816,9.430547049237607,3.1435156830792024,0.5,0.06351615646741827,0.006545872088802844,0.6593171638957592,0.9931928252596859
CLAY_0007,17.030136722784782,3.1902967782718843,21.054158440185788,3.7818055804458925,0.5143817592553332,0.055014725073573356,1.4683805238949572,13.998890695814854,4.788740077687959,0.46164653632377006,0.14809644897834232,0.015839374702382607,0.644131861946815,0.9209413735621981
CLAY_0008,33.76403470410974,3.6023614602623963,17.8273822144293,3.539129491615623,0.41480790452308236,0.05217956171120888,0.8002729364788413,34.858458180776765,11.665955493136414,0.49402499440725206,0.08392647743302478,0.01055728871284614,0.7738743963002199,0.9647028500763183
CLAY_0009,38.666937172245255,3.1913658564662164,19.915140242805144,6.174056689480554,0.4134361908229421,0.03245625829148501,0.03967562019670732,13.011841604755768,4.945939487610126,0.3154064700297295,0.08386361621195597,0.0065836016523258154,0.5966583846729918,0.9575955061036621
CLAY_0010,37.2841310082273,2.9058462314031157,24.13728209482635,2.638005402378052,0.392568602583867,0.028433383513190125,0.7832287037145178,34.23864865729814,11.412882885766047,0.5,0.10972658013354601,0.007947395471754208,0.28283998921722,0.9396699402248718
CLAY_0011,46.60820192289626,2.9111681580938455,24.06048550110487,0.5255089824322547,0.3800742683649036,0.04993569245108645,0.145427129473734,42.20776987780329,14.807726458912878,0.42519413749698626,0.07701674019841226,0.010118770388425154,0.44494881126871166,0.9682237340126166
CLAY_0012,13.516915060880347,3.0053263774110333,21.264894701340353,7.772607115582342,0.31129968405036496,0.052310775725034474,0.7118456512576499,29.275137694464256,10.694077385373088,0.3687547153205364,0.05731720987191532,0.00963157967840854,0.4033095314926431,0.9137711061726893
CLAY_0013,78.10761385736829,3.4427722347242113,23.982670383879036,5.773580464528357,0.5201002028353139,0.0816586962166513,1.793828222753957,41.91309391486263,14.62189633348633,0.4332304428556019,0.14465534457744642,0.02271171357859481,0.6073587714496578,0.9989218899642712
CLAY_0014,44.01248324735646,3.3019768965513814,24.558374304771277,14.991022179891209,0.290369658228095,0.022460462894742756,0.9958583866885231,50.0,18.43071943311741,0.3564310438733346,0.077702873211725,0.006010416209588621,0.5675460817318891,1.0
