sample_id,slope_angle_deg,slip_surface_depth_m,slip_surface_inclination_deg,factor_of_safety,critical_slip_circle_radius_m,pore_pressure_parameter_ru,groundwater_depth_m,rainfall_intensity_mm/hr,antecedent_moisture_%,time_to_failure_hours,failure_type,progressive_failure_stage,shear_zone_thickness_cm,residual_factor,displacement_rate_mm/day,accumulated_displacement_mm,tension_crack_depth_m,lateral_earth_pressure_coefficient
C001,28.5,5.8,22.3,1.12,18.5,0.35,2.5,45.2,68.5,72,Rotational,Secondary,8.5,0.72,2.5,125,1.2,0.55
C002,32.2,7.2,25.8,1.05,22.3,0.42,2.0,52.8,72.3,48,Rotational,Tertiary,10.2,0.68,3.8,185,1.5,0.58
C003,25.8,4.5,18.5,1.28,15.2,0.28,3.2,35.5,58.2,120,Translational,Initial,5.5,0.82,1.2,42,0.8,0.48
C004,27.5,5.2,20.2,1.22,17.8,0.32,2.8,38.8,62.5,96,Translational,Secondary,6.8,0.78,1.8,78,1.0,0.52
C005,35.5,8.5,28.2,0.95,26.5,0.48,1.5,62.5,78.5,24,Rotational,Critical,12.5,0.62,5.5,325,2.0,0.65
C006,38.2,9.8,30.5,0.88,30.2,0.52,1.2,68.8,82.2,18,Compound,Critical,14.8,0.58,7.2,485,2.3,0.68
C007,30.8,6.5,24.2,1.08,20.5,0.38,2.2,48.5,70.5,60,Rotational,Tertiary,9.2,0.70,3.2,152,1.3,0.60
C008,33.5,7.5,26.5,1.02,23.8,0.45,1.8,55.2,75.8,36,Rotational,Tertiary,11.5,0.65,4.5,235,1.6,0.62
C009,18.5,3.2,12.8,1.65,10.5,0.18,4.5,22.5,42.5,240,Translational,Initial,3.2,0.92,0.5,15,0.5,0.35
C010,20.2,3.8,14.5,1.52,12.2,0.22,4.0,26.8,48.8,180,Translational,Initial,3.8,0.88,0.8,28,0.6,0.38
C011,22.8,4.2,16.8,1.42,13.8,0.25,3.5,30.5,52.5,150,Translational,Secondary,4.5,0.85,1.0,38,0.7,0.42
C012,24.5,4.8,18.2,1.35,15.5,0.30,3.0,34.2,58.8,120,Rotational,Secondary,5.2,0.80,1.5,58,0.9,0.45
C013,42.5,12.5,35.8,0.75,38.5,0.62,0.8,85.5,92.5,8,Compound,Critical,18.5,0.48,12.5,825,3.0,0.75
C014,45.8,14.2,38.2,0.68,42.8,0.68,0.5,95.8,95.8,6,Compound,Critical,22.5,0.42,15.8,1125,3.5,0.78
C015,26.5,4.8,19.8,1.25,16.5,0.30,3.0,36.5,60.2,108,Translational,Secondary,5.8,0.80,1.5,52,0.9,0.50
C016,28.8,5.5,21.5,1.18,18.8,0.35,2.5,42.8,65.8,84,Rotational,Secondary,7.2,0.75,2.2,92,1.1,0.53
C017,30.5,6.2,23.8,1.10,21.2,0.40,2.0,50.5,71.8,54,Rotational,Tertiary,8.8,0.70,3.5,165,1.4,0.57
C018,33.8,7.0,26.2,1.00,24.5,0.47,1.5,58.5,77.5,30,Rotational,Critical,10.5,0.63,5.0,285,1.7,0.61
C019,29.2,5.8,22.5,1.15,19.5,0.37,2.3,46.2,68.8,66,Rotational,Tertiary,8.2,0.72,2.8,138,1.2,0.55
C020,31.5,6.5,24.8,1.07,22.2,0.43,1.8,53.5,74.2,42,Rotational,Tertiary,9.8,0.67,4.0,208,1.5,0.59
