Temperature_C,Time_min,Total_Strain_microstrain,Thermal_Strain_microstrain,Transient_Strain_microstrain,Load_Stress_MPa,Test_Method,Specimen_ID,Rubber_Content_Percent,Notes
100,5,980,1020,-40,5.0,Loaded_Dilatometry,RC-TTS-01,0,Initial_loading
100,5,1092,1122,-30,5.0,Loaded_Dilatometry,RC-TTS-02,10,Compressive_creep
100,5,1248,1280,-32,5.0,Loaded_Dilatometry,RC-TTS-03,20,More_creep
100,5,1415,1450,-35,5.0,Loaded_Dilatometry,RC-TTS-04,30,Highest_creep
200,10,2106,2160,-54,5.0,Loaded_Dilatometry,RC-TTS-01,0,Dehydration_starts
200,10,2457,2520,-63,5.0,Loaded_Dilatometry,RC-TTS-02,10,Enhanced_shrinkage
200,10,2828,2900,-72,5.0,Loaded_Dilatometry,RC-TTS-03,20,More_shrinkage
200,10,3230,3315,-85,5.0,Loaded_Dilatometry,RC-TTS-04,30,Maximum_shrinkage
300,15,3345,3450,-105,5.0,Loaded_Dilatometry,RC-TTS-01,0,C-S-H_dehydration
300,15,3978,4095,-117,5.0,Loaded_Dilatometry,RC-TTS-02,10,Rubber_decomposition
300,15,4620,4680,-60,5.0,Loaded_Dilatometry,RC-TTS-03,20,Partial_compensation
300,15,5355,5370,-15,5.0,Loaded_Dilatometry,RC-TTS-04,30,Good_compensation
400,20,4797,4920,-123,5.0,Loaded_Dilatometry,RC-TTS-01,0,Progressive_damage
400,20,5693,5840,-147,5.0,Loaded_Dilatometry,RC-TTS-02,10,Void_formation
400,20,6728,6800,-72,5.0,Loaded_Dilatometry,RC-TTS-03,20,Voids_help_expansion
400,20,7936,7840,96,5.0,Loaded_Dilatometry,RC-TTS-04,30,Positive_transient_strain
500,25,6435,6600,-165,5.0,Loaded_Dilatometry,RC-TTS-01,0,Severe_damage
500,25,7785,7950,-165,5.0,Loaded_Dilatometry,RC-TTS-02,10,Large_voids
500,25,9350,9350,0,5.0,Loaded_Dilatometry,RC-TTS-03,20,Balanced_behavior
500,25,10980,10900,80,5.0,Loaded_Dilatometry,RC-TTS-04,30,Expansion_dominant
600,30,8568,8520,48,5.0,Loaded_Dilatometry,RC-TTS-01,0,Microcracking_expansion
600,30,10605,10500,105,5.0,Loaded_Dilatometry,RC-TTS-02,10,Enhanced_expansion
600,30,12696,12480,216,5.0,Loaded_Dilatometry,RC-TTS-03,20,Large_expansion
600,30,15015,14700,315,5.0,Loaded_Dilatometry,RC-TTS-04,30,Maximum_expansion
700,35,10143,9660,483,5.0,Loaded_Dilatometry,RC-TTS-01,0,Critical_damage
700,35,12768,12040,728,5.0,Loaded_Dilatometry,RC-TTS-02,10,Severe_cracking
700,35,15582,14420,1162,5.0,Loaded_Dilatometry,RC-TTS-03,20,Extensive_cracking
700,35,18879,17010,1869,5.0,Loaded_Dilatometry,RC-TTS-04,30,Maximum_cracking
800,40,11200,10000,1200,5.0,Loaded_Dilatometry,RC-TTS-01,0,Near_failure
800,40,14224,12640,1584,5.0,Loaded_Dilatometry,RC-TTS-02,10,Fragmentation_begins
800,40,17472,15360,2112,5.0,Loaded_Dilatometry,RC-TTS-03,20,Severe_fragmentation
800,40,21272,18240,3032,5.0,Loaded_Dilatometry,RC-TTS-04,30,Extreme_fragmentation
900,45,11655,9450,2205,5.0,Loaded_Dilatometry,RC-TTS-01,0,Collapse_imminent
900,45,15309,12150,3159,5.0,Loaded_Dilatometry,RC-TTS-02,10,Structural_failure
900,45,19404,15120,4284,5.0,Loaded_Dilatometry,RC-TTS-03,20,Major_failure
900,45,24363,18180,6183,5.0,Loaded_Dilatometry,RC-TTS-04,30,Complete_failure
100,5,882,1020,-138,10.0,Loaded_Dilatometry,RC-TTS-01,0,Higher_load_more_shrinkage
100,5,965,1122,-157,10.0,Loaded_Dilatometry,RC-TTS-02,10,Higher_load
100,5,1088,1280,-192,10.0,Loaded_Dilatometry,RC-TTS-03,20,Higher_load
100,5,1218,1450,-232,10.0,Loaded_Dilatometry,RC-TTS-04,30,Higher_load
300,15,3195,3450,-255,10.0,Loaded_Dilatometry,RC-TTS-01,0,Load_dependent
300,15,3744,4095,-351,10.0,Loaded_Dilatometry,RC-TTS-02,10,Stress_enhanced
300,15,4398,4680,-282,10.0,Loaded_Dilatometry,RC-TTS-03,20,Less_sensitive
300,15,5175,5370,-195,10.0,Loaded_Dilatometry,RC-TTS-04,30,Least_sensitive
600,30,8232,8520,-288,10.0,Loaded_Dilatometry,RC-TTS-01,0,Negative_at_high_stress
600,30,10185,10500,-315,10.0,Loaded_Dilatometry,RC-TTS-02,10,Barely_positive
600,30,12192,12480,-288,10.0,Loaded_Dilatometry,RC-TTS-03,20,Still_negative
600,30,14490,14700,-210,10.0,Loaded_Dilatometry,RC-TTS-04,30,Less_negative
