Temperature_C,CTE_per_C,Standard_Deviation,Test_Method,Specimen_ID,Rubber_Content_Percent,Heating_Rate_C_min,Direction,Notes
20,9.8e-06,0.5e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Reference_CTE
20,11.2e-06,0.6e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,Higher_CTE_with_rubber
20,12.8e-06,0.7e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Even_higher_CTE
20,14.5e-06,0.8e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Highest_CTE
100,10.2e-06,0.6e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Slight_increase
100,11.8e-06,0.7e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,Slight_increase
100,13.5e-06,0.8e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Slight_increase
100,15.3e-06,0.9e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Slight_increase
200,10.8e-06,0.7e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Progressive_increase
200,12.6e-06,0.8e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,Progressive_increase
200,14.5e-06,0.9e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Progressive_increase
200,16.5e-06,1.0e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Progressive_increase
300,11.5e-06,0.8e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Dehydration_effects
300,13.5e-06,0.9e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,Rubber_degradation_begins
300,15.6e-06,1.0e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Enhanced_expansion
300,17.9e-06,1.1e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Maximum_expansion
400,12.3e-06,0.9e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Continued_increase
400,14.6e-06,1.0e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,Rubber_voids_forming
400,17.0e-06,1.1e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Large_expansion
400,19.6e-06,1.2e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Largest_expansion
500,13.2e-06,1.0e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Peak_approaching
500,15.9e-06,1.1e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,Significant_expansion
500,18.7e-06,1.2e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Very_high_expansion
500,21.8e-06,1.3e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Maximum_expansion_rate
600,14.2e-06,1.2e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Peak_CTE
600,17.5e-06,1.3e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,High_expansion
600,20.8e-06,1.4e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Very_high_expansion
600,24.5e-06,1.5e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Extreme_expansion
700,13.8e-06,1.4e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Beginning_decline
700,17.2e-06,1.5e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,Still_high
700,20.6e-06,1.6e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Still_very_high
700,24.3e-06,1.7e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Still_extreme
800,12.5e-06,1.6e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Declining
800,15.8e-06,1.7e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,Declining
800,19.2e-06,1.8e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Declining
800,22.8e-06,1.9e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Declining
900,10.5e-06,1.8e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Significant_decline
900,13.5e-06,1.9e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,Moderate_decline
900,16.8e-06,2.0e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Less_decline
900,20.2e-06,2.1e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Minimal_decline
1000,8.2e-06,2.0e-06,Dilatometry,RC-CTE-01,0,5,Longitudinal,Major_decline
1000,10.8e-06,2.1e-06,Dilatometry,RC-CTE-02,10,5,Longitudinal,Significant_decline
1000,13.8e-06,2.2e-06,Dilatometry,RC-CTE-03,20,5,Longitudinal,Moderate_decline
1000,17.2e-06,2.3e-06,Dilatometry,RC-CTE-04,30,5,Longitudinal,Less_decline
