element_id,n0,n1,n2,n3,n4,n5,n6,n7
0,0,1,26,25,625,626,651,650
1,1,2,27,26,626,627,652,651
2,2,3,28,27,627,628,653,652
3,3,4,29,28,628,629,654,653
4,4,5,30,29,629,630,655,654
5,5,6,31,30,630,631,656,655
6,6,7,32,31,631,632,657,656
7,7,8,33,32,632,633,658,657
8,8,9,34,33,633,634,659,658
9,9,10,35,34,634,635,660,659
10,10,11,36,35,635,636,661,660
11,11,12,37,36,636,637,662,661
12,12,13,38,37,637,638,663,662
13,13,14,39,38,638,639,664,663
14,14,15,40,39,639,640,665,664
15,15,16,41,40,640,641,666,665
16,16,17,42,41,641,642,667,666
17,17,18,43,42,642,643,668,667
18,18,19,44,43,643,644,669,668
19,19,20,45,44,644,645,670,669
20,20,21,46,45,645,646,671,670
21,21,22,47,46,646,647,672,671
22,22,23,48,47,647,648,673,672
23,23,24,49,48,648,649,674,673
24,25,26,51,50,650,651,676,675
25,26,27,52,51,651,652,677,676
26,27,28,53,52,652,653,678,677
27,28,29,54,53,653,654,679,678
28,29,30,55,54,654,655,680,679
29,30,31,56,55,655,656,681,680
30,31,32,57,56,656,657,682,681
31,32,33,58,57,657,658,683,682
32,33,34,59,58,658,659,684,683
33,34,35,60,59,659,660,685,684
34,35,36,61,60,660,661,686,685
35,36,37,62,61,661,662,687,686
36,37,38,63,62,662,663,688,687
37,38,39,64,63,663,664,689,688
38,39,40,65,64,664,665,690,689
39,40,41,66,65,665,666,691,690
40,41,42,67,66,666,667,692,691
41,42,43,68,67,667,668,693,692
42,43,44,69,68,668,669,694,693
43,44,45,70,69,669,670,695,694
44,45,46,71,70,670,671,696,695
45,46,47,72,71,671,672,697,696
46,47,48,73,72,672,673,698,697
47,48,49,74,73,673,674,699,698
48,50,51,76,75,675,676,701,700
49,51,52,77,76,676,677,702,701
50,52,53,78,77,677,678,703,702
51,53,54,79,78,678,679,704,703
52,54,55,80,79,679,680,705,704
53,55,56,81,80,680,681,706,705
54,56,57,82,81,681,682,707,706
55,57,58,83,82,682,683,708,707
56,58,59,84,83,683,684,709,708
57,59,60,85,84,684,685,710,709
58,60,61,86,85,685,686,711,710
59,61,62,87,86,686,687,712,711
60,62,63,88,87,687,688,713,712
61,63,64,89,88,688,689,714,713
62,64,65,90,89,689,690,715,714
63,65,66,91,90,690,691,716,715
64,66,67,92,91,691,692,717,716
65,67,68,93,92,692,693,718,717
66,68,69,94,93,693,694,719,718
67,69,70,95,94,694,695,720,719
68,70,71,96,95,695,696,721,720
69,71,72,97,96,696,697,722,721
70,72,73,98,97,697,698,723,722
71,73,74,99,98,698,699,724,723
72,75,76,101,100,700,701,726,725
73,76,77,102,101,701,702,727,726
74,77,78,103,102,702,703,728,727
75,78,79,104,103,703,704,729,728
76,79,80,105,104,704,705,730,729
77,80,81,106,105,705,706,731,730
78,81,82,107,106,706,707,732,731
79,82,83,108,107,707,708,733,732
80,83,84,109,108,708,709,734,733
81,84,85,110,109,709,710,735,734
82,85,86,111,110,710,711,736,735
83,86,87,112,111,711,712,737,736
84,87,88,113,112,712,713,738,737
85,88,89,114,113,713,714,739,738
86,89,90,115,114,714,715,740,739
87,90,91,116,115,715,716,741,740
88,91,92,117,116,716,717,742,741
89,92,93,118,117,717,718,743,742
90,93,94,119,118,718,719,744,743
91,94,95,120,119,719,720,745,744
92,95,96,121,120,720,721,746,745
93,96,97,122,121,721,722,747,746
94,97,98,123,122,722,723,748,747
95,98,99,124,123,723,724,749,748
96,100,101,126,125,725,726,751,750
97,101,102,127,126,726,727,752,751
98,102,103,128,127,727,728,753,752
99,103,104,129,128,728,729,754,753
100,104,105,130,129,729,730,755,754
101,105,106,131,130,730,731,756,755
102,106,107,132,131,731,732,757,756
103,107,108,133,132,732,733,758,757
104,108,109,134,133,733,734,759,758
105,109,110,135,134,734,735,760,759
106,110,111,136,135,735,736,761,760
107,111,112,137,136,736,737,762,761
108,112,113,138,137,737,738,763,762
109,113,114,139,138,738,739,764,763
110,114,115,140,139,739,740,765,764
111,115,116,141,140,740,741,766,765
112,116,117,142,141,741,742,767,766
113,117,118,143,142,742,743,768,767
114,118,119,144,143,743,744,769,768
115,119,120,145,144,744,745,770,769
116,120,121,146,145,745,746,771,770
117,121,122,147,146,746,747,772,771
118,122,123,148,147,747,748,773,772
119,123,124,149,148,748,749,774,773
120,125,126,151,150,750,751,776,775
121,126,127,152,151,751,752,777,776
122,127,128,153,152,752,753,778,777
123,128,129,154,153,753,754,779,778
124,129,130,155,154,754,755,780,779
125,130,131,156,155,755,756,781,780
126,131,132,157,156,756,757,782,781
127,132,133,158,157,757,758,783,782
128,133,134,159,158,758,759,784,783
129,134,135,160,159,759,760,785,784
130,135,136,161,160,760,761,786,785
131,136,137,162,161,761,762,787,786
132,137,138,163,162,762,763,788,787
133,138,139,164,163,763,764,789,788
134,139,140,165,164,764,765,790,789
135,140,141,166,165,765,766,791,790
136,141,142,167,166,766,767,792,791
137,142,143,168,167,767,768,793,792
138,143,144,169,168,768,769,794,793
139,144,145,170,169,769,770,795,794
140,145,146,171,170,770,771,796,795
141,146,147,172,171,771,772,797,796
142,147,148,173,172,772,773,798,797
143,148,149,174,173,773,774,799,798
144,150,151,176,175,775,776,801,800
145,151,152,177,176,776,777,802,801
146,152,153,178,177,777,778,803,802
147,153,154,179,178,778,779,804,803
148,154,155,180,179,779,780,805,804
149,155,156,181,180,780,781,806,805
150,156,157,182,181,781,782,807,806
151,157,158,183,182,782,783,808,807
152,158,159,184,183,783,784,809,808
153,159,160,185,184,784,785,810,809
154,160,161,186,185,785,786,811,810
155,161,162,187,186,786,787,812,811
156,162,163,188,187,787,788,813,812
157,163,164,189,188,788,789,814,813
158,164,165,190,189,789,790,815,814
159,165,166,191,190,790,791,816,815
160,166,167,192,191,791,792,817,816
161,167,168,193,192,792,793,818,817
162,168,169,194,193,793,794,819,818
163,169,170,195,194,794,795,820,819
164,170,171,196,195,795,796,821,820
165,171,172,197,196,796,797,822,821
166,172,173,198,197,797,798,823,822
167,173,174,199,198,798,799,824,823
168,175,176,201,200,800,801,826,825
169,176,177,202,201,801,802,827,826
170,177,178,203,202,802,803,828,827
171,178,179,204,203,803,804,829,828
172,179,180,205,204,804,805,830,829
173,180,181,206,205,805,806,831,830
174,181,182,207,206,806,807,832,831
175,182,183,208,207,807,808,833,832
176,183,184,209,208,808,809,834,833
177,184,185,210,209,809,810,835,834
178,185,186,211,210,810,811,836,835
179,186,187,212,211,811,812,837,836
180,187,188,213,212,812,813,838,837
181,188,189,214,213,813,814,839,838
182,189,190,215,214,814,815,840,839
183,190,191,216,215,815,816,841,840
184,191,192,217,216,816,817,842,841
185,192,193,218,217,817,818,843,842
186,193,194,219,218,818,819,844,843
187,194,195,220,219,819,820,845,844
188,195,196,221,220,820,821,846,845
189,196,197,222,221,821,822,847,846
190,197,198,223,222,822,823,848,847
191,198,199,224,223,823,824,849,848
192,200,201,226,225,825,826,851,850
193,201,202,227,226,826,827,852,851
194,202,203,228,227,827,828,853,852
195,203,204,229,228,828,829,854,853
196,204,205,230,229,829,830,855,854
197,205,206,231,230,830,831,856,855
198,206,207,232,231,831,832,857,856
199,207,208,233,232,832,833,858,857
200,208,209,234,233,833,834,859,858
201,209,210,235,234,834,835,860,859
202,210,211,236,235,835,836,861,860
203,211,212,237,236,836,837,862,861
204,212,213,238,237,837,838,863,862
205,213,214,239,238,838,839,864,863
206,214,215,240,239,839,840,865,864
207,215,216,241,240,840,841,866,865
208,216,217,242,241,841,842,867,866
209,217,218,243,242,842,843,868,867
210,218,219,244,243,843,844,869,868
211,219,220,245,244,844,845,870,869
212,220,221,246,245,845,846,871,870
213,221,222,247,246,846,847,872,871
214,222,223,248,247,847,848,873,872
215,223,224,249,248,848,849,874,873
216,225,226,251,250,850,851,876,875
217,226,227,252,251,851,852,877,876
218,227,228,253,252,852,853,878,877
219,228,229,254,253,853,854,879,878
220,229,230,255,254,854,855,880,879
221,230,231,256,255,855,856,881,880
222,231,232,257,256,856,857,882,881
223,232,233,258,257,857,858,883,882
224,233,234,259,258,858,859,884,883
225,234,235,260,259,859,860,885,884
226,235,236,261,260,860,861,886,885
227,236,237,262,261,861,862,887,886
228,237,238,263,262,862,863,888,887
