node_id,x_mm,y_mm,z_mm
0,0.0,0.0,0.0
1,4.166667,0.0,0.0
2,8.333333,0.0,0.0
3,12.5,0.0,0.0
4,16.666667,0.0,0.0
5,20.833333,0.0,0.0
6,25.0,0.0,0.0
7,29.166667,0.0,0.0
8,33.333333,0.0,0.0
9,37.5,0.0,0.0
10,41.666667,0.0,0.0
11,45.833333,0.0,0.0
12,50.0,0.0,0.0
13,54.166667,0.0,0.0
14,58.333333,0.0,0.0
15,62.5,0.0,0.0
16,66.666667,0.0,0.0
17,70.833333,0.0,0.0
18,75.0,0.0,0.0
19,79.166667,0.0,0.0
20,83.333333,0.0,0.0
21,87.5,0.0,0.0
22,91.666667,0.0,0.0
23,95.833333,0.0,0.0
24,100.0,0.0,0.0
25,0.0,4.166667,0.0
26,4.166667,4.166667,0.0
27,8.333333,4.166667,0.0
28,12.5,4.166667,0.0
29,16.666667,4.166667,0.0
30,20.833333,4.166667,0.0
31,25.0,4.166667,0.0
32,29.166667,4.166667,0.0
33,33.333333,4.166667,0.0
34,37.5,4.166667,0.0
35,41.666667,4.166667,0.0
36,45.833333,4.166667,0.0
37,50.0,4.166667,0.0
38,54.166667,4.166667,0.0
39,58.333333,4.166667,0.0
40,62.5,4.166667,0.0
41,66.666667,4.166667,0.0
42,70.833333,4.166667,0.0
43,75.0,4.166667,0.0
44,79.166667,4.166667,0.0
45,83.333333,4.166667,0.0
46,87.5,4.166667,0.0
47,91.666667,4.166667,0.0
48,95.833333,4.166667,0.0
49,100.0,4.166667,0.0
50,0.0,8.333333,0.0
51,4.166667,8.333333,0.0
52,8.333333,8.333333,0.0
53,12.5,8.333333,0.0
54,16.666667,8.333333,0.0
55,20.833333,8.333333,0.0
56,25.0,8.333333,0.0
57,29.166667,8.333333,0.0
58,33.333333,8.333333,0.0
59,37.5,8.333333,0.0
60,41.666667,8.333333,0.0
61,45.833333,8.333333,0.0
62,50.0,8.333333,0.0
63,54.166667,8.333333,0.0
64,58.333333,8.333333,0.0
65,62.5,8.333333,0.0
66,66.666667,8.333333,0.0
67,70.833333,8.333333,0.0
68,75.0,8.333333,0.0
69,79.166667,8.333333,0.0
70,83.333333,8.333333,0.0
71,87.5,8.333333,0.0
72,91.666667,8.333333,0.0
73,95.833333,8.333333,0.0
74,100.0,8.333333,0.0
75,0.0,12.5,0.0
76,4.166667,12.5,0.0
77,8.333333,12.5,0.0
78,12.5,12.5,0.0
79,16.666667,12.5,0.0
80,20.833333,12.5,0.0
81,25.0,12.5,0.0
82,29.166667,12.5,0.0
83,33.333333,12.5,0.0
84,37.5,12.5,0.0
85,41.666667,12.5,0.0
86,45.833333,12.5,0.0
87,50.0,12.5,0.0
88,54.166667,12.5,0.0
89,58.333333,12.5,0.0
90,62.5,12.5,0.0
91,66.666667,12.5,0.0
92,70.833333,12.5,0.0
93,75.0,12.5,0.0
94,79.166667,12.5,0.0
95,83.333333,12.5,0.0
96,87.5,12.5,0.0
97,91.666667,12.5,0.0
98,95.833333,12.5,0.0
99,100.0,12.5,0.0
100,0.0,16.666667,0.0
101,4.166667,16.666667,0.0
102,8.333333,16.666667,0.0
103,12.5,16.666667,0.0
104,16.666667,16.666667,0.0
105,20.833333,16.666667,0.0
106,25.0,16.666667,0.0
107,29.166667,16.666667,0.0
108,33.333333,16.666667,0.0
109,37.5,16.666667,0.0
110,41.666667,16.666667,0.0
111,45.833333,16.666667,0.0
112,50.0,16.666667,0.0
113,54.166667,16.666667,0.0
114,58.333333,16.666667,0.0
115,62.5,16.666667,0.0
116,66.666667,16.666667,0.0
117,70.833333,16.666667,0.0
118,75.0,16.666667,0.0
119,79.166667,16.666667,0.0
120,83.333333,16.666667,0.0
121,87.5,16.666667,0.0
122,91.666667,16.666667,0.0
123,95.833333,16.666667,0.0
124,100.0,16.666667,0.0
125,0.0,20.833333,0.0
126,4.166667,20.833333,0.0
127,8.333333,20.833333,0.0
128,12.5,20.833333,0.0
129,16.666667,20.833333,0.0
130,20.833333,20.833333,0.0
131,25.0,20.833333,0.0
132,29.166667,20.833333,0.0
133,33.333333,20.833333,0.0
134,37.5,20.833333,0.0
135,41.666667,20.833333,0.0
136,45.833333,20.833333,0.0
137,50.0,20.833333,0.0
138,54.166667,20.833333,0.0
139,58.333333,20.833333,0.0
140,62.5,20.833333,0.0
141,66.666667,20.833333,0.0
142,70.833333,20.833333,0.0
143,75.0,20.833333,0.0
144,79.166667,20.833333,0.0
145,83.333333,20.833333,0.0
146,87.5,20.833333,0.0
147,91.666667,20.833333,0.0
148,95.833333,20.833333,0.0
149,100.0,20.833333,0.0
150,0.0,25.0,0.0
151,4.166667,25.0,0.0
152,8.333333,25.0,0.0
153,12.5,25.0,0.0
154,16.666667,25.0,0.0
155,20.833333,25.0,0.0
156,25.0,25.0,0.0
157,29.166667,25.0,0.0
158,33.333333,25.0,0.0
159,37.5,25.0,0.0
160,41.666667,25.0,0.0
161,45.833333,25.0,0.0
162,50.0,25.0,0.0
163,54.166667,25.0,0.0
164,58.333333,25.0,0.0
165,62.5,25.0,0.0
166,66.666667,25.0,0.0
167,70.833333,25.0,0.0
168,75.0,25.0,0.0
169,79.166667,25.0,0.0
170,83.333333,25.0,0.0
171,87.5,25.0,0.0
172,91.666667,25.0,0.0
173,95.833333,25.0,0.0
174,100.0,25.0,0.0
175,0.0,29.166667,0.0
176,4.166667,29.166667,0.0
177,8.333333,29.166667,0.0
178,12.5,29.166667,0.0
179,16.666667,29.166667,0.0
180,20.833333,29.166667,0.0
181,25.0,29.166667,0.0
182,29.166667,29.166667,0.0
183,33.333333,29.166667,0.0
184,37.5,29.166667,0.0
185,41.666667,29.166667,0.0
186,45.833333,29.166667,0.0
187,50.0,29.166667,0.0
188,54.166667,29.166667,0.0
189,58.333333,29.166667,0.0
190,62.5,29.166667,0.0
191,66.666667,29.166667,0.0
192,70.833333,29.166667,0.0
193,75.0,29.166667,0.0
194,79.166667,29.166667,0.0
195,83.333333,29.166667,0.0
196,87.5,29.166667,0.0
197,91.666667,29.166667,0.0
198,95.833333,29.166667,0.0
199,100.0,29.166667,0.0
200,0.0,33.333333,0.0
201,4.166667,33.333333,0.0
202,8.333333,33.333333,0.0
203,12.5,33.333333,0.0
204,16.666667,33.333333,0.0
205,20.833333,33.333333,0.0
206,25.0,33.333333,0.0
207,29.166667,33.333333,0.0
208,33.333333,33.333333,0.0
209,37.5,33.333333,0.0
210,41.666667,33.333333,0.0
211,45.833333,33.333333,0.0
212,50.0,33.333333,0.0
213,54.166667,33.333333,0.0
214,58.333333,33.333333,0.0
215,62.5,33.333333,0.0
216,66.666667,33.333333,0.0
217,70.833333,33.333333,0.0
218,75.0,33.333333,0.0
219,79.166667,33.333333,0.0
220,83.333333,33.333333,0.0
221,87.5,33.333333,0.0
222,91.666667,33.333333,0.0
223,95.833333,33.333333,0.0
224,100.0,33.333333,0.0
225,0.0,37.5,0.0
226,4.166667,37.5,0.0
227,8.333333,37.5,0.0
228,12.5,37.5,0.0
229,16.666667,37.5,0.0
230,20.833333,37.5,0.0
231,25.0,37.5,0.0
232,29.166667,37.5,0.0
233,33.333333,37.5,0.0
234,37.5,37.5,0.0
235,41.666667,37.5,0.0
236,45.833333,37.5,0.0
237,50.0,37.5,0.0
238,54.166667,37.5,0.0
239,58.333333,37.5,0.0
240,62.5,37.5,0.0
241,66.666667,37.5,0.0
242,70.833333,37.5,0.0
243,75.0,37.5,0.0
244,79.166667,37.5,0.0
245,83.333333,37.5,0.0
246,87.5,37.5,0.0
247,91.666667,37.5,0.0
248,95.833333,37.5,0.0
249,100.0,37.5,0.0
250,0.0,41.666667,0.0
251,4.166667,41.666667,0.0
252,8.333333,41.666667,0.0
253,12.5,41.666667,0.0
254,16.666667,41.666667,0.0
255,20.833333,41.666667,0.0
256,25.0,41.666667,0.0
257,29.166667,41.666667,0.0
258,33.333333,41.666667,0.0
259,37.5,41.666667,0.0
260,41.666667,41.666667,0.0
261,45.833333,41.666667,0.0
262,50.0,41.666667,0.0
263,54.166667,41.666667,0.0
264,58.333333,41.666667,0.0
265,62.5,41.666667,0.0
266,66.666667,41.666667,0.0
267,70.833333,41.666667,0.0
268,75.0,41.666667,0.0
269,79.166667,41.666667,0.0
270,83.333333,41.666667,0.0
271,87.5,41.666667,0.0
272,91.666667,41.666667,0.0
273,95.833333,41.666667,0.0
274,100.0,41.666667,0.0
275,0.0,45.833333,0.0
276,4.166667,45.833333,0.0
277,8.333333,45.833333,0.0
278,12.5,45.833333,0.0
279,16.666667,45.833333,0.0
280,20.833333,45.833333,0.0
281,25.0,45.833333,0.0
282,29.166667,45.833333,0.0
283,33.333333,45.833333,0.0
284,37.5,45.833333,0.0
285,41.666667,45.833333,0.0
286,45.833333,45.833333,0.0
287,50.0,45.833333,0.0
288,54.166667,45.833333,0.0
289,58.333333,45.833333,0.0
290,62.5,45.833333,0.0
291,66.666667,45.833333,0.0
292,70.833333,45.833333,0.0
293,75.0,45.833333,0.0
294,79.166667,45.833333,0.0
295,83.333333,45.833333,0.0
296,87.5,45.833333,0.0
297,91.666667,45.833333,0.0
298,95.833333,45.833333,0.0
299,100.0,45.833333,0.0
300,0.0,50.0,0.0
301,4.166667,50.0,0.0
302,8.333333,50.0,0.0
303,12.5,50.0,0.0
304,16.666667,50.0,0.0
305,20.833333,50.0,0.0
306,25.0,50.0,0.0
307,29.166667,50.0,0.0
308,33.333333,50.0,0.0
309,37.5,50.0,0.0
310,41.666667,50.0,0.0
311,45.833333,50.0,0.0
312,50.0,50.0,0.0
313,54.166667,50.0,0.0
314,58.333333,50.0,0.0
315,62.5,50.0,0.0
316,66.666667,50.0,0.0
317,70.833333,50.0,0.0
318,75.0,50.0,0.0
319,79.166667,50.0,0.0
320,83.333333,50.0,0.0
321,87.5,50.0,0.0
322,91.666667,50.0,0.0
323,95.833333,50.0,0.0
324,100.0,50.0,0.0
325,0.0,54.166667,0.0
326,4.166667,54.166667,0.0
327,8.333333,54.166667,0.0
328,12.5,54.166667,0.0
329,16.666667,54.166667,0.0
330,20.833333,54.166667,0.0
331,25.0,54.166667,0.0
332,29.166667,54.166667,0.0
333,33.333333,54.166667,0.0
334,37.5,54.166667,0.0
335,41.666667,54.166667,0.0
336,45.833333,54.166667,0.0
337,50.0,54.166667,0.0
338,54.166667,54.166667,0.0
339,58.333333,54.166667,0.0
340,62.5,54.166667,0.0
341,66.666667,54.166667,0.0
342,70.833333,54.166667,0.0
343,75.0,54.166667,0.0
344,79.166667,54.166667,0.0
345,83.333333,54.166667,0.0
346,87.5,54.166667,0.0
347,91.666667,54.166667,0.0
348,95.833333,54.166667,0.0
349,100.0,54.166667,0.0
350,0.0,58.333333,0.0
351,4.166667,58.333333,0.0
352,8.333333,58.333333,0.0
353,12.5,58.333333,0.0
354,16.666667,58.333333,0.0
355,20.833333,58.333333,0.0
356,25.0,58.333333,0.0
357,29.166667,58.333333,0.0
358,33.333333,58.333333,0.0
359,37.5,58.333333,0.0
360,41.666667,58.333333,0.0
361,45.833333,58.333333,0.0
362,50.0,58.333333,0.0
363,54.166667,58.333333,0.0
364,58.333333,58.333333,0.0
365,62.5,58.333333,0.0
366,66.666667,58.333333,0.0
367,70.833333,58.333333,0.0
368,75.0,58.333333,0.0
369,79.166667,58.333333,0.0
370,83.333333,58.333333,0.0
371,87.5,58.333333,0.0
372,91.666667,58.333333,0.0
373,95.833333,58.333333,0.0
374,100.0,58.333333,0.0
375,0.0,62.5,0.0
376,4.166667,62.5,0.0
377,8.333333,62.5,0.0
378,12.5,62.5,0.0
379,16.666667,62.5,0.0
380,20.833333,62.5,0.0
381,25.0,62.5,0.0
382,29.166667,62.5,0.0
383,33.333333,62.5,0.0
384,37.5,62.5,0.0
385,41.666667,62.5,0.0
386,45.833333,62.5,0.0
387,50.0,62.5,0.0
388,54.166667,62.5,0.0
389,58.333333,62.5,0.0
390,62.5,62.5,0.0
391,66.666667,62.5,0.0
392,70.833333,62.5,0.0
393,75.0,62.5,0.0
394,79.166667,62.5,0.0
395,83.333333,62.5,0.0
396,87.5,62.5,0.0
397,91.666667,62.5,0.0
398,95.833333,62.5,0.0
399,100.0,62.5,0.0
400,0.0,66.666667,0.0
401,4.166667,66.666667,0.0
402,8.333333,66.666667,0.0
403,12.5,66.666667,0.0
