Temperature_C,z_normalized,z_um_from_interface,Delta_delta_local,Epsilon_chem_11_local,Epsilon_chem_33_local,Profile_Type
600,0.0,0.0,0.005,0.00016,0.000225,Diffusion_limited_parabolic
600,0.05,1.0,0.006842,0.000219,0.000308,Diffusion_limited_parabolic
600,0.1,2.0,0.007993,0.000256,0.00036,Diffusion_limited_parabolic
600,0.15,3.0,0.008975,0.000287,0.000404,Diffusion_limited_parabolic
600,0.2,4.0,0.009862,0.000316,0.000444,Diffusion_limited_parabolic
600,0.25,5.0,0.010684,0.000342,0.000481,Diffusion_limited_parabolic
600,0.3,6.0,0.011458,0.000367,0.000516,Diffusion_limited_parabolic
600,0.35,7.0,0.012193,0.00039,0.000549,Diffusion_limited_parabolic
600,0.4,8.0,0.012898,0.000413,0.00058,Diffusion_limited_parabolic
600,0.45,9.0,0.013577,0.000434,0.000611,Diffusion_limited_parabolic
600,0.5,10.0,0.014234,0.000455,0.000641,Diffusion_limited_parabolic
600,0.55,11.0,0.014871,0.000476,0.000669,Diffusion_limited_parabolic
600,0.6,12.0,0.015491,0.000496,0.000697,Diffusion_limited_parabolic
600,0.65,13.0,0.016095,0.000515,0.000724,Diffusion_limited_parabolic
600,0.7,14.0,0.016686,0.000534,0.000751,Diffusion_limited_parabolic
600,0.75,15.0,0.017264,0.000552,0.000777,Diffusion_limited_parabolic
600,0.8,16.0,0.017831,0.000571,0.000802,Diffusion_limited_parabolic
600,0.85,17.0,0.018387,0.000588,0.000827,Diffusion_limited_parabolic
600,0.9,18.0,0.018934,0.000606,0.000852,Diffusion_limited_parabolic
600,0.95,19.0,0.019471,0.000623,0.000876,Diffusion_limited_parabolic
600,1.0,20.0,0.02,0.00064,0.0009,Diffusion_limited_parabolic
700,0.0,0.0,0.015,0.00048,0.000675,Diffusion_limited_parabolic
700,0.05,1.0,0.019299,0.000618,0.000868,Diffusion_limited_parabolic
700,0.1,2.0,0.021983,0.000703,0.000989,Diffusion_limited_parabolic
700,0.15,3.0,0.024275,0.000777,0.001092,Diffusion_limited_parabolic
700,0.2,4.0,0.026345,0.000843,0.001186,Diffusion_limited_parabolic
700,0.25,5.0,0.028263,0.000904,0.001272,Diffusion_limited_parabolic
700,0.3,6.0,0.030068,0.000962,0.001353,Diffusion_limited_parabolic
700,0.35,7.0,0.031785,0.001017,0.00143,Diffusion_limited_parabolic
700,0.4,8.0,0.033429,0.00107,0.001504,Diffusion_limited_parabolic
700,0.45,9.0,0.035013,0.00112,0.001576,Diffusion_limited_parabolic
700,0.5,10.0,0.036545,0.001169,0.001645,Diffusion_limited_parabolic
700,0.55,11.0,0.038031,0.001217,0.001711,Diffusion_limited_parabolic
700,0.6,12.0,0.039478,0.001263,0.001777,Diffusion_limited_parabolic
700,0.65,13.0,0.040889,0.001308,0.00184,Diffusion_limited_parabolic
700,0.7,14.0,0.042267,0.001353,0.001902,Diffusion_limited_parabolic
700,0.75,15.0,0.043616,0.001396,0.001963,Diffusion_limited_parabolic
700,0.8,16.0,0.044939,0.001438,0.002022,Diffusion_limited_parabolic
700,0.85,17.0,0.046236,0.00148,0.002081,Diffusion_limited_parabolic
700,0.9,18.0,0.047512,0.00152,0.002138,Diffusion_limited_parabolic
700,0.95,19.0,0.048766,0.00156,0.002194,Diffusion_limited_parabolic
700,1.0,20.0,0.05,0.0016,0.00225,Diffusion_limited_parabolic
800,0.0,0.0,0.025,0.0008,0.001125,Diffusion_limited_parabolic
800,0.05,1.0,0.031755,0.001016,0.001429,Diffusion_limited_parabolic
800,0.1,2.0,0.035974,0.001151,0.001619,Diffusion_limited_parabolic
800,0.15,3.0,0.039576,0.001266,0.001781,Diffusion_limited_parabolic
800,0.2,4.0,0.042827,0.00137,0.001927,Diffusion_limited_parabolic
800,0.25,5.0,0.045841,0.001467,0.002063,Diffusion_limited_parabolic
800,0.3,6.0,0.048678,0.001558,0.002191,Diffusion_limited_parabolic
800,0.35,7.0,0.051376,0.001644,0.002312,Diffusion_limited_parabolic
800,0.4,8.0,0.05396,0.001727,0.002428,Diffusion_limited_parabolic
800,0.45,9.0,0.056449,0.001806,0.00254,Diffusion_limited_parabolic
800,0.5,10.0,0.058856,0.001883,0.002649,Diffusion_limited_parabolic
800,0.55,11.0,0.061192,0.001958,0.002754,Diffusion_limited_parabolic
800,0.6,12.0,0.063465,0.002031,0.002856,Diffusion_limited_parabolic
800,0.65,13.0,0.065682,0.002102,0.002956,Diffusion_limited_parabolic
800,0.7,14.0,0.067848,0.002171,0.003053,Diffusion_limited_parabolic
800,0.75,15.0,0.069968,0.002239,0.003149,Diffusion_limited_parabolic
800,0.8,16.0,0.072046,0.002305,0.003242,Diffusion_limited_parabolic
800,0.85,17.0,0.074086,0.002371,0.003334,Diffusion_limited_parabolic
800,0.9,18.0,0.07609,0.002435,0.003424,Diffusion_limited_parabolic
800,0.95,19.0,0.07806,0.002498,0.003513,Diffusion_limited_parabolic
800,1.0,20.0,0.08,0.00256,0.0036,Diffusion_limited_parabolic
