Material,Delta_delta,Beta_11_inplane,Beta_33_outofplane,Epsilon_chem_11,Epsilon_chem_33,Epsilon_chem_volumetric,Anisotropy_ratio_beta33_beta11,Source_DOI
LSCF,0.0,0.032,0.045,0.0,0.0,0.0,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.01,0.032,0.045,0.00032,0.00045,0.00109,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.02,0.032,0.045,0.00064,0.0009,0.00218,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.03,0.032,0.045,0.00096,0.00135,0.00327,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.04,0.032,0.045,0.00128,0.0018,0.00436,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.05,0.032,0.045,0.0016,0.00225,0.00545,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.06,0.032,0.045,0.00192,0.0027,0.00654,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.07,0.032,0.045,0.00224,0.00315,0.00763,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.08,0.032,0.045,0.00256,0.0036,0.00872,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.09,0.032,0.045,0.00288,0.00405,0.00981,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.1,0.032,0.045,0.0032,0.0045,0.0109,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.11,0.032,0.045,0.00352,0.00495,0.01199,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.12,0.032,0.045,0.00384,0.0054,0.01308,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.13,0.032,0.045,0.00416,0.00585,0.01417,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.14,0.032,0.045,0.00448,0.0063,0.01526,1.406,10.1016/j.ssi.2013.03.025
LSCF,0.15,0.032,0.045,0.0048,0.00675,0.01635,1.406,10.1016/j.ssi.2013.03.025
