Material,Temperature_C,Temperature_K,E_GPa,E_Pa,nu,alpha_1e6_perK,alpha_perK,Lambda_GPa,Mu_GPa,K_bulk_GPa
YSZ,25,298.15,205.0,205000000000.0,0.31,10.0,1e-05,127.662,78.244,179.825
YSZ,100,373.15,203.0,203000000000.0,0.311,10.2,1.02e-05,127.398,77.422,179.012
YSZ,200,473.15,200.0,200000000000.0,0.312,10.4,1.04e-05,126.492,76.22,177.305
YSZ,300,573.15,197.0,197000000000.0,0.314,10.5,1.05e-05,126.549,74.962,176.523
YSZ,400,673.15,194.0,194000000000.0,0.315,10.6,1.06e-05,125.599,73.764,174.775
YSZ,500,773.15,191.0,191000000000.0,0.317,10.7,1.07e-05,125.61,72.513,173.953
YSZ,600,873.15,188.0,188000000000.0,0.319,10.8,1.08e-05,125.602,71.266,173.112
YSZ,700,973.15,184.0,184000000000.0,0.32,10.9,1.09e-05,123.906,69.697,170.37
YSZ,800,1073.15,180.0,180000000000.0,0.322,11.0,1.1e-05,123.154,68.079,168.539
GDC,25,298.15,195.0,195000000000.0,0.32,11.8,1.18e-05,131.313,73.864,180.556
GDC,100,373.15,192.5,192500000000.0,0.321,12.0,1.2e-05,130.662,72.861,179.236
GDC,200,473.15,189.0,189000000000.0,0.322,12.2,1.22e-05,129.311,71.483,176.966
GDC,300,573.15,185.5,185500000000.0,0.323,12.3,1.23e-05,127.933,70.106,174.67
GDC,400,673.15,182.0,182000000000.0,0.325,12.5,1.25e-05,127.547,68.679,173.333
GDC,500,773.15,178.0,178000000000.0,0.326,12.6,1.26e-05,125.752,67.119,170.498
GDC,600,873.15,174.0,174000000000.0,0.328,12.7,1.27e-05,124.93,65.512,168.605
GDC,700,973.15,171.0,171000000000.0,0.33,12.8,1.28e-05,124.79,64.286,167.647
GDC,800,1073.15,168.0,168000000000.0,0.332,13.0,1.3e-05,124.625,63.063,166.667
LSCF_dense,25,298.15,170.0,170000000000.0,0.29,14.0,1.4e-05,90.993,65.891,134.921
LSCF_dense,100,373.15,166.0,166000000000.0,0.291,14.5,1.45e-05,89.516,64.291,132.376
LSCF_dense,200,473.15,161.0,161000000000.0,0.293,15.0,1.5e-05,88.124,62.258,129.63
LSCF_dense,300,573.15,156.0,156000000000.0,0.295,15.4,1.54e-05,86.675,60.232,126.829
LSCF_dense,400,673.15,151.0,151000000000.0,0.297,15.7,1.57e-05,85.166,58.211,123.974
LSCF_dense,500,773.15,146.0,146000000000.0,0.299,16.0,1.6e-05,83.597,56.197,121.061
LSCF_dense,600,873.15,142.0,142000000000.0,0.301,16.2,1.62e-05,82.546,54.573,118.928
LSCF_dense,700,973.15,138.0,138000000000.0,0.303,16.4,1.64e-05,81.448,52.955,116.751
LSCF_dense,800,1073.15,135.0,135000000000.0,0.305,16.5,1.65e-05,80.902,51.724,115.385
LSCF_porous,25,298.15,28.7,28697836777.0,0.29,14.0,1.4e-05,15.361,11.123,22.776
LSCF_porous,100,373.15,28.02,28022593559.0,0.291,14.5,1.45e-05,15.111,10.853,22.347
LSCF_porous,200,473.15,27.18,27178539536.0,0.293,15.0,1.5e-05,14.876,10.51,21.883
LSCF_porous,300,573.15,26.33,26334485513.0,0.295,15.4,1.54e-05,14.632,10.168,21.41
LSCF_porous,400,673.15,25.49,25490431490.0,0.297,15.7,1.57e-05,14.377,9.827,20.928
LSCF_porous,500,773.15,24.65,24646377467.0,0.299,16.0,1.6e-05,14.112,9.487,20.436
LSCF_porous,600,873.15,23.97,23971134249.0,0.301,16.2,1.62e-05,13.935,9.213,20.076
LSCF_porous,700,973.15,23.3,23295891031.0,0.303,16.4,1.64e-05,13.749,8.939,19.709
LSCF_porous,800,1073.15,22.79,22789458617.0,0.305,16.5,1.65e-05,13.657,8.732,19.478
