Interface,Temperature_C,Gc_I_Jm2,Gc_II_Jm2,Gc_II_over_Gc_I,Mode_Mixity_deg,Eta_BK,Gc_mixed_at_45deg_Jm2
YSZ_GDC,25,5.0,8.0,1.6,51.67,2.1,5.7
YSZ_GDC,100,4.903,7.855,1.602,51.69,2.1,5.592
YSZ_GDC,200,4.774,7.661,1.605,51.71,2.1,5.448
YSZ_GDC,300,4.645,7.468,1.608,51.74,2.1,5.304
YSZ_GDC,400,4.516,7.274,1.611,51.76,2.1,5.159
YSZ_GDC,500,4.387,7.081,1.614,51.79,2.1,5.015
YSZ_GDC,600,4.258,6.887,1.617,51.82,2.1,4.871
YSZ_GDC,700,4.129,6.694,1.621,51.85,2.1,4.727
YSZ_GDC,800,4.0,6.5,1.625,51.89,2.1,4.583
GDC_LSCF,25,3.5,5.5,1.571,51.42,2.1,3.967
GDC_LSCF,100,3.403,5.355,1.573,51.44,2.1,3.858
GDC_LSCF,200,3.274,5.161,1.576,51.46,2.1,3.714
GDC_LSCF,300,3.145,4.968,1.579,51.49,2.1,3.57
GDC_LSCF,400,3.016,4.774,1.583,51.52,2.1,3.426
GDC_LSCF,500,2.887,4.581,1.587,51.55,2.1,3.282
GDC_LSCF,600,2.758,4.387,1.591,51.59,2.1,3.138
GDC_LSCF,700,2.629,4.194,1.595,51.63,2.1,2.994
GDC_LSCF,800,2.5,4.0,1.6,51.67,2.1,2.85
