Sweep_ID,Sweep_Name,Parameter_Varied,Value,l0_over_h,t_YSZ_um,t_GDC_um,t_LSCF_um,T_sintering_C,T_operating_C,pO2_atm,Eta_BK,Expected_CPU_hours
1,Mesh_Objectivity,Mesh_Size_um,0.1,10.0,10.0,2.0,20.0,800,25,0.21,2.1,3.2
2,Mesh_Objectivity,Mesh_Size_um,0.2,5.0,10.0,2.0,20.0,800,25,0.21,2.1,0.6
3,Mesh_Objectivity,Mesh_Size_um,0.5,2.0,10.0,2.0,20.0,800,25,0.21,2.1,0.1
4,Mesh_Objectivity,Mesh_Size_um,1.0,1.0,10.0,2.0,20.0,800,25,0.21,2.1,0.0
5,Mesh_Objectivity,Mesh_Size_um,2.0,0.5,10.0,2.0,20.0,800,25,0.21,2.1,0.0
6,CTE_Mismatch_Sensitivity,Alpha_LSCF_factor,0.8,5.0,10.0,2.0,20.0,800,25,0.21,2.1,2.0
7,CTE_Mismatch_Sensitivity,Alpha_LSCF_factor,0.9,5.0,10.0,2.0,20.0,800,25,0.21,2.1,2.0
8,CTE_Mismatch_Sensitivity,Alpha_LSCF_factor,1.0,5.0,10.0,2.0,20.0,800,25,0.21,2.1,2.0
9,CTE_Mismatch_Sensitivity,Alpha_LSCF_factor,1.1,5.0,10.0,2.0,20.0,800,25,0.21,2.1,2.0
10,CTE_Mismatch_Sensitivity,Alpha_LSCF_factor,1.2,5.0,10.0,2.0,20.0,800,25,0.21,2.1,2.0
11,GDC_Thickness_Effect,t_GDC_um,0.5,5.0,10.0,0.5,20.0,800,25,0.21,2.1,2.0
12,GDC_Thickness_Effect,t_GDC_um,1.0,5.0,10.0,1.0,20.0,800,25,0.21,2.1,2.0
13,GDC_Thickness_Effect,t_GDC_um,2.0,5.0,10.0,2.0,20.0,800,25,0.21,2.1,2.0
14,GDC_Thickness_Effect,t_GDC_um,3.0,5.0,10.0,3.0,20.0,800,25,0.21,2.1,2.0
15,GDC_Thickness_Effect,t_GDC_um,5.0,5.0,10.0,5.0,20.0,800,25,0.21,2.1,2.0
16,Chemical_Loading_pO2,pO2_atm,0.21,5.0,10.0,2.0,20.0,800,800,0.21,2.1,3.0
17,Chemical_Loading_pO2,pO2_atm,0.01,5.0,10.0,2.0,20.0,800,800,0.01,2.1,3.0
18,Chemical_Loading_pO2,pO2_atm,1e-05,5.0,10.0,2.0,20.0,800,800,1e-05,2.1,3.0
19,Chemical_Loading_pO2,pO2_atm,1e-10,5.0,10.0,2.0,20.0,800,800,1e-10,2.1,3.0
20,Chemical_Loading_pO2,pO2_atm,1e-15,5.0,10.0,2.0,20.0,800,800,1e-15,2.1,3.0
21,Chemical_Loading_pO2,pO2_atm,1e-20,5.0,10.0,2.0,20.0,800,800,1e-20,2.1,3.0
22,BK_Exponent_Sensitivity,Eta_BK,1.0,5.0,10.0,2.0,20.0,800,25,0.21,1.0,2.0
23,BK_Exponent_Sensitivity,Eta_BK,1.5,5.0,10.0,2.0,20.0,800,25,0.21,1.5,2.0
24,BK_Exponent_Sensitivity,Eta_BK,2.0,5.0,10.0,2.0,20.0,800,25,0.21,2.0,2.0
25,BK_Exponent_Sensitivity,Eta_BK,2.1,5.0,10.0,2.0,20.0,800,25,0.21,2.1,2.0
26,BK_Exponent_Sensitivity,Eta_BK,2.5,5.0,10.0,2.0,20.0,800,25,0.21,2.5,2.0
27,BK_Exponent_Sensitivity,Eta_BK,3.0,5.0,10.0,2.0,20.0,800,25,0.21,3.0,2.0
28,Interface_Roughness_Effect,Ra_GDC_LSCF_um,0.05,5.0,10.0,2.0,20.0,800,25,0.21,2.1,4.0
29,Interface_Roughness_Effect,Ra_GDC_LSCF_um,0.1,5.0,10.0,2.0,20.0,800,25,0.21,2.1,4.0
30,Interface_Roughness_Effect,Ra_GDC_LSCF_um,0.2,5.0,10.0,2.0,20.0,800,25,0.21,2.1,4.0
31,Interface_Roughness_Effect,Ra_GDC_LSCF_um,0.35,5.0,10.0,2.0,20.0,800,25,0.21,2.1,4.0
32,Interface_Roughness_Effect,Ra_GDC_LSCF_um,0.5,5.0,10.0,2.0,20.0,800,25,0.21,2.1,4.0
