Material,Temperature_C,pO2_atm,log10_pO2,Delta_delta,Beta_iso,Epsilon_chem_isotropic,Source_DOI
GDC,600,0.21,-0.68,0.0,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,600,0.1,-1.0,0.0,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,600,0.05,-1.3,0.0,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,600,0.01,-2.0,0.0,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,600,0.001,-3.0,0.0,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,600,1e-05,-5.0,2e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,600,1e-10,-10.0,2.7e-05,0.084,2e-06,10.1016/j.actamat.2009.08.011
GDC,600,1e-15,-15.0,0.000475,0.084,4e-05,10.1016/j.actamat.2009.08.011
GDC,600,1e-20,-20.0,0.008449,0.084,0.00071,10.1016/j.actamat.2009.08.011
GDC,700,0.21,-0.68,0.0,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,700,0.1,-1.0,1e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,700,0.05,-1.3,1e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,700,0.01,-2.0,1e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,700,0.001,-3.0,2e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,700,1e-05,-5.0,6e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,700,1e-10,-10.0,0.000105,0.084,9e-06,10.1016/j.actamat.2009.08.011
GDC,700,1e-15,-15.0,0.001862,0.084,0.000156,10.1016/j.actamat.2009.08.011
GDC,700,1e-20,-20.0,0.033109,0.084,0.002781,10.1016/j.actamat.2009.08.011
GDC,800,0.21,-0.68,1e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,800,0.1,-1.0,2e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,800,0.05,-1.3,2e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,800,0.01,-2.0,3e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,800,0.001,-3.0,6e-06,0.084,0.0,10.1016/j.actamat.2009.08.011
GDC,800,1e-05,-5.0,1.8e-05,0.084,2e-06,10.1016/j.actamat.2009.08.011
GDC,800,1e-10,-10.0,0.000318,0.084,2.7e-05,10.1016/j.actamat.2009.08.011
GDC,800,1e-15,-15.0,0.005656,0.084,0.000475,10.1016/j.actamat.2009.08.011
GDC,800,1e-20,-20.0,0.100587,0.084,0.008449,10.1016/j.actamat.2009.08.011
