Temperature_C,Kappa_thermal_only_1_per_m,Kappa_thermal_plus_chemical_1_per_m,DIC_measured_kappa_1_per_m,DIC_uncertainty_1_per_m,Measurement_Method,Source
800.0,0.0,0.002,0.001941,0.0001,DIC_optical,Simulated_from_literature_correlations
775.0,3.4e-05,0.001909,0.001877,0.0001,DIC_optical,Simulated_from_literature_correlations
750.0,6.9e-05,0.001819,0.00184,0.0001,DIC_optical,Simulated_from_literature_correlations
725.0,0.000103,0.001728,0.00171,0.0001,DIC_optical,Simulated_from_literature_correlations
700.0,0.000138,0.001638,0.001594,0.0001,DIC_optical,Simulated_from_literature_correlations
675.0,0.000172,0.001547,0.001591,0.0001,DIC_optical,Simulated_from_literature_correlations
650.0,0.000206,0.001456,0.001431,0.0001,DIC_optical,Simulated_from_literature_correlations
625.0,0.000241,0.001366,0.001336,0.0001,DIC_optical,Simulated_from_literature_correlations
600.0,0.000275,0.001275,0.001242,0.0001,DIC_optical,Simulated_from_literature_correlations
575.0,0.000309,0.001184,0.001184,0.0001,DIC_optical,Simulated_from_literature_correlations
550.0,0.000344,0.001094,0.001001,0.0001,DIC_optical,Simulated_from_literature_correlations
525.0,0.000378,0.001003,0.000966,0.0001,DIC_optical,Simulated_from_literature_correlations
500.0,0.000412,0.000912,0.000919,0.0001,DIC_optical,Simulated_from_literature_correlations
475.0,0.000447,0.000822,0.000743,0.0001,DIC_optical,Simulated_from_literature_correlations
450.0,0.000481,0.000731,0.000742,0.0001,DIC_optical,Simulated_from_literature_correlations
425.0,0.000516,0.000641,0.000621,0.0001,DIC_optical,Simulated_from_literature_correlations
400.0,0.00055,0.00055,0.000525,0.0001,DIC_optical,Simulated_from_literature_correlations
375.0,0.000584,0.000584,0.000592,0.0001,DIC_optical,Simulated_from_literature_correlations
350.0,0.000619,0.000619,0.000586,0.0001,DIC_optical,Simulated_from_literature_correlations
325.0,0.000653,0.000653,0.000638,0.0001,DIC_optical,Simulated_from_literature_correlations
300.0,0.000688,0.000688,0.000659,0.0001,DIC_optical,Simulated_from_literature_correlations
275.0,0.000722,0.000722,0.000717,0.0001,DIC_optical,Simulated_from_literature_correlations
250.0,0.000756,0.000756,0.000819,0.0001,DIC_optical,Simulated_from_literature_correlations
225.0,0.000791,0.000791,0.000775,0.0001,DIC_optical,Simulated_from_literature_correlations
200.0,0.000825,0.000825,0.000911,0.0001,DIC_optical,Simulated_from_literature_correlations
175.0,0.000859,0.000859,0.000916,0.0001,DIC_optical,Simulated_from_literature_correlations
150.0,0.000894,0.000894,0.000886,0.0001,DIC_optical,Simulated_from_literature_correlations
125.0,0.000928,0.000928,0.000994,0.0001,DIC_optical,Simulated_from_literature_correlations
100.0,0.000962,0.000962,0.00099,0.0001,DIC_optical,Simulated_from_literature_correlations
75.0,0.000997,0.000997,0.001025,0.0001,DIC_optical,Simulated_from_literature_correlations
50.0,0.001031,0.001031,0.001007,0.0001,DIC_optical,Simulated_from_literature_correlations
25.0,0.001066,0.001066,0.001105,0.0001,DIC_optical,Simulated_from_literature_correlations
