X_um,Y_YSZ_GDC_interface_um,Y_GDC_LSCF_interface_um,Phase_field_d_YSZ_GDC,Phase_field_d_GDC_LSCF
0.0,0.0,0.0,0.0,0.0
0.151,0.0094,-0.0102,0.0189,0.0203
0.302,0.0063,0.0078,0.0127,0.0156
0.452,0.0183,-0.049,0.0367,0.098
0.603,0.0463,-0.0378,0.0927,0.0755
0.754,0.0396,-0.0352,0.0792,0.0703
0.905,0.0332,-0.0404,0.0663,0.0809
1.055,0.0615,-0.053,0.123,0.1061
1.206,0.073,-0.0692,0.146,0.1384
1.357,0.0604,-0.0908,0.1209,0.1816
1.508,0.0677,-0.1555,0.1354,0.311
1.658,0.0555,-0.1587,0.1111,0.3173
1.809,0.0439,-0.122,0.0878,0.244
1.96,0.0463,-0.1281,0.0926,0.2562
2.111,0.0076,-0.1058,0.0153,0.2115
2.261,-0.0255,-0.134,0.051,0.2681
2.412,-0.0349,-0.168,0.0698,0.336
2.563,-0.0524,-0.1848,0.1048,0.3696
2.714,-0.0438,-0.2091,0.0877,0.4182
2.864,-0.0589,-0.2373,0.1178,0.4745
3.015,-0.0828,-0.2171,0.1656,0.4341
3.166,-0.0508,-0.1588,0.1016,0.3175
3.317,-0.0525,-0.1734,0.1051,0.3468
3.467,-0.0486,-0.2174,0.0973,0.4349
3.618,-0.0733,-0.1918,0.1465,0.3836
3.769,-0.08,-0.2278,0.1599,0.4557
3.92,-0.0738,-0.2554,0.1477,0.5109
4.07,-0.092,-0.2334,0.184,0.4667
4.221,-0.0803,-0.2312,0.1606,0.4624
4.372,-0.0877,-0.2442,0.1754,0.4885
4.523,-0.0888,-0.2349,0.1777,0.4699
4.673,-0.0958,-0.2398,0.1917,0.4796
4.824,-0.0558,-0.1776,0.1117,0.3552
4.975,-0.0533,-0.192,0.1066,0.3839
5.126,-0.0707,-0.2128,0.1415,0.4255
5.276,-0.0516,-0.2196,0.1031,0.4393
5.427,-0.0722,-0.2251,0.1444,0.4501
5.578,-0.0646,-0.201,0.1292,0.4019
5.729,-0.0986,-0.2529,0.1972,0.5058
5.879,-0.1189,-0.2329,0.2378,0.4658
6.03,-0.1092,0.2433,0.2185,0.4867
6.181,-0.0897,0.2586,0.1795,0.5173
6.332,-0.082,0.2296,0.164,0.4592
6.482,-0.0801,0.229,0.1602,0.4581
6.633,-0.0818,0.2235,0.1636,0.447
6.784,-0.1058,0.1978,0.2116,0.3956
6.935,-0.1142,0.2543,0.2284,0.5085
7.085,-0.1172,0.2651,0.2345,0.5302
7.236,-0.0913,0.1982,0.1826,0.3964
7.387,-0.0802,0.1977,0.1604,0.3954
7.538,-0.3947,0.1725,0.7894,0.345
7.688,-0.391,0.1921,0.782,0.3843
7.839,-0.3812,0.1633,0.7624,0.3266
7.99,-0.363,0.1551,0.7259,0.3101
8.141,-0.35,0.1651,0.7001,0.3302
8.291,-0.3622,0.1853,0.7245,0.3707
8.442,-0.3592,0.1449,0.7185,0.2897
8.593,-0.3236,0.1308,0.6472,0.2616
8.744,-0.2945,0.113,0.5891,0.2261
8.894,-0.2665,0.0906,0.5331,0.1813
9.045,-0.2499,0.1393,0.4998,0.2786
9.196,-0.2248,0.1469,0.4497,0.2938
9.347,-0.209,0.1058,0.418,0.2116
9.497,-0.2018,0.1293,0.4035,0.2587
9.648,-0.1695,0.1872,0.3391,0.3744
9.799,-0.1657,0.2116,0.3315,0.4233
9.95,-0.1721,0.1611,0.3441,0.3221
10.101,-0.1404,0.1421,0.2809,0.2843
10.251,-0.11,0.1748,0.22,0.3495
10.402,-0.1344,0.1489,0.2688,0.2978
10.553,-0.1155,0.1574,0.2311,0.3147
10.704,-0.1486,0.1752,0.2972,0.3504
10.854,-0.1209,0.143,0.2417,0.2859
11.005,-0.1326,0.1369,0.2651,0.2739
11.156,-0.111,0.0385,0.2221,0.077
11.307,-0.1172,0.0075,0.2343,0.0151
11.457,-0.105,-0.0,0.21,0.0001
11.608,-0.126,-0.0363,0.2519,0.0727
11.759,-0.125,0.0122,0.25,0.0245
11.91,-0.1199,-0.0297,0.2398,0.0595
12.06,-0.0956,-0.2356,0.1913,0.4713
12.211,-0.0568,-0.2248,0.1135,0.4495
12.362,-0.0429,-0.1253,0.0858,0.2506
12.513,-0.0351,-0.1191,0.0702,0.2382
12.663,-0.0529,-0.0872,0.1057,0.1744
12.814,-0.0772,-0.0396,0.1544,0.0793
12.965,-0.0697,-0.0284,0.1394,0.0569
13.116,-0.0636,-0.0006,0.1273,0.0013
13.266,-0.0489,0.0171,0.0978,0.0341
13.417,-0.0331,0.0466,0.0661,0.0932
13.568,-0.0246,0.0151,0.0491,0.0302
13.719,-0.0512,0.0206,0.1024,0.0412
13.869,-0.0317,0.034,0.0634,0.068
14.02,-0.0321,0.0466,0.0642,0.0931
14.171,-0.0486,0.0782,0.0973,0.1565
14.322,-0.0541,0.0889,0.1082,0.1778
14.472,-0.078,0.0529,0.1559,0.1058
14.623,-0.0806,0.0685,0.1612,0.1371
14.774,-0.0623,0.0408,0.1246,0.0816
14.925,-0.0654,0.0192,0.1308,0.0384
15.075,0.2065,0.0065,0.413,0.0129
