specimen_id,rubber_content_pct,temperature_condition,event_number,event_type,onset_temp_C,peak_temp_C,endset_temp_C,enthalpy_J_g,peak_intensity_uV_mg,mass_loss_pct,phase_identification,interpretation
DTA-R0-RT-01,0,unheated,1,endothermic,50,96,145,125.4,2850,2.15,Free_water,Evaporation of physically absorbed water
DTA-R0-RT-01,0,unheated,2,endothermic,155,212,385,456.8,3420,8.67,CSH_bound_water,Dehydration of C-S-H gel structure
DTA-R0-RT-01,0,unheated,3,endothermic,418,442,488,285.3,4680,3.42,Ca(OH)2,Dehydroxylation of Portlandite
DTA-R0-RT-01,0,unheated,4,endothermic,648,712,782,168.7,2120,2.18,CaCO3,Decarbonation of calcite
DTA-R0-RT-02,0,unheated,1,endothermic,52,98,148,132.1,2920,2.23,Free_water,Capillary and gel water loss
DTA-R0-RT-02,0,unheated,2,endothermic,158,215,388,468.5,3510,8.84,CSH_bound_water,C-S-H structural water loss
DTA-R0-RT-02,0,unheated,3,endothermic,420,444,491,293.6,4750,3.51,Ca(OH)2,CH decomposition
DTA-R0-RT-02,0,unheated,4,endothermic,650,715,785,175.2,2180,2.24,CaCO3,Calcite decomposition
DTA-R5-RT-01,5,unheated,1,endothermic,54,102,152,142.8,3080,2.42,Free_water,Free water evaporation
DTA-R5-RT-01,5,unheated,2,endothermic,160,218,390,432.6,3280,8.21,CSH_bound_water,C-S-H dehydration
DTA-R5-RT-01,5,unheated,3,exothermic,345,385,425,48.5,1250,0.58,Rubber_polymer,Rubber oxidation and combustion
DTA-R5-RT-01,5,unheated,4,endothermic,412,438,484,274.2,4520,3.28,Ca(OH)2,Portlandite dehydroxylation
DTA-R5-RT-01,5,unheated,5,endothermic,652,718,788,179.4,2280,2.31,CaCO3,Carbonate decomposition
DTA-R5-RT-02,5,unheated,1,endothermic,57,105,156,148.3,3150,2.51,Free_water,Moisture removal
DTA-R5-RT-02,5,unheated,2,endothermic,163,221,392,440.8,3340,8.35,CSH_bound_water,Bound water loss
DTA-R5-RT-02,5,unheated,3,exothermic,348,388,428,51.2,1310,0.62,Rubber_polymer,Rubber thermal decomposition
DTA-R5-RT-02,5,unheated,4,endothermic,415,440,487,280.1,4590,3.34,Ca(OH)2,CH breakdown
DTA-R5-RT-02,5,unheated,5,endothermic,655,721,791,184.5,2340,2.38,CaCO3,CaCO3 decarbonation
