specimen_id,rubber_content_pct,initial_mass_mg,free_water_loss_50_150C_pct,bound_water_loss_150_400C_pct,CH_dehydrox_loss_400_500C_pct,CaCO3_decomp_loss_600_800C_pct,rubber_combustion_loss_300_500C_pct,total_mass_loss_pct,residual_mass_pct,peak_dta_50_150C,peak_dta_400_500C,peak_dta_600_800C,peak_dta_rubber_combustion,onset_temp_CH_C,onset_temp_CaCO3_C,notes
TGA-R0-RT-01,0,125.43,2.15,8.67,3.42,2.18,0.00,16.42,83.58,96,442,712,0,418,648,Typical control hydration
TGA-R0-RT-02,0,128.76,2.23,8.84,3.51,2.24,0.00,16.82,83.18,98,444,715,0,420,650,Good water binding
TGA-R0-RT-03,0,122.89,2.08,8.52,3.35,2.12,0.00,16.07,83.93,94,440,710,0,416,646,Consistent control
TGA-R5-RT-01,5,118.65,2.42,8.21,3.28,2.31,0.58,16.80,83.20,102,438,718,385,412,652,Rubber decomposition peak visible
TGA-R5-RT-02,5,121.34,2.51,8.35,3.34,2.38,0.62,17.20,82.80,105,440,721,388,415,655,Slight increase in mass loss
TGA-R5-RT-03,5,116.78,2.36,8.08,3.21,2.25,0.55,16.45,83.55,99,436,715,382,410,649,Rubber contribution clear
TGA-R10-RT-01,10,114.52,2.68,7.84,3.12,2.45,1.28,17.37,82.63,108,434,724,392,406,658,Higher rubber content evident
TGA-R10-RT-02,10,117.89,2.78,7.98,3.18,2.52,1.35,17.81,82.19,112,436,727,395,408,661,Reduced bound water
TGA-R10-RT-03,10,112.34,2.61,7.72,3.05,2.39,1.22,16.99,83.01,105,432,721,389,404,655,Consistent with 10% rubber
TGA-R15-RT-01,15,108.76,2.95,7.42,2.95,2.61,2.08,18.01,81.99,115,428,731,398,398,665,Significant rubber mass
TGA-R15-RT-02,15,111.23,3.08,7.56,3.02,2.68,2.18,18.52,81.48,119,430,734,402,401,668,Lower hydration products
TGA-R15-RT-03,15,106.45,2.84,7.31,2.89,2.55,2.01,17.60,82.40,112,426,728,395,396,662,Higher total loss
TGA-R20-RT-01,20,102.34,3.25,6.98,2.76,2.78,2.95,18.72,81.28,122,422,738,405,390,672,Very high rubber content
TGA-R20-RT-02,20,105.67,3.38,7.12,2.84,2.85,3.12,19.31,80.69,127,424,742,409,393,676,Lowest hydration degree
TGA-R20-RT-03,20,99.78,3.12,6.85,2.69,2.72,2.82,18.20,81.80,118,420,735,402,388,669,Poor water binding capacity
TGA-R0-200P-01,0,118.92,1.82,7.45,3.18,2.35,0.00,14.80,85.20,88,438,708,0,415,645,Already lost some free water
TGA-R0-200P-02,0,121.45,1.89,7.58,3.25,2.41,0.00,15.13,84.87,91,440,711,0,417,648,Post-heating sample
TGA-R5-200P-01,5,115.23,2.05,7.12,3.02,2.48,0.42,15.09,84.91,95,434,715,348,408,652,Partial rubber degradation
TGA-R5-200P-02,5,117.89,2.12,7.24,3.08,2.54,0.45,15.43,84.57,98,436,718,352,410,655,200C exposure effects
TGA-R10-200P-01,10,110.67,2.28,6.78,2.85,2.62,0.88,15.41,84.59,102,430,722,358,402,658,Noticeable rubber loss
TGA-R10-200P-02,10,113.34,2.35,6.89,2.91,2.68,0.94,15.77,84.23,105,432,725,362,404,661,Thermal pre-conditioning
TGA-R15-200P-01,15,105.45,2.58,6.42,2.68,2.78,1.45,15.91,84.09,109,424,731,368,396,665,Significant pre-damage
TGA-R15-200P-02,15,108.12,2.65,6.54,2.74,2.84,1.52,16.29,83.71,112,426,734,372,398,668,Reduced subsequent loss
TGA-R20-200P-01,20,98.76,2.88,6.08,2.52,2.95,2.08,16.51,83.49,118,418,740,378,388,672,Major pre-existing damage
TGA-R20-200P-02,20,101.23,2.95,6.19,2.58,3.01,2.18,16.91,83.09,122,420,743,382,390,675,High early mass loss
TGA-R0-400P-01,0,114.56,1.45,5.82,2.52,2.58,0.00,12.37,87.63,72,428,702,0,405,640,Significant prior degradation
TGA-R0-400P-02,0,117.23,1.52,5.94,2.61,2.65,0.00,12.72,87.28,76,431,705,0,408,643,Much water already lost
TGA-R0-400P-03,0,112.89,1.38,5.71,2.45,2.52,0.00,12.06,87.94,69,425,699,0,402,637,Post-400C specimen
TGA-R5-400P-01,5,108.34,1.68,5.42,2.28,2.72,0.15,12.25,87.75,78,420,708,298,395,645,Most rubber combusted
TGA-R5-400P-02,5,110.89,1.74,5.53,2.34,2.78,0.18,12.57,87.43,82,422,711,302,397,648,Minimal rubber remains
TGA-R5-400P-03,5,106.45,1.62,5.32,2.23,2.66,0.12,11.95,88.05,75,418,705,295,393,642,Major prior loss
TGA-R10-400P-01,10,102.67,1.92,5.08,2.05,2.88,0.35,12.28,87.72,85,412,715,308,386,650,Extensive pre-damage
TGA-R10-400P-02,10,105.23,1.98,5.18,2.11,2.94,0.38,12.59,87.41,88,414,718,312,388,653,Reduced residual rubber
TGA-R10-400P-03,10,100.12,1.85,4.99,1.98,2.82,0.32,11.96,88.04,82,410,712,305,384,647,High prior thermal damage
TGA-R15-400P-01,15,96.78,2.18,4.72,1.82,3.05,0.58,12.35,87.65,92,404,722,318,376,658,Severe degradation
TGA-R15-400P-02,15,99.34,2.25,4.82,1.88,3.12,0.62,12.69,87.31,96,406,725,322,378,661,Minimal hydrates left
TGA-R20-400P-01,20,91.45,2.52,4.35,1.65,3.25,0.88,12.65,87.35,102,396,732,328,368,668,Catastrophic prior loss
TGA-R20-400P-02,20,93.89,2.58,4.44,1.71,3.32,0.94,13.00,87.00,105,398,735,332,370,671,Very little remaining
TGA-R0-600P-01,0,108.45,0.98,3.85,1.12,1.95,0.00,7.90,92.10,52,385,685,0,372,625,Extreme prior decomposition
TGA-R0-600P-02,0,110.89,1.05,3.94,1.18,2.02,0.00,8.19,91.81,56,388,689,0,375,628,Most hydrates gone
TGA-R0-600P-03,0,106.23,0.92,3.77,1.07,1.89,0.00,7.65,92.35,49,382,682,0,369,622,Post-600C condition
TGA-R5-600P-01,5,102.34,1.15,3.52,0.85,2.12,0.00,7.64,92.36,58,376,692,0,361,630,All rubber combusted
TGA-R5-600P-02,5,104.67,1.22,3.61,0.91,2.18,0.00,7.92,92.08,62,379,695,0,364,633,Only residual material
TGA-R5-600P-03,5,100.45,1.09,3.44,0.80,2.06,0.00,7.39,92.61,55,373,689,0,358,627,Near-complete prior loss
TGA-R10-600P-01,10,96.78,1.35,3.18,0.62,2.28,0.00,7.43,92.57,65,368,698,0,350,638,Total rubber burnout
TGA-R10-600P-02,10,98.92,1.42,3.26,0.68,2.34,0.00,7.70,92.30,68,371,701,0,353,641,Minimal subsequent loss
TGA-R10-600P-03,10,94.56,1.28,3.11,0.58,2.22,0.00,7.19,92.81,62,365,695,0,347,635,Extreme degradation
TGA-R15-600P-01,15,90.45,1.58,2.85,0.42,2.45,0.00,7.30,92.70,72,358,705,0,338,645,Complete decomposition
TGA-R15-600P-02,15,92.67,1.65,2.92,0.48,2.52,0.00,7.57,92.43,75,361,708,0,341,648,Only inert phases left
TGA-R20-600P-01,20,85.23,1.85,2.52,0.28,2.65,0.00,7.30,92.70,82,348,715,0,328,655,Total phase transformation
TGA-R20-600P-02,20,87.34,1.92,2.59,0.32,2.72,0.00,7.55,92.45,85,351,718,0,331,658,Minimal reactive material
TGA-R0-800P-01,0,102.34,0.65,2.15,0.32,0.88,0.00,4.00,96.00,35,342,625,0,328,592,Complete prior decomposition
TGA-R0-800P-02,0,104.56,0.72,2.24,0.38,0.95,0.00,4.29,95.71,38,345,630,0,331,596,Only stable phases
TGA-R0-800P-03,0,100.23,0.58,2.07,0.28,0.82,0.00,3.75,96.25,32,339,621,0,325,589,Post-800C specimen
TGA-R5-800P-01,5,96.45,0.78,1.95,0.18,1.02,0.00,3.93,96.07,42,334,632,0,318,598,Total thermal alteration
TGA-R5-800P-02,5,98.23,0.84,2.02,0.22,1.08,0.00,4.16,95.84,45,337,636,0,321,601,Sintered material
TGA-R10-800P-01,10,90.67,0.95,1.78,0.12,1.18,0.00,4.03,95.97,48,326,642,0,308,608,Extreme transformation
TGA-R10-800P-02,10,92.34,1.02,1.85,0.15,1.24,0.00,4.26,95.74,52,329,645,0,311,611,Near-inert condition
TGA-R15-800P-01,15,84.89,1.15,1.62,0.08,1.35,0.00,4.20,95.80,58,318,652,0,298,618,Complete phase change
TGA-R20-800P-01,20,78.45,1.32,1.42,0.05,1.52,0.00,4.31,95.69,65,308,662,0,288,628,Total disintegration
