building_id,floor_area_m2,total_floor_area_m2,num_floors,floor_height_m,building_height_m,footprint_length_m,footprint_width_m,rooftop_area_m2,volume_m3,window_area_m2,window_to_wall_ratio,construction_year,construction_period,building_age_years,construction_quality,architectural_style,primary_material,secondary_material,roof_material,window_material,insulation_present,insulation_type,u_value_wall_w_m2k,u_value_roof_w_m2k,u_value_floor_w_m2k,u_value_window_w_m2k,r_value_wall_m2k_w,r_value_roof_m2k_w,r_value_floor_m2k_w,r_value_window_m2k_w,air_tightness_ach50,thermal_mass_kj_m2k,energy_intensity_kwh_m2,gwp_reduction_percent,energy_reduction_percent,retrofit_cost_eur_m2,payback_period_years,gwp_per_m2_kg_co2e,renewable_energy_percent
B001,102.32,511.62,5,3.52,17.62,10.12,10.12,90.6,1802.75,247.28,0.347,1972,1970-1980,51,poor,modern,concrete,brick,metal,wood,False,none,2.34,2.86,1.95,5.2,0.427,0.35,0.513,0.192,9.48,140.7,198.91,67.01,75.36,276.44,30.6,480.61,36.7
B002,4558.15,82046.68,18,3.55,63.87,67.51,67.51,4307.59,291141.93,5996.63,0.348,2016,2011-2020,7,excellent,modern,steel,metal_cladding,metal,aluminum,True,fiberglass,0.168,0.252,0.168,1.05,5.952,3.968,5.952,0.952,2.56,153.3,236.49,62.7,77.21,351.98,38.0,412.8,22.5
B003,1189.9,2379.8,2,3.08,6.16,34.49,34.49,1040.79,7332.26,316.73,0.373,1978,1970-1980,45,poor,modern,concrete,wood,asphalt_shingle,composite,False,none,2.34,2.86,1.95,5.2,0.427,0.35,0.513,0.192,8.46,173.4,398.74,63.91,73.63,326.5,37.0,495.43,37.7
B004,2725.06,2725.06,1,3.5,3.5,52.2,52.2,2407.47,9526.09,310.84,0.426,2019,2011-2020,4,poor,postmodern,steel,brick,asphalt_shingle,vinyl,True,cellulose,0.312,0.468,0.312,1.95,3.205,2.137,3.205,0.513,3.21,198.3,226.25,68.57,73.55,249.79,28.3,506.76,32.3
B005,162.31,811.56,5,3.24,16.21,12.74,12.74,143.52,2631.13,280.29,0.339,1983,1981-1990,40,poor,postmodern,brick,concrete,metal,aluminum,False,none,1.56,1.95,1.3,3.9,0.641,0.513,0.769,0.256,5.64,121.3,167.42,68.11,80.36,335.55,34.8,324.47,32.3
B006,4479.8,35838.39,8,3.34,26.74,66.93,66.93,4039.96,119808.11,3158.75,0.441,1968,pre-1970,55,poor,brutalist,brick,wood,asphalt_shingle,aluminum,False,none,3.25,3.9,2.6,6.5,0.308,0.256,0.385,0.154,11.99,177.6,252.34,56.35,67.31,240.92,29.8,514.65,13.1
B007,735.48,735.48,1,3.88,3.88,27.12,27.12,626.81,2854.67,156.45,0.372,1976,1970-1980,47,poor,postmodern,concrete,concrete,metal,vinyl,False,none,2.34,2.86,1.95,5.2,0.427,0.35,0.513,0.192,13.76,103.2,385.01,70.14,68.46,338.23,41.2,545.65,27.8
B008,9047.02,36188.07,4,2.51,10.05,95.12,95.12,7938.15,90943.96,1340.55,0.351,1970,1970-1980,53,fair,modern,concrete,composite,asphalt_shingle,composite,True,fiberglass,1.188,1.452,0.99,4.4,0.842,0.689,1.01,0.227,10.11,128.6,203.22,54.32,78.95,287.32,30.3,422.89,11.4
B009,176.01,528.02,3,3.5,10.49,13.27,13.27,151.12,1845.69,249.74,0.449,1960,pre-1970,63,good,vernacular,concrete,glass,asphalt_shingle,composite,False,none,2.25,2.7,1.8,4.5,0.444,0.37,0.556,0.222,12.6,68.1,232.98,48.64,69.11,322.59,38.9,492.26,37.9
B010,2670.64,48071.46,18,3.82,68.68,51.68,51.68,2356.22,183422.01,2509.36,0.177,2014,2011-2020,9,excellent,modern,concrete,concrete,green_roof,aluminum,False,none,0.28,0.42,0.28,1.05,3.571,2.381,3.571,0.952,3.87,131.1,360.19,63.21,64.27,359.67,46.6,430.77,24.3
B011,13528.07,108224.56,8,2.6,20.77,116.31,116.31,12304.12,280928.33,3842.51,0.398,1992,1991-2000,31,fair,vernacular,composite,composite,asphalt_shingle,aluminum,True,mineral_wool,0.528,0.66,0.528,2.75,1.894,1.515,1.894,0.364,6.33,144.7,720.23,,,,,,
B012,16900.92,33801.84,2,2.84,5.68,130.0,130.0,15080.17,95965.73,662.19,0.224,2023,post-2020,0,good,vernacular,steel,glass,tile,vinyl,True,mineral_wool,0.162,0.216,0.162,1.08,6.173,4.63,6.173,0.926,3.76,129.6,752.96,,,,,,
B013,117.99,589.94,5,3.44,17.2,10.86,10.86,101.95,2028.87,321.29,0.43,1977,1970-1980,46,poor,brutalist,steel,composite,green_roof,wood,True,mineral_wool,1.404,1.716,1.17,5.2,0.712,0.583,0.855,0.192,13.6,136.6,131.16,,,,,,
B014,3038.91,39505.85,13,2.54,32.99,55.13,55.13,2761.77,100248.3,1415.79,0.195,1974,1970-1980,49,poor,brutalist,concrete,brick,tile,composite,False,none,2.34,2.86,1.95,5.2,0.427,0.35,0.513,0.192,12.53,90.1,379.75,,,,,,
B015,1510.26,3020.51,2,3.43,6.86,38.86,38.86,1332.37,10354.37,450.53,0.423,1974,1970-1980,49,good,contemporary,concrete,glass,metal,aluminum,False,none,1.62,1.98,1.35,3.6,0.617,0.505,0.741,0.278,14.81,155.5,450.26,,,,,,
