date,rtu_id,heating_runtime_hours,cooling_runtime_hours,heating_energy_kwh,cooling_energy_kwh,gas_consumption_m3,total_airflow_m3,outdoor_air_temp_avg_c,supply_air_temp_avg_c,return_air_temp_avg_c,economizer_hours,filter_pressure_drop_pa,refrigerant_pressure_low_psi,refrigerant_pressure_high_psi,compressor_current_amps,maintenance_event
2023-01,RTU-01,285,0,32450,0,3850,1850000,2.5,45.2,20.8,0,145,125,285,0,Filter replacement
2023-01,RTU-02,290,0,33800,0,4020,1820000,2.5,46.1,20.5,0,158,122,290,0,Filter replacement
2023-01,RTU-03,310,0,37200,0,4550,1780000,2.5,44.8,20.2,0,172,118,295,0,Filter replacement
2023-01,RTU-04,288,0,33100,0,3940,1800000,2.5,45.5,20.6,0,151,124,288,0,Filter replacement
2023-02,RTU-01,268,0,30250,0,3590,1820000,3.8,44.5,21.1,0,168,126,282,0,
2023-02,RTU-02,272,0,31400,0,3740,1790000,3.8,45.3,20.9,0,182,123,287,0,
2023-02,RTU-03,295,0,35600,0,4350,1750000,3.8,43.9,20.4,0,195,119,292,0,
2023-02,RTU-04,270,0,30850,0,3670,1780000,3.8,44.8,21.0,0,175,125,285,0,
2023-03,RTU-01,195,15,21800,1320,2590,1900000,8.2,42.8,21.5,25,188,128,288,18.5,
2023-03,RTU-02,198,18,22450,1580,2670,1880000,8.2,43.2,21.3,28,205,125,292,19.2,
2023-03,RTU-03,215,22,25800,1920,3080,1840000,8.2,42.5,21.0,18,218,121,298,20.1,
2023-03,RTU-04,196,16,22150,1400,2630,1870000,8.2,43.0,21.4,30,192,127,290,18.8,
2023-04,RTU-01,85,95,9450,8350,1120,2150000,14.5,18.5,22.8,142,215,132,295,22.5,Filter replacement
2023-04,RTU-02,88,98,9820,8620,1180,2120000,14.5,18.8,22.6,138,228,129,298,23.1,Filter replacement
2023-04,RTU-03,96,110,11250,9650,1340,2080000,14.5,18.2,22.3,125,242,125,305,24.8,Filter replacement
2023-04,RTU-04,86,96,9580,8420,1140,2100000,14.5,18.6,22.7,145,220,131,297,22.8,Filter replacement
2023-05,RTU-01,28,185,3100,16250,370,2380000,19.8,16.2,23.5,258,235,135,302,28.5,
2023-05,RTU-02,32,192,3520,16880,420,2350000,19.8,16.5,23.3,245,248,132,308,29.8,
2023-05,RTU-03,42,215,4650,18900,560,2310000,19.8,15.8,23.0,228,265,128,315,31.5,
2023-05,RTU-04,30,188,3320,16520,390,2330000,19.8,16.3,23.4,252,240,134,305,29.2,
2023-06,RTU-01,0,325,0,28550,0,2520000,24.2,14.5,24.2,385,158,138,312,32.5,
2023-06,RTU-02,0,338,0,29720,0,2490000,24.2,14.8,24.0,372,172,135,318,34.2,
2023-06,RTU-03,0,365,0,32100,0,2450000,24.2,14.2,23.7,348,185,131,325,36.8,Refrigerant added
2023-06,RTU-04,0,328,0,28820,0,2470000,24.2,14.6,24.1,380,165,137,315,33.1,
2023-07,RTU-01,0,412,0,36200,0,2650000,27.5,13.2,25.1,425,182,142,325,38.5,Filter replacement
2023-07,RTU-02,0,428,0,37650,0,2620000,27.5,13.5,24.9,412,195,139,332,40.2,Filter replacement
2023-07,RTU-03,0,465,0,40850,0,2580000,27.5,12.8,24.5,385,208,135,342,43.5,Filter replacement
2023-07,RTU-04,0,415,0,36480,0,2600000,27.5,13.3,25.0,420,188,141,328,39.1,Filter replacement
2023-08,RTU-01,0,398,0,34950,0,2620000,26.8,13.5,24.9,405,205,141,322,37.2,Compressor issue RTU-03
2023-08,RTU-02,0,415,0,36450,0,2590000,26.8,13.8,24.7,392,218,138,328,38.8,
2023-08,RTU-03,0,485,0,47500,0,2550000,26.8,12.5,24.3,358,232,132,352,48.5,Compressor replaced
2023-08,RTU-04,0,402,0,35320,0,2570000,26.8,13.6,24.8,400,212,140,325,37.8,
2023-09,RTU-01,12,285,1320,25050,160,2420000,21.5,15.8,23.8,312,228,139,315,34.5,
2023-09,RTU-02,15,298,1650,26150,195,2390000,21.5,16.1,23.6,298,242,136,321,35.8,
2023-09,RTU-03,22,325,2430,28550,290,2350000,21.5,15.4,23.2,275,258,140,318,34.2,
2023-09,RTU-04,13,288,1430,25320,170,2380000,21.5,15.9,23.7,308,235,138,317,34.8,
2023-10,RTU-01,95,125,10550,10980,1250,2280000,13.2,19.2,22.5,185,152,136,308,26.5,Filter replacement
2023-10,RTU-02,98,132,11020,11600,1310,2250000,13.2,19.5,22.3,178,168,133,312,27.8,Filter replacement
2023-10,RTU-03,112,148,13150,13000,1560,2210000,13.2,18.8,22.0,165,182,138,315,26.2,Filter replacement
2023-10,RTU-04,96,128,10680,11250,1270,2230000,13.2,19.3,22.4,182,158,135,310,27.1,Filter replacement
2023-11,RTU-01,225,0,25200,0,2990,1980000,6.5,43.8,21.2,0,175,130,292,0,
2023-11,RTU-02,232,0,26850,0,3190,1950000,6.5,44.5,21.0,0,188,127,298,0,
2023-11,RTU-03,248,0,30200,0,3690,1910000,6.5,43.2,20.6,0,202,123,305,0,
2023-11,RTU-04,228,0,25650,0,3050,1930000,6.5,44.1,21.1,0,182,129,295,0,
2023-12,RTU-01,278,0,31650,0,3760,1900000,1.8,45.5,20.9,0,148,127,288,0,
2023-12,RTU-02,285,0,33200,0,3950,1870000,1.8,46.2,20.7,0,162,124,293,0,
2023-12,RTU-03,305,0,36800,0,4500,1830000,1.8,45.1,20.3,0,175,120,298,0,
2023-12,RTU-04,280,0,32100,0,3820,1850000,1.8,45.8,20.8,0,155,126,290,0,
2024-01,RTU-01,290,0,33100,0,3930,1880000,2.2,45.8,20.9,0,152,126,287,0,Filter replacement - Annual service
2024-01,RTU-02,295,0,34500,0,4100,1850000,2.2,46.5,20.7,0,165,123,292,0,Filter replacement - Annual service
2024-01,RTU-03,312,0,37850,0,4620,1810000,2.2,45.2,20.4,0,178,119,297,0,Filter replacement - Annual service
2024-01,RTU-04,292,0,33450,0,3980,1830000,2.2,46.1,20.8,0,158,125,289,0,Filter replacement - Annual service
