temperature_step,temperature_C,x_cm,y_cm,ux_um,uy_um,uz_um
0,25.0,1.2209,0.3387,-0.134,0.052,-0.091
0,25.0,0.6931,1.5129,-0.146,0.071,-0.04
0,25.0,1.5295,1.4634,0.044,0.062,0.071
0,25.0,1.4349,0.9961,-0.137,0.086,-0.041
0,25.0,1.9765,1.0272,0.02,-0.055,-0.023
0,25.0,1.7151,0.3465,0.028,-0.045,-0.09
0,25.0,1.3108,1.6835,0.11,-0.04,0.005
0,25.0,1.0193,1.01,0.104,0.159,-0.03
0,25.0,0.7002,1.3517,0.118,0.098,0.028
0,25.0,1.0432,1.5592,0.004,0.155,0.008
0,25.0,1.0864,0.8432,-0.042,-0.071,0.039
0,25.0,1.181,1.0988,-0.035,0.031,0.001
0,25.0,1.845,0.7244,0.078,-0.053,-0.054
0,25.0,1.2629,1.8886,-0.039,0.045,-0.062
0,25.0,1.119,0.3893,-0.154,-0.047,-0.046
0,25.0,0.1157,0.8107,0.076,0.124,0.041
0,25.0,1.2509,0.6531,-0.077,-0.043,0.082
0,25.0,0.4745,1.5126,-0.181,0.03,-0.063
0,25.0,1.1661,0.2653,0.159,-0.051,-0.033
0,25.0,0.6657,0.4108,0.113,-0.059,0.012
0,25.0,1.9765,0.7909,0.069,0.094,0.007
0,25.0,1.878,0.3552,0.145,0.014,-0.113
0,25.0,0.2995,1.8048,-0.054,0.026,-0.045
0,25.0,0.7925,0.611,0.02,0.252,0.031
0,25.0,1.0783,1.6781,0.073,0.075,-0.001
0,25.0,1.371,0.3905,0.113,-0.131,-0.011
0,25.0,0.7262,0.6278,0.093,-0.072,-0.024
0,25.0,0.8122,1.0994,0.082,0.151,-0.008
0,25.0,1.377,1.8791,-0.093,0.096,0.012
0,25.0,0.3146,0.472,0.116,0.102,0.029
0,25.0,1.0815,0.209,0.069,0.067,-0.052
0,25.0,0.495,0.2768,0.068,-0.001,0.047
0,25.0,0.0535,1.9908,0.07,-0.083,0.1
0,25.0,1.3032,1.0731,0.191,-0.086,-0.015
0,25.0,0.6698,0.9992,-0.033,-0.008,0.106
0,25.0,0.0941,0.2943,-0.201,-0.065,0.031
0,25.0,1.7055,1.4683,-0.051,0.125,-0.027
0,25.0,1.7846,1.5884,0.053,-0.001,0.018
0,25.0,1.4213,0.5102,0.137,0.241,0.002
0,25.0,0.9782,0.1032,0.012,0.008,0.057
0,25.0,1.8349,1.1406,-0.148,-0.051,0.025
0,25.0,1.4393,1.7398,0.0,0.043,-0.013
0,25.0,0.4635,0.865,0.032,0.068,0.087
0,25.0,1.6753,1.3946,-0.047,0.178,0.04
0,25.0,1.2197,0.7837,0.205,0.197,0.06
0,25.0,1.4001,0.8957,0.052,0.107,0.012
0,25.0,1.9675,0.6292,0.007,0.155,0.078
0,25.0,0.5933,0.9776,-0.019,0.097,-0.008
0,25.0,1.1686,0.758,-0.039,-0.057,0.023
0,25.0,1.8596,0.0102,-0.162,-0.063,-0.017
0,25.0,1.0066,1.6519,-0.2,-0.154,0.043
0,25.0,0.8345,0.7038,-0.094,-0.046,0.039
0,25.0,1.7241,0.2995,0.057,-0.002,0.053
0,25.0,1.722,0.7057,-0.122,-0.045,-0.057
0,25.0,1.4937,1.5684,0.143,-0.044,-0.063
0,25.0,1.0581,1.6173,0.12,0.059,-0.002
0,25.0,1.0129,0.765,-0.01,0.167,-0.003
0,25.0,1.0613,1.774,0.056,0.069,-0.025
0,25.0,1.9005,1.233,0.034,-0.044,0.028
0,25.0,1.1316,1.199,-0.184,0.107,0.057
0,25.0,0.6974,0.1889,-0.088,-0.165,0.015
0,25.0,1.6854,0.5055,-0.01,0.173,0.003
0,25.0,1.5866,0.2734,0.058,-0.089,-0.012
0,25.0,0.159,1.2396,0.045,0.035,-0.1
0,25.0,0.9711,0.934,0.186,-0.149,0.018
0,25.0,1.1966,1.8386,0.181,0.106,0.065
0,25.0,1.822,1.8636,0.017,0.006,-0.014
0,25.0,1.3745,0.377,-0.037,-0.019,-0.082
0,25.0,0.4921,1.3393,-0.141,-0.046,0.039
0,25.0,0.1224,1.5082,0.145,0.067,0.038
0,25.0,0.6377,0.4211,0.011,0.154,-0.01
0,25.0,1.0861,0.2947,0.055,0.179,0.046
0,25.0,1.9329,0.3677,0.168,-0.008,-0.02
