x_cm,y_cm,z_cm,t_hours,j_density_A_cm2,pH2O_pH2_ratio,T_inlet_C,T_field_C,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_xz_MPa,sigma_yz_MPa,damage_index_D
2.7294,0.2659,0.00966,4441.08,0.208,0.879,751.6,754.09,24.321,26.323,-3.164,1.44,0.156,-0.158,0.00249
0.2153,3.8979,0.11477,6511.95,0.838,0.801,670.8,691.75,29.419,29.657,-4.514,-0.771,0.047,0.234,0.04614
0.8814,0.2407,0.28543,5914.94,0.35,0.785,730.7,758.86,27.618,24.749,-5.809,1.663,0.911,0.039,0.00552
0.7375,3.2997,0.22967,4100.28,0.111,0.783,824.7,847.43,34.147,27.592,-5.57,-1.524,-0.126,-0.41,0.00043
0.7036,2.4498,0.25847,4508.4,0.375,0.26,752.4,781.12,30.194,28.451,-4.677,-0.057,0.138,0.008,0.00513
3.2484,0.2294,0.26069,1893.3,0.94,0.36,753.3,792.58,39.665,35.324,-4.593,0.828,0.392,-0.075,0.017
3.6934,1.9774,0.07473,6532.71,0.248,0.281,766.4,774.48,28.922,23.915,-4.935,0.718,-0.337,-0.461,0.00516
1.1063,1.2005,0.08939,3580.1,0.584,0.634,691.6,702.47,27.501,28.074,-3.82,-0.042,-0.511,-0.68,0.01378
3.279,3.5891,0.21498,7046.03,0.867,0.646,733.1,766.79,38.338,33.322,-4.747,-0.868,0.442,-0.327,0.05342
3.5596,1.5876,0.29367,7305.43,0.326,0.773,757.9,790.67,34.455,24.987,-4.984,-0.288,0.756,-0.054,0.0062
2.0519,2.1732,0.21411,2376.69,0.67,0.411,700.7,727.34,33.462,26.654,-4.83,-1.064,0.24,0.171,0.01138
0.9799,1.9004,0.17951,2362.7,0.307,0.87,736.1,755.31,27.457,23.624,-3.334,-0.384,-0.222,0.469,0.00294
3.297,3.7784,0.21598,5219.55,0.849,0.531,831.7,865.2,47.83,37.054,-5.051,-0.99,0.227,-0.119,0.03808
0.8551,0.9242,0.11383,6299.38,0.176,0.165,803.0,814.28,29.788,25.163,-4.251,0.614,-0.164,0.089,0.00419
2.9659,2.9281,0.27403,2516.28,0.314,0.145,822.0,850.89,38.347,24.989,-5.419,-0.663,0.592,0.552,0.00223
2.5198,1.8639,0.17469,6903.64,0.682,0.752,730.2,752.72,33.029,25.976,-4.191,0.001,0.781,0.11,0.03204
3.7096,2.467,0.02451,6257.77,0.322,0.32,688.9,691.99,24.881,20.453,-3.129,-0.569,-0.41,-0.307,0.00427
0.9276,1.8476,0.04814,3073.52,0.198,0.791,663.8,667.83,21.03,20.13,-5.812,1.096,-0.125,-0.613,0.00167
3.1965,1.5099,0.24926,6273.65,0.209,0.771,771.6,802.88,32.827,24.389,-6.201,0.541,0.641,-0.265,0.0033
2.0727,0.3086,0.08329,5715.89,0.688,0.416,707.6,721.11,31.977,27.722,-2.916,1.951,-0.192,-0.211,0.02891
0.9262,0.7652,0.08792,6845.78,0.097,0.601,662.6,671.17,18.404,17.814,-5.709,0.427,-0.339,0.188,0.00128
0.6636,3.5588,0.29305,7053.33,0.11,0.378,761.5,790.59,28.171,22.605,-5.359,-1.187,0.249,0.335,0.00057
1.9912,0.1661,0.21811,6982.64,0.428,0.871,755.4,779.59,33.369,27.657,-4.176,1.911,-0.366,-0.44,0.01349
2.3309,0.5816,0.18663,6445.3,0.258,0.174,829.5,848.04,33.21,31.627,-4.976,1.974,0.084,-0.018,0.00532
0.7374,1.0383,0.15637,2784.06,0.174,0.406,600.6,614.52,16.813,15.729,-4.809,0.348,0.062,-0.219,0.00246
0.0596,0.1463,0.08593,1313.28,0.037,0.515,616.8,626.99,16.554,13.152,-5.315,0.313,-0.123,-0.121,0.0
1.8845,1.5017,0.16893,4775.82,0.607,0.453,700.9,723.5,30.98,23.642,-4.57,0.267,-0.218,-0.303,0.0182
2.913,3.221,0.06062,7396.23,0.2,0.407,760.5,765.56,29.66,22.427,-4.469,-0.083,-0.086,0.272,0.00299
3.6744,1.8975,0.11025,1579.3,0.497,0.869,620.3,632.24,23.618,22.972,-4.999,-0.372,-0.362,-0.24,0.00611
2.5021,3.5794,0.28748,6551.19,0.747,0.645,615.7,652.86,31.255,26.09,-4.485,-1.11,0.334,0.413,0.03541
3.6685,3.5508,0.174,967.42,0.565,0.152,825.8,847.97,37.868,30.982,-5.679,-0.38,0.121,0.015,0.00345
3.4588,0.1602,0.02236,7343.11,0.752,0.26,728.8,743.03,36.735,27.82,-4.354,1.109,-0.672,0.381,0.04223
0.8726,0.0887,0.08477,6383.27,0.421,0.208,674.4,688.12,26.845,21.483,-1.733,1.854,0.041,-0.782,0.0112
3.4645,2.9236,0.14467,3996.61,0.581,0.123,791.9,811.63,34.87,31.25,-2.844,-0.391,-0.675,0.462,0.01449
2.923,0.1731,0.18303,5952.24,0.4,0.317,838.3,859.85,36.617,29.027,-5.582,1.221,0.281,-0.069,0.01045
1.1115,0.914,0.14926,1928.5,0.307,0.898,707.2,724.15,30.148,24.068,-2.858,1.499,0.361,-0.712,0.00214
3.1882,1.1338,0.23518,2605.95,0.947,0.146,623.3,661.31,30.795,29.938,-1.585,0.532,0.226,0.012,0.02307
3.4609,2.5721,0.06968,2321.94,0.929,0.852,706.9,727.67,35.767,28.922,-2.272,0.338,-0.675,-0.198,0.0202
1.1978,1.1231,0.17962,4233.73,0.636,0.722,715.4,741.78,31.337,28.207,-4.085,1.57,-0.12,-0.376,0.01792
2.1082,2.0045,0.22424,2623.44,0.927,0.744,779.5,811.4,43.721,35.761,-4.098,-0.765,0.307,0.031,0.02185
0.2859,1.3811,0.18809,4099.88,0.73,0.818,809.5,834.36,41.492,37.831,-5.229,0.522,0.484,-0.21,0.02196
2.333,2.9653,0.01672,6544.1,0.833,0.293,778.2,792.54,38.424,36.389,-3.093,-1.716,-1.111,-0.225,0.04557
0.9516,2.6578,0.18123,3872.83,0.055,0.23,697.5,713.25,22.475,20.834,-3.933,-1.416,-0.144,0.231,0.0
3.0599,2.7491,0.28591,6267.17,0.101,0.615,753.6,780.53,28.086,23.882,-6.354,-0.236,-0.276,-0.204,0.0
