x_cm,y_cm,z_cm,damage_index,is_cracked
0.0,0.0,0.0,0.0837,0
0.0,0.0,0.102,0.093,0
0.0,0.0,0.204,0.101,0
0.0,0.0,0.306,0.1041,0
0.0,0.0,0.408,0.1072,0
0.0,0.0,0.51,0.0968,0
0.0,0.0,0.612,0.0984,0
0.0,0.0,0.714,0.108,0
0.0,0.0,0.816,0.1047,0
0.0,0.0,0.918,0.1617,1
0.0,0.0,1.02,0.294,1
0.0,0.0,1.122,0.1339,0
0.0,0.0,1.224,0.1117,0
0.0,0.0,1.327,0.0908,0
0.0,0.0,1.429,0.1009,0
0.0,0.0,1.531,0.0883,0
0.0,0.0,1.633,0.102,0
0.0,0.0,1.735,0.0841,0
0.0,0.0,1.837,0.1048,0
0.0,0.0,1.939,0.1942,1
0.0,0.0,2.041,0.2411,1
0.0,0.0,2.143,0.1289,0
0.0,0.0,2.245,0.1056,0
0.0,0.0,2.347,0.1035,0
0.0,0.0,2.449,0.1048,0
0.0,0.0,2.551,0.1,0
0.0,0.0,2.653,0.1069,0
0.0,0.0,2.755,0.1136,0
0.0,0.0,2.857,0.0879,0
0.0,0.0,2.959,0.2383,1
0.0,0.0,3.061,0.1853,1
0.0,0.0,3.163,0.0983,0
0.0,0.0,3.265,0.1021,0
0.0,0.0,3.367,0.1027,0
0.0,0.0,3.469,0.0887,0
0.0,0.0,3.571,0.1195,0
0.0,0.0,3.673,0.097,0
0.0,0.0,3.776,0.1008,0
0.0,0.0,3.878,0.1173,0
0.0,0.0,3.98,0.2959,1
0.0,0.0,4.082,0.1497,0
0.0,0.0,4.184,0.1047,0
0.0,0.0,4.286,0.0958,0
0.0,0.0,4.388,0.1086,0
0.0,0.0,4.49,0.1119,0
0.0,0.0,4.592,0.1295,0
0.0,0.0,4.694,0.107,0
0.0,0.0,4.796,0.1,0
0.0,0.0,4.898,0.0943,0
0.0,0.0,5.0,0.1056,0
0.0,0.103,0.0,0.0789,0
0.0,0.103,0.102,0.1006,0
0.0,0.103,0.204,0.125,0
0.0,0.103,0.306,0.1103,0
0.0,0.103,0.408,0.0979,0
0.0,0.103,0.51,0.1042,0
0.0,0.103,0.612,0.0961,0
0.0,0.103,0.714,0.0955,0
0.0,0.103,0.816,0.1183,0
0.0,0.103,0.918,0.1613,1
0.0,0.103,1.02,0.2883,1
0.0,0.103,1.122,0.1221,0
0.0,0.103,1.224,0.1087,0
0.0,0.103,1.327,0.0963,0
0.0,0.103,1.429,0.0775,0
0.0,0.103,1.531,0.089,0
0.0,0.103,1.633,0.1141,0
0.0,0.103,1.735,0.1218,0
0.0,0.103,1.837,0.0917,0
0.0,0.103,1.939,0.1771,1
0.0,0.103,2.041,0.2235,1
0.0,0.103,2.143,0.1248,0
0.0,0.103,2.245,0.0994,0
0.0,0.103,2.347,0.1139,0
0.0,0.103,2.449,0.0885,0
0.0,0.103,2.551,0.0995,0
0.0,0.103,2.653,0.0991,0
0.0,0.103,2.755,0.115,0
0.0,0.103,2.857,0.1097,0
0.0,0.103,2.959,0.2366,1
0.0,0.103,3.061,0.1933,1
0.0,0.103,3.163,0.1127,0
0.0,0.103,3.265,0.1113,0
0.0,0.103,3.367,0.1052,0
0.0,0.103,3.469,0.107,0
0.0,0.103,3.571,0.1074,0
0.0,0.103,3.673,0.0945,0
0.0,0.103,3.776,0.1126,0
0.0,0.103,3.878,0.1253,0
0.0,0.103,3.98,0.2803,1
0.0,0.103,4.082,0.1593,1
0.0,0.103,4.184,0.1061,0
0.0,0.103,4.286,0.1129,0
0.0,0.103,4.388,0.0783,0
0.0,0.103,4.49,0.0873,0
0.0,0.103,4.592,0.116,0
0.0,0.103,4.694,0.1188,0
0.0,0.103,4.796,0.1096,0
0.0,0.103,4.898,0.0919,0
0.0,0.103,5.0,0.0921,0
0.0,0.205,0.0,0.0873,0
0.0,0.205,0.102,0.0969,0
0.0,0.205,0.204,0.0933,0
0.0,0.205,0.306,0.1001,0
0.0,0.205,0.408,0.1081,0
0.0,0.205,0.51,0.1003,0
0.0,0.205,0.612,0.1112,0
0.0,0.205,0.714,0.1038,0
0.0,0.205,0.816,0.0941,0
0.0,0.205,0.918,0.1501,1
0.0,0.205,1.02,0.2826,1
0.0,0.205,1.122,0.1353,0
0.0,0.205,1.224,0.1008,0
0.0,0.205,1.327,0.0966,0
0.0,0.205,1.429,0.0959,0
0.0,0.205,1.531,0.1268,0
0.0,0.205,1.633,0.1029,0
0.0,0.205,1.735,0.1207,0
0.0,0.205,1.837,0.1182,0
0.0,0.205,1.939,0.1958,1
0.0,0.205,2.041,0.2343,1
0.0,0.205,2.143,0.1232,0
0.0,0.205,2.245,0.1023,0
0.0,0.205,2.347,0.0949,0
0.0,0.205,2.449,0.0915,0
0.0,0.205,2.551,0.1011,0
0.0,0.205,2.653,0.1221,0
0.0,0.205,2.755,0.1073,0
0.0,0.205,2.857,0.1213,0
0.0,0.205,2.959,0.2305,1
0.0,0.205,3.061,0.1763,1
0.0,0.205,3.163,0.1303,0
0.0,0.205,3.265,0.1134,0
0.0,0.205,3.367,0.1065,0
0.0,0.205,3.469,0.1111,0
0.0,0.205,3.571,0.1212,0
0.0,0.205,3.673,0.1096,0
0.0,0.205,3.776,0.0936,0
0.0,0.205,3.878,0.1319,0
0.0,0.205,3.98,0.3105,1
0.0,0.205,4.082,0.1616,1
0.0,0.205,4.184,0.0991,0
0.0,0.205,4.286,0.1019,0
0.0,0.205,4.388,0.106,0
0.0,0.205,4.49,0.0988,0
0.0,0.205,4.592,0.0872,0
0.0,0.205,4.694,0.0962,0
0.0,0.205,4.796,0.0993,0
0.0,0.205,4.898,0.1079,0
0.0,0.205,5.0,0.1048,0
0.0,0.308,0.0,0.1072,0
0.0,0.308,0.102,0.0866,0
0.0,0.308,0.204,0.1031,0
0.0,0.308,0.306,0.1104,0
0.0,0.308,0.408,0.1018,0
0.0,0.308,0.51,0.0915,0
0.0,0.308,0.612,0.0888,0
0.0,0.308,0.714,0.1151,0
0.0,0.308,0.816,0.1071,0
0.0,0.308,0.918,0.1495,0
0.0,0.308,1.02,0.2933,1
0.0,0.308,1.122,0.1268,0
0.0,0.308,1.224,0.1097,0
0.0,0.308,1.327,0.1015,0
0.0,0.308,1.429,0.1034,0
0.0,0.308,1.531,0.1079,0
0.0,0.308,1.633,0.1029,0
0.0,0.308,1.735,0.1006,0
0.0,0.308,1.837,0.1131,0
0.0,0.308,1.939,0.1847,1
0.0,0.308,2.041,0.2331,1
0.0,0.308,2.143,0.1203,0
0.0,0.308,2.245,0.0998,0
0.0,0.308,2.347,0.1059,0
0.0,0.308,2.449,0.0999,0
0.0,0.308,2.551,0.0997,0
0.0,0.308,2.653,0.0928,0
0.0,0.308,2.755,0.1163,0
0.0,0.308,2.857,0.1078,0
0.0,0.308,2.959,0.2359,1
0.0,0.308,3.061,0.1807,1
0.0,0.308,3.163,0.1164,0
0.0,0.308,3.265,0.0982,0
0.0,0.308,3.367,0.0788,0
0.0,0.308,3.469,0.0803,0
0.0,0.308,3.571,0.0957,0
0.0,0.308,3.673,0.0906,0
0.0,0.308,3.776,0.0974,0
0.0,0.308,3.878,0.1183,0
0.0,0.308,3.98,0.3048,1
0.0,0.308,4.082,0.1621,1
0.0,0.308,4.184,0.1098,0
0.0,0.308,4.286,0.101,0
0.0,0.308,4.388,0.0967,0
0.0,0.308,4.49,0.098,0
0.0,0.308,4.592,0.0888,0
0.0,0.308,4.694,0.0975,0
0.0,0.308,4.796,0.1063,0
0.0,0.308,4.898,0.104,0
0.0,0.308,5.0,0.1076,0
0.0,0.41,0.0,0.0869,0
0.0,0.41,0.102,0.1,0
0.0,0.41,0.204,0.1046,0
0.0,0.41,0.306,0.1025,0
0.0,0.41,0.408,0.1071,0
0.0,0.41,0.51,0.0972,0
0.0,0.41,0.612,0.098,0
0.0,0.41,0.714,0.0957,0
0.0,0.41,0.816,0.0986,0
0.0,0.41,0.918,0.1507,1
0.0,0.41,1.02,0.313,1
0.0,0.41,1.122,0.1291,0
0.0,0.41,1.224,0.1042,0
0.0,0.41,1.327,0.1127,0
0.0,0.41,1.429,0.0896,0
0.0,0.41,1.531,0.1175,0
0.0,0.41,1.633,0.1054,0
0.0,0.41,1.735,0.1152,0
0.0,0.41,1.837,0.1142,0
0.0,0.41,1.939,0.1928,1
0.0,0.41,2.041,0.2455,1
0.0,0.41,2.143,0.1171,0
0.0,0.41,2.245,0.107,0
0.0,0.41,2.347,0.1056,0
0.0,0.41,2.449,0.0993,0
0.0,0.41,2.551,0.0966,0
0.0,0.41,2.653,0.1071,0
0.0,0.41,2.755,0.1132,0
0.0,0.41,2.857,0.1203,0
0.0,0.41,2.959,0.2241,1
0.0,0.41,3.061,0.1821,1
0.0,0.41,3.163,0.1098,0
0.0,0.41,3.265,0.0921,0
0.0,0.41,3.367,0.1055,0
0.0,0.41,3.469,0.1032,0
