timestep,time_hours,cycle,mode,tc_id,cell,x_cm,y_cm,z_cm,temperature_C
0,0,0,SOEC,1,1,0.5,0.5,0.0,693.66
0,0,0,SOEC,2,1,2.0,2.0,0.0,693.57
0,0,0,SOEC,3,1,3.5,3.5,0.0,693.13
0,0,0,SOEC,4,1,0.5,0.5,0.3,693.0
0,0,0,SOEC,5,1,2.0,2.0,0.3,699.16
0,0,0,SOEC,6,1,3.5,3.5,0.3,698.12
0,0,0,SOEC,7,2,0.5,0.5,1.0,705.97
0,0,0,SOEC,8,2,2.0,2.0,1.0,705.07
0,0,0,SOEC,9,2,3.5,3.5,1.0,704.33
0,0,0,SOEC,10,2,0.5,0.5,1.3,710.52
0,0,0,SOEC,11,2,2.0,2.0,1.3,707.3
0,0,0,SOEC,12,2,3.5,3.5,1.3,707.62
0,0,0,SOEC,13,3,0.5,0.5,2.0,716.54
0,0,0,SOEC,14,3,2.0,2.0,2.0,711.94
0,0,0,SOEC,15,3,3.5,3.5,2.0,712.32
0,0,0,SOEC,16,3,0.5,0.5,2.3,716.99
0,0,0,SOEC,17,3,2.0,2.0,2.3,717.51
0,0,0,SOEC,18,3,3.5,3.5,2.3,718.48
0,0,0,SOEC,19,4,0.5,0.5,3.0,726.26
0,0,0,SOEC,20,4,2.0,2.0,3.0,721.18
0,0,0,SOEC,21,4,3.5,3.5,3.0,723.08
0,0,0,SOEC,22,4,0.5,0.5,3.3,726.47
0,0,0,SOEC,23,4,2.0,2.0,3.3,727.74
0,0,0,SOEC,24,4,3.5,3.5,3.3,729.43
0,0,0,SOEC,25,5,0.5,0.5,4.0,733.9
0,0,0,SOEC,26,5,2.0,2.0,4.0,734.95
0,0,0,SOEC,27,5,3.5,3.5,4.0,731.67
0,0,0,SOEC,28,5,0.5,0.5,4.3,735.44
0,0,0,SOEC,29,5,2.0,2.0,4.3,736.09
0,0,0,SOEC,30,5,3.5,3.5,4.3,740.16
1,8,0,SOFC,1,1,0.5,0.5,0.0,706.75
1,8,0,SOFC,2,1,2.0,2.0,0.0,711.46
1,8,0,SOFC,3,1,3.5,3.5,0.0,710.88
1,8,0,SOFC,4,1,0.5,0.5,0.3,715.65
1,8,0,SOFC,5,1,2.0,2.0,0.3,712.19
1,8,0,SOFC,6,1,3.5,3.5,0.3,712.75
1,8,0,SOFC,7,2,0.5,0.5,1.0,723.52
1,8,0,SOFC,8,2,2.0,2.0,1.0,717.25
1,8,0,SOFC,9,2,3.5,3.5,1.0,719.42
1,8,0,SOFC,10,2,0.5,0.5,1.3,722.9
1,8,0,SOFC,11,2,2.0,2.0,1.3,722.78
1,8,0,SOFC,12,2,3.5,3.5,1.3,721.13
1,8,0,SOFC,13,3,0.5,0.5,2.0,727.04
1,8,0,SOFC,14,3,2.0,2.0,2.0,730.89
1,8,0,SOFC,15,3,3.5,3.5,2.0,729.05
