#,ALPX [1/K]
Temperature_C,cte_1k
20.0,9.340434342915814e-06
40.0,9.357533742409215e-06
60.0,9.395552622888301e-06
80.0,9.54981370394332e-06
100.0,1.0074862595267496e-05
120.0,1.0612796939821104e-05
140.0,1.0807318496164506e-05
160.0,1.0913235696966675e-05
180.0,1.1015790912451653e-05
200.0,1.1120236783225768e-05
220.0,1.1228925210385491e-05
240.0,1.1345418249007267e-05
260.0,1.1472108805428612e-05
280.0,1.1611142841080018e-05
300.0,1.1762832986746049e-05
320.0,1.1927851746620272e-05
340.0,1.2109591344367603e-05
360.0,1.2311561845287301e-05
380.0,1.2536351223753469e-05
400.0,1.2785556416357412e-05
420.0,1.305860864635096e-05
440.0,1.335025863004311e-05
460.0,1.3649092051693656e-05
480.0,1.3940606885391959e-05
500.0,1.4213335601630019e-05
520.0,1.4461898051753341e-05
540.0,1.468545217626256e-05
560.0,1.4885030196698006e-05
580.0,1.5062055153472383e-05
600.0,1.5217945041477706e-05
620.0,1.5354136950093514e-05
640.0,1.5472156774957637e-05
660.0,1.5573632085777577e-05
680.0,1.566025505040148e-05
700.0,1.5733723954644253e-05
720.0,1.5795685244234203e-05
740.0,1.584768742137532e-05
760.0,1.5891150311938424e-05
780.0,1.592734881193178e-05
800.0,1.595740830016486e-05
