#,EX [Pa]
Temperature_C,elastic_modulus_pa
20.0,57334829543.62044
40.0,57250904932.26727
60.0,57142703687.4595
80.0,57002783261.68662
100.0,56821339025.94692
120.0,56585660218.983795
140.0,56279883816.36982
160.0,55885648039.091324
180.0,55384396258.537025
200.0,54761296481.93974
220.0,54008481877.711845
240.0,53123743909.77733
260.0,52104175018.66867
280.0,50940414135.8694
300.0,49617080158.12412
320.0,48118658438.97096
340.0,46436512888.654686
360.0,44573998862.10087
380.0,42548694590.25326
400.0,40391554163.11576
420.0,38143001940.87661
440.0,35846431324.023506
460.0,33540326124.523125
480.0,31250982620.22532
500.0,28988272622.032406
520.0,26746880540.632534
540.0,24514665010.026245
560.0,22287466196.56271
580.0,20085225732.435432
600.0,17959735447.696495
620.0,15985544345.913593
640.0,14236105783.194077
660.0,12759224839.769653
680.0,11566013431.433186
700.0,10635886675.813566
720.0,9929883784.168568
740.0,9403603799.761538
760.0,9015592891.645657
780.0,8731117935.295643
800.0,8522895417.510077
