#,KXX [W/m/K]
Temperature_C,thermal_conductivity_wmk
20.0,1.3792186511503226
40.0,1.37101064953174
60.0,1.360794877977939
80.0,1.338957813841723
100.0,1.2795926263290631
120.0,1.2192498137572862
140.0,1.1956306237903895
160.0,1.182451028546062
180.0,1.1702723551362004
200.0,1.1580068789336466
220.0,1.145442691817823
240.0,1.1324257330283267
260.0,1.1188737575837528
280.0,1.104695415024437
300.0,1.0898556300963174
320.0,1.0742811253858995
340.0,1.0577655595660376
360.0,1.040090911304578
380.0,1.0210701622877218
400.0,1.0005653229523066
420.0,0.9786013894389078
440.0,0.9555796425960972
460.0,0.9323829807006511
480.0,0.9100928474676017
500.0,0.8894822984969966
520.0,0.8708021266727953
540.0,0.8539515371402906
560.0,0.8387180716102748
580.0,0.8249008533725377
600.0,0.8123367513273653
620.0,0.8008908148778993
640.0,0.790443491059203
660.0,0.780883269944999
680.0,0.7721042532719147
700.0,0.7640063923761489
720.0,0.7564966462123717
740.0,0.7494900989396908
760.0,0.742910645593313
780.0,0.7366911744630291
800.0,0.7307733218020485
