#,DENS [kg/m^3]
Temperature_C,density_kgm3
20.0,2032.5724137848495
40.0,2032.3954616569958
60.0,2031.3225525750945
80.0,2024.8051720637704
100.0,2000.6732915373054
120.0,1975.2836725739512
140.0,1964.6532355509273
160.0,1956.8398603370335
180.0,1949.8375408145118
200.0,1945.345497922547
220.0,1943.1300035417019
240.0,1942.016143787503
260.0,1941.0658910818029
280.0,1939.8272574034045
300.0,1938.627242004754
320.0,1937.8606494526746
340.0,1937.3420847554946
360.0,1936.7646905090141
380.0,1935.8962067722587
400.0,1934.545487467183
420.0,1932.58966725831
440.0,1930.0878473684268
460.0,1927.3596916462698
480.0,1924.858474085958
500.0,1922.904814111919
520.0,1921.5612397723073
540.0,1920.7161386859834
560.0,1920.2140606867367
580.0,1919.9258306891836
600.0,1919.7636144903984
620.0,1919.6733367080399
640.0,1919.6234078741752
660.0,1919.5958898218623
680.0,1919.5807523187907
700.0,1919.5724340264596
720.0,1919.5678656368468
740.0,1919.565357482621
760.0,1919.5639806864513
780.0,1919.5632249967382
800.0,1919.5628102389355
