x_norm,y_norm,sigma_MPa
0.783417,0.204148,-4.298201
0.379956,0.373339,-0.730038
0.747311,0.076148,-3.527288
0.997481,0.489736,-0.479705
0.518006,0.006820,-15.059745
0.770942,0.165505,1.448015
0.887699,0.536407,4.064981
0.190523,0.677522,-0.947674
0.262440,0.184767,-7.856422
0.510191,0.248509,1.778591
0.470873,0.157442,-3.778411
0.655813,0.346487,-4.258755
0.892953,0.265675,6.776745
0.037017,0.712938,-0.246921
0.914073,0.791767,3.513047
0.187357,0.617758,-8.501613
0.022304,0.364918,-1.934287
0.214905,0.202392,-4.883060
0.562303,0.007307,-3.707812
0.382151,0.031524,2.500373
0.614394,0.707147,-5.514700
0.807620,0.620256,-8.816717
0.331914,0.381764,-4.465412
0.488187,0.146274,-0.517765
0.916790,0.571294,10.750792
0.628484,0.283767,2.293666
0.984242,0.802344,-3.661068
0.898366,0.054046,-3.187366
0.561965,0.400526,-0.526632
0.259908,0.413502,0.316946
0.737280,0.565587,1.481962
0.754780,0.542604,-5.182010
0.437397,0.591131,2.489132
0.621415,0.556084,-2.833195
0.232997,0.683602,-7.555076
0.274909,0.105165,2.005328
0.690406,0.619926,13.497695
0.431588,0.479522,3.079106
0.067150,0.201687,3.884836
0.541516,0.618711,-0.851071
0.491625,0.675552,1.696438
0.980823,0.092429,1.953952
0.148011,0.853872,1.182905
0.109021,0.550793,2.335977
0.286910,0.876188,5.309064
0.961030,0.635867,-5.043222
0.971733,0.855824,-8.465849
0.785680,0.405648,-5.977345
0.143583,0.228249,14.076449
0.500788,0.957800,-4.392038
0.339020,0.177390,6.836388
0.916168,0.997362,-4.530500
0.000390,0.670790,3.356481
0.845867,0.162325,-5.585869
0.612303,0.717676,5.605209
0.191643,0.347229,9.196548
0.434109,0.242631,-8.736571
0.206007,0.508930,-5.896918
0.768619,0.313634,-8.749607
0.815459,0.894816,-6.816711
0.904495,0.109468,-6.963159
0.422797,0.484662,-3.560841
0.980766,0.505156,5.259734
0.201863,0.201773,-4.404658
0.649119,0.117037,-2.253484
0.276779,0.424458,-1.047614
0.138088,0.747032,0.684825
0.131388,0.718083,3.565340
0.092582,0.242076,-9.055659
0.981276,0.894961,7.405727
0.877318,0.686073,-4.181071
0.700619,0.168297,5.094776
0.491490,0.156088,5.307940
0.795216,0.955115,-6.156122
0.585457,0.918430,-10.763213
0.635298,0.272665,-0.903724
0.918336,0.754431,2.219641
0.695369,0.484360,-14.118602
0.724557,0.748517,-4.072707
0.856216,0.481208,0.402303
0.843033,0.430523,-5.191950
0.815517,0.755069,4.279095
0.563366,0.722720,-3.245820
0.003590,0.713569,-3.504188
0.373802,0.325476,-1.745305
0.826705,0.403204,-2.523129
0.082918,0.761364,-6.749754
0.145555,0.129109,-7.629106
0.490078,0.665006,-1.027198
0.577021,0.241680,-6.267098
0.112500,0.209502,-3.930810
0.326045,0.765484,-1.753489
0.467099,0.995078,8.911724
0.135561,0.902299,0.559678
0.465499,0.906303,-3.488317
0.008254,0.233428,4.786933
0.112313,0.615097,9.185818
0.857137,0.009771,-5.415610
0.521066,0.078482,-5.115757
0.577828,0.110201,-1.169915
0.337308,0.017037,-0.732586
0.554833,0.926386,-4.887636
0.966114,0.252024,7.872906
0.148958,0.410016,-8.279852
0.325855,0.757243,-4.569855
0.466850,0.469174,-0.243883
0.294165,0.518878,3.316936
0.520632,0.391218,2.456945
0.021584,0.917496,4.865625
0.027142,0.301470,10.482168
0.670679,0.621676,-2.247731
0.332964,0.650582,0.408669
0.572257,0.032147,-4.920949
0.598665,0.554809,-0.223325
0.032104,0.885031,-3.062163
0.534738,0.572065,4.444324
0.310378,0.292069,2.841533
0.290131,0.836471,-6.949760
0.621885,0.438028,1.742010
0.693890,0.231597,-5.831335
0.425146,0.659991,4.138185
0.995359,0.188828,4.835255
0.374265,0.807071,0.523935
0.745656,0.390038,2.326856
0.283301,0.053048,2.821517
0.364129,0.415589,-2.082623
0.874842,0.193917,1.677262
0.059597,0.341635,2.124768
0.932200,0.513876,-1.481804
0.155815,0.399841,-9.492340
0.901916,0.735262,-1.469255
0.403086,0.296012,7.312322
0.879372,0.424379,-1.954390
0.287966,0.908316,-12.378692
0.898057,0.928506,-0.416207
0.817613,0.043680,0.073039
0.961483,0.380952,-1.291392
0.634402,0.053899,2.522062
0.130580,0.947864,8.356072
0.705684,0.220845,-2.094579
0.044054,0.855519,-10.355012
0.263259,0.507250,-0.192924
0.768681,0.948914,0.592206
0.120807,0.429891,1.659043
0.969339,0.036044,0.196608
0.739485,0.809442,0.005346
0.841102,0.141750,4.843225
0.700974,0.955826,-5.228934
0.722069,0.059761,8.248491
0.771182,0.046763,1.151921
0.634026,0.876444,0.825363
0.513696,0.540670,2.003614
