mix_type,temperature,replicate,microcrack_density,itz_degradation,void_density,void_size_avg,pore_density
rubber_10,25,1,0.15683220103644202,0.0,1.0,0.5,1000.0
rubber_10,25,2,0.16897323013546212,0.0,1.0,0.5,1000.0
rubber_10,25,3,0.15031010006203316,0.0,1.0,0.5,1000.0
rubber_10,200,1,0.17536214697981836,0.4375,1.0,0.675,1087.5
rubber_10,200,2,0.185560812765081,0.4375,1.0,0.675,1087.5
rubber_10,200,3,0.1766830846989635,0.4375,1.0,0.675,1087.5
rubber_10,400,1,0.2345928514982138,0.9375,1.0,0.875,1187.5
rubber_10,400,2,0.23576988702366902,0.9375,1.0,0.875,1187.5
rubber_10,400,3,0.20578219282447932,0.9375,1.0,0.875,1187.5
rubber_10,600,1,0.2341703075592536,1.0,1.0,1.0750000000000002,1287.5
rubber_10,600,2,0.2632472994908234,1.0,1.0,1.0750000000000002,1287.5
rubber_10,600,3,0.2452336658555303,1.0,1.0,1.0750000000000002,1287.5
rubber_10,800,1,0.23561172917845813,1.0,1.0,1.275,1387.5
rubber_10,800,2,0.24817847936998455,1.0,1.0,1.275,1387.5
rubber_10,800,3,0.22018546946582643,1.0,1.0,1.275,1387.5
