mix_type,temperature,replicate,microcrack_density,itz_degradation,void_density,void_size_avg,pore_density
rubber_20,25,1,0.21753347738490145,0.0,2.0,0.5,1000.0
rubber_20,25,2,0.22913949732357297,0.0,2.0,0.5,1000.0
rubber_20,25,3,0.26996220741458765,0.0,2.0,0.5,1000.0
rubber_20,200,1,0.2619142928870563,0.4375,2.0,0.675,1087.5
rubber_20,200,2,0.2360623609906563,0.4375,2.0,0.675,1087.5
rubber_20,200,3,0.26158895233405577,0.4375,2.0,0.675,1087.5
rubber_20,400,1,0.3592561214677528,0.9375,2.0,0.875,1187.5
rubber_20,400,2,0.34657392910060003,0.9375,2.0,0.875,1187.5
rubber_20,400,3,0.3420164783477905,0.9375,2.0,0.875,1187.5
rubber_20,600,1,0.388143355354766,1.0,2.0,1.0750000000000002,1287.5
rubber_20,600,2,0.3534291463154438,1.0,2.0,1.0750000000000002,1287.5
rubber_20,600,3,0.3985278090361892,1.0,2.0,1.0750000000000002,1287.5
rubber_20,800,1,0.37908563497511977,1.0,2.0,1.275,1387.5
rubber_20,800,2,0.41033827007403567,1.0,2.0,1.275,1387.5
rubber_20,800,3,0.4596772171572484,1.0,2.0,1.275,1387.5
