mix_type,temperature,replicate,microcrack_density,itz_degradation,void_density,void_size_avg,pore_density
control,25,1,0.11553442720437278,0.0,0.0,0.5,1000.0
control,25,2,0.09647815834463497,0.0,0.0,0.5,1000.0
control,25,3,0.08735042588841149,0.0,0.0,0.5,1000.0
control,200,1,0.11850335550510818,0.4375,0.0,0.675,1087.5
control,200,2,0.13184360761216227,0.4375,0.0,0.675,1087.5
control,200,3,0.12113015803318986,0.4375,0.0,0.675,1087.5
control,400,1,0.15219459942370892,0.9375,0.0,0.875,1187.5
control,400,2,0.1311966213004179,0.9375,0.0,0.875,1187.5
control,400,3,0.14619144523530897,0.9375,0.0,0.875,1187.5
control,600,1,0.19048164092305697,1.0,0.0,1.0750000000000002,1287.5
control,600,2,0.15978509981316869,1.0,0.0,1.0750000000000002,1287.5
control,600,3,0.15444022448846473,1.0,0.0,1.0750000000000002,1287.5
control,800,1,0.2152459084416458,1.0,0.0,1.275,1387.5
control,800,2,0.15965584191437268,1.0,0.0,1.275,1387.5
control,800,3,0.14838590678956398,1.0,0.0,1.275,1387.5
