temperature_C,mass_percent
25,100.0
30,100.0
35,99.71
40,100.0
45,100.0
50,99.78
55,100.0
60,100.0
65,100.0
70,100.0
75,100.0
80,99.88
85,99.64
90,100.0
95,99.92
100,99.95
105,99.67
110,99.73
115,99.92
120,100.0
125,99.73
130,99.89
135,99.63
140,100.0
145,99.41
150,100.0
155,99.52
160,99.97
165,100.0
170,100.0
175,100.0
180,99.57
185,99.76
190,99.79
195,100.0
200,99.79
205,99.43
210,99.36
215,98.99
220,98.4
225,97.48
230,97.92
235,97.33
240,96.39
245,96.53
250,96.11
255,95.57
260,95.57
265,94.73
270,94.76
275,93.73
280,93.6
285,92.51
290,92.72
295,91.99
300,92.39
305,91.64
310,91.1
315,90.28
320,90.9
325,89.7
330,89.42
335,88.74
340,88.59
345,88.38
350,88.16
355,87.25
360,85.69
365,84.68
370,82.89
375,82.56
380,81.15
385,80.6
390,79.12
395,77.8
400,76.5
405,75.19
410,74.51
415,73.71
420,72.11
425,70.97
430,69.85
435,69.09
440,67.41
445,66.6
450,65.29
455,63.99
460,63.07
465,62.04
470,60.35
475,59.8
480,58.84
485,57.59
490,56.06
495,55.34
500,54.09
505,52.77
510,52.15
515,51.39
520,49.66
525,48.56
530,47.68
535,46.11
540,45.07
545,44.42
550,42.84
555,42.76
560,42.84
565,41.96
570,41.81
575,41.72
580,41.04
585,40.75
590,40.77
595,40.18
600,39.7
605,39.96
610,39.39
615,39.25
620,38.32
625,39.31
630,38.29
635,38.34
640,38.03
645,37.18
650,37.5
655,36.58
660,37.13
665,36.64
670,36.65
675,36.46
680,35.98
685,35.83
690,35.44
695,35.88
700,34.4
705,34.8
710,33.98
715,34.55
720,33.91
725,32.8
730,33.76
735,33.7
740,33.16
745,32.61
750,32.29
755,31.86
760,32.08
765,32.23
770,31.63
775,30.88
780,30.86
785,31.34
790,30.51
795,29.83
800,29.36
