time_s,temperature_c,voltage_v
0.000000,32.393164,0.114119
10.000000,33.530420,0.105961
20.000000,34.667677,0.110277
30.000000,35.804933,0.117683
40.000000,36.942190,0.171945
50.000000,38.079446,0.178054
60.000000,39.216703,0.186559
70.000000,40.353959,0.189837
80.000000,41.491216,0.206729
90.000000,42.628472,0.203321
100.000000,43.765728,0.235158
110.000000,44.902985,0.225388
120.000000,46.040241,0.267266
130.000000,47.177498,0.281143
140.000000,48.314754,0.296884
150.000000,49.452011,0.284786
160.000000,50.589267,0.288854
170.000000,51.726524,0.316646
180.000000,52.863780,0.351258
190.000000,54.001037,0.353928
200.000000,55.138293,0.381523
210.000000,56.275549,0.375863
220.000000,57.412806,0.387239
230.000000,58.550062,0.431121
240.000000,59.687319,0.400020
250.000000,60.824575,0.415775
260.000000,61.961832,0.451995
270.000000,63.099088,0.467884
280.000000,64.236345,0.469304
290.000000,65.373601,0.490150
300.000000,66.510858,0.496435
310.000000,67.648114,0.523454
320.000000,68.785371,0.549996
330.000000,69.922627,0.559503
340.000000,71.059883,0.561687
350.000000,72.197140,0.564875
360.000000,73.334396,0.606853
370.000000,74.471653,0.590161
380.000000,75.608909,0.614210
390.000000,76.746166,0.642109
400.000000,77.883422,0.644337
410.000000,79.020679,0.640111
420.000000,80.157935,0.674581
430.000000,81.295192,0.679351
440.000000,82.432448,0.711566
450.000000,83.569705,0.707385
460.000000,82.432448,0.715354
470.000000,81.295192,0.755107
480.000000,80.157935,0.741659
490.000000,79.020679,0.747240
500.000000,77.883422,0.792929
510.000000,76.746166,0.806644
520.000000,75.608909,0.773654
530.000000,74.471653,0.781012
540.000000,73.334396,0.841484
550.000000,72.197140,0.856297
560.000000,71.059883,0.839735
570.000000,69.922627,0.845283
580.000000,68.785371,0.884402
590.000000,67.648114,0.913073
600.000000,66.510858,0.882785
610.000000,65.373601,0.910203
620.000000,64.236345,0.936428
630.000000,63.099088,0.923249
640.000000,61.961832,0.948225
650.000000,60.824575,0.945242
660.000000,59.687319,0.978782
670.000000,58.550062,0.977128
680.000000,57.412806,0.981506
690.000000,56.275549,1.013349
700.000000,55.138293,1.012345
710.000000,54.001037,1.023798
720.000000,52.863780,1.039036
730.000000,51.726524,1.068395
740.000000,50.589267,1.075738
750.000000,49.452011,1.113698
760.000000,48.314754,1.108196
770.000000,47.177498,1.111261
780.000000,46.040241,1.121282
790.000000,44.902985,1.141160
800.000000,43.765728,1.181265
810.000000,42.628472,1.162092
820.000000,41.491216,1.191249
830.000000,40.353959,1.225067
840.000000,39.216703,1.239784
850.000000,38.079446,1.231074
860.000000,36.942190,1.267231
870.000000,35.804933,1.268542
880.000000,34.667677,1.256944
890.000000,33.530420,1.262239
900.000000,32.393164,1.280203
