x_norm,y_norm,sigma_MPa
0.335101,0.362593,6.162049
0.296064,0.939720,9.017757
0.272422,0.106563,2.142982
0.233472,0.877574,12.060528
0.994366,0.613755,-2.710246
0.773697,0.194237,-18.151550
0.353048,0.458664,8.841309
0.002506,0.561613,1.279204
0.207741,0.740491,0.519062
0.026570,0.295656,5.173680
0.758134,0.726647,5.553886
0.387874,0.358539,-10.174962
0.365512,0.201816,1.303971
0.678818,0.353908,-5.090848
0.852268,0.817244,-1.930747
0.996198,0.253606,9.217833
0.394610,0.480625,-0.288157
0.533126,0.922079,-4.430247
0.935536,0.768393,1.192838
0.263453,0.695219,-0.784522
0.487778,0.441915,0.791952
0.843944,0.041344,6.969652
0.827402,0.717744,0.455666
0.694903,0.213072,-2.897210
0.759776,0.386327,-1.325795
0.939223,0.682943,-7.717329
0.099022,0.689010,11.394232
0.824598,0.755435,5.300255
0.980310,0.147930,-14.186964
0.407067,0.818165,-0.604149
0.630432,0.688359,10.019836
0.600440,0.470860,-12.356443
0.790540,0.094323,-2.653365
0.878803,0.230482,14.264267
0.513289,0.258761,3.406525
0.768182,0.956859,6.433746
0.473747,0.076864,-7.289608
0.950597,0.703842,12.562902
0.248780,0.970881,4.681920
0.311917,0.499002,11.100900
0.331919,0.787761,-7.174956
0.512784,0.314652,-3.906817
0.188162,0.638732,-6.905405
0.485481,0.043079,3.252293
0.327743,0.136973,-7.099962
0.318814,0.158811,0.967113
0.133289,0.704537,12.123691
0.873227,0.087091,6.876224
0.845363,0.394975,-4.531851
0.263499,0.229058,4.347966
0.742651,0.030438,-7.154021
0.685902,0.996201,6.611854
0.409468,0.019017,-8.762447
0.083478,0.999712,6.030041
0.166480,0.819953,8.159052
0.283133,0.352320,-9.846876
0.934300,0.591475,7.886582
0.387420,0.933389,10.930377
0.315148,0.171367,12.683359
0.494004,0.502103,11.765214
0.364275,0.539105,5.956135
0.801123,0.726917,6.137581
0.796685,0.315751,-4.194378
0.668424,0.062236,15.615731
0.088038,0.500327,1.673645
0.313022,0.665210,8.695513
0.363701,0.616660,5.916965
0.723161,0.147665,1.129168
0.594704,0.523486,-7.716672
0.359770,0.487204,6.034236
0.992648,0.869938,2.185209
0.731129,0.127203,-6.433341
0.618094,0.739051,13.197014
0.089602,0.762707,3.961583
0.138438,0.919250,-2.423244
0.627790,0.555176,-3.023925
0.614902,0.718641,11.436267
0.305053,0.108047,-2.041096
0.374165,0.352792,-1.831970
0.039530,0.259687,-14.037226
0.775689,0.194523,-0.787130
0.205628,0.445059,-3.688609
0.185356,0.708731,8.380895
0.343776,0.912460,11.596988
0.214743,0.843840,9.599739
0.923695,0.598980,-10.851881
0.960749,0.195029,3.607491
0.649702,0.971324,12.477140
0.870956,0.433983,-0.714680
0.377302,0.321131,-0.276779
0.029129,0.175030,0.719038
0.941174,0.917687,-10.187147
0.240119,0.233058,-1.917714
0.121034,0.222523,-0.221560
0.113794,0.199929,2.864998
0.028988,0.553972,1.868299
0.246081,0.456420,1.366200
0.445069,0.253508,-1.921873
0.360800,0.830698,16.377125
0.761740,0.598414,11.238384
0.519922,0.493994,7.202989
0.515681,0.151526,3.132156
0.286838,0.479804,12.815735
0.712480,0.017857,-4.988339
0.294738,0.692612,7.577648
0.730671,0.214522,7.265396
0.242590,0.112809,0.388222
0.263052,0.676054,-12.286122
0.760345,0.086542,-10.650024
0.681824,0.509483,11.351026
0.522234,0.583572,-7.441861
