building_id,material_category,quantity_unit,quantity,gwp_kgco2e
B0001,insulation_min_wool,kg,7551.96,11327.94
B0001,insulation_pir,kg,7551.96,28697.45
B0001,concrete_c30,m3,1785.12,589089.6
B0001,brick,kg,89256.0,19636.32
B0001,steel_rebar,kg,10710.72,20350.37
B0001,aluminium,kg,1785.12,14280.96
B0001,timber_glulam,kg,1785.12,214.21
B0001,glass_double,m2,74.38,2231.4
B0002,insulation_min_wool,kg,41455.08,62182.62
B0002,insulation_pir,kg,41455.08,157529.3
B0002,concrete_c30,m3,11887.36,3922828.8
B0002,brick,kg,594368.0,130760.96
B0002,steel_rebar,kg,71324.16,135515.9
B0002,aluminium,kg,11887.36,95098.88
B0002,timber_glulam,kg,11887.36,1426.48
B0002,glass_double,m2,185.74,5572.2
B0003,insulation_min_wool,kg,12629.52,18944.28
B0003,insulation_pir,kg,12629.52,47992.18
B0003,concrete_c30,m3,3226.24,1064659.2
B0003,brick,kg,161312.0,35488.64
B0003,steel_rebar,kg,19357.44,36779.14
B0003,aluminium,kg,3226.24,25809.92
B0003,timber_glulam,kg,3226.24,387.15
B0003,glass_double,m2,100.82,3024.6
B0004,insulation_min_wool,kg,17138.04,25707.06
B0004,insulation_pir,kg,17138.04,65124.55
B0004,concrete_c30,m3,4854.08,1601846.4
B0004,brick,kg,242704.0,53394.88
B0004,steel_rebar,kg,29124.48,55336.51
B0004,aluminium,kg,4854.08,38832.64
B0004,timber_glulam,kg,4854.08,582.49
B0004,glass_double,m2,86.68,2600.4
B0005,insulation_min_wool,kg,45279.84,67919.76
B0005,insulation_pir,kg,45279.84,172063.39
B0005,concrete_c30,m3,13207.68,4358534.4
B0005,brick,kg,660384.0,145284.48
B0005,steel_rebar,kg,79246.08,150567.55
B0005,aluminium,kg,13207.68,105661.44
B0005,timber_glulam,kg,13207.68,1584.92
B0005,glass_double,m2,183.44,5503.2
B0006,insulation_min_wool,kg,30823.92,46235.88
B0006,insulation_pir,kg,30823.92,117130.9
B0006,concrete_c30,m3,9044.64,2984731.2
B0006,brick,kg,452232.0,99491.04
B0006,steel_rebar,kg,54267.84,103108.9
B0006,aluminium,kg,9044.64,72357.12
B0006,timber_glulam,kg,9044.64,1085.36
B0006,glass_double,m2,125.62,3768.6
B0007,insulation_min_wool,kg,49075.32,73612.98
B0007,insulation_pir,kg,49075.32,186486.22
B0007,concrete_c30,m3,13731.84,4531507.2
B0007,brick,kg,686592.0,151050.24
B0007,steel_rebar,kg,82391.04,156542.98
B0007,aluminium,kg,13731.84,109854.72
B0007,timber_glulam,kg,13731.84,1647.82
B0007,glass_double,m2,286.08,8582.4
B0008,insulation_min_wool,kg,30292.08,45438.12
B0008,insulation_pir,kg,30292.08,115109.9
B0008,concrete_c30,m3,8680.96,2864716.8
B0008,brick,kg,434048.0,95490.56
B0008,steel_rebar,kg,52085.76,98962.94
B0008,aluminium,kg,8680.96,69447.68
B0008,timber_glulam,kg,8680.96,1041.72
B0008,glass_double,m2,135.64,4069.2
B0009,insulation_min_wool,kg,30331.8,45497.7
B0009,insulation_pir,kg,30331.8,115260.84
B0009,concrete_c30,m3,8838.4,2916672.0
B0009,brick,kg,441920.0,97222.4
B0009,steel_rebar,kg,53030.4,100757.76
B0009,aluminium,kg,8838.4,70707.2
B0009,timber_glulam,kg,8838.4,1060.61
B0009,glass_double,m2,138.1,4143.0
B0010,insulation_min_wool,kg,21304.08,31956.12
B0010,insulation_pir,kg,21304.08,80955.5
B0010,concrete_c30,m3,5904.96,1948636.8
B0010,brick,kg,295248.0,64954.56
B0010,steel_rebar,kg,35429.76,67316.54
B0010,aluminium,kg,5904.96,47239.68
B0010,timber_glulam,kg,5904.96,708.6
B0010,glass_double,m2,123.02,3690.6
B0011,insulation_min_wool,kg,28707.48,43061.22
B0011,insulation_pir,kg,28707.48,109088.42
B0011,concrete_c30,m3,8264.96,2727436.8
B0011,brick,kg,413248.0,90914.56
B0011,steel_rebar,kg,49589.76,94220.54
B0011,aluminium,kg,8264.96,66119.68
B0011,timber_glulam,kg,8264.96,991.8
B0011,glass_double,m2,129.14,3874.2
B0012,insulation_min_wool,kg,24969.6,37454.4
B0012,insulation_pir,kg,24969.6,94884.48
B0012,concrete_c30,m3,6732.8,2221824.0
B0012,brick,kg,336640.0,74060.8
B0012,steel_rebar,kg,40396.8,76753.92
B0012,aluminium,kg,6732.8,53862.4
B0012,timber_glulam,kg,6732.8,807.94
B0012,glass_double,m2,168.32,5049.6
B0013,insulation_min_wool,kg,49516.8,74275.2
B0013,insulation_pir,kg,49516.8,188163.84
B0013,concrete_c30,m3,14594.4,4816152.0
B0013,brick,kg,729720.0,160538.4
B0013,steel_rebar,kg,87566.4,166376.16
B0013,aluminium,kg,14594.4,116755.2
B0013,timber_glulam,kg,14594.4,1751.33
B0013,glass_double,m2,202.7,6081.0
B0014,insulation_min_wool,kg,17591.04,26386.56
B0014,insulation_pir,kg,17591.04,66845.95
B0014,concrete_c30,m3,4097.28,1352102.4
B0014,brick,kg,204864.0,45070.08
B0014,steel_rebar,kg,24583.68,46708.99
B0014,aluminium,kg,4097.28,32778.24
B0014,timber_glulam,kg,4097.28,491.67
B0014,glass_double,m2,170.72,5121.6
B0015,insulation_min_wool,kg,22598.64,33897.96
B0015,insulation_pir,kg,22598.64,85874.83
B0015,concrete_c30,m3,5754.88,1899110.4
B0015,brick,kg,287744.0,63303.68
B0015,steel_rebar,kg,34529.28,65605.63
B0015,aluminium,kg,5754.88,46039.04
B0015,timber_glulam,kg,5754.88,690.59
B0015,glass_double,m2,179.84,5395.2
B0016,insulation_min_wool,kg,15151.2,22726.8
B0016,insulation_pir,kg,15151.2,57574.56
B0016,concrete_c30,m3,3660.0,1207800.0
B0016,brick,kg,183000.0,40260.0
B0016,steel_rebar,kg,21960.0,41724.0
B0016,aluminium,kg,3660.0,29280.0
B0016,timber_glulam,kg,3660.0,439.2
B0016,glass_double,m2,152.5,4575.0
B0017,insulation_min_wool,kg,26745.0,40117.5
B0017,insulation_pir,kg,26745.0,101631.0
B0017,concrete_c30,m3,7109.6,2346168.0
B0017,brick,kg,355480.0,78205.6
B0017,steel_rebar,kg,42657.6,81049.44
B0017,aluminium,kg,7109.6,56876.8
B0017,timber_glulam,kg,7109.6,853.15
B0017,glass_double,m2,177.74,5332.2
B0018,insulation_min_wool,kg,34599.72,51899.58
B0018,insulation_pir,kg,34599.72,131478.94
B0018,concrete_c30,m3,10000.64,3300211.2
B0018,brick,kg,500032.0,110007.04
B0018,steel_rebar,kg,60003.84,114007.3
B0018,aluminium,kg,10000.64,80005.12
B0018,timber_glulam,kg,10000.64,1200.08
B0018,glass_double,m2,156.26,4687.8
B0019,insulation_min_wool,kg,14802.48,22203.72
B0019,insulation_pir,kg,14802.48,56249.42
B0019,concrete_c30,m3,3826.56,1262764.8
B0019,brick,kg,191328.0,42092.16
B0019,steel_rebar,kg,22959.36,43622.78
B0019,aluminium,kg,3826.56,30612.48
B0019,timber_glulam,kg,3826.56,459.19
B0019,glass_double,m2,119.58,3587.4
B0020,insulation_min_wool,kg,14834.04,22251.06
B0020,insulation_pir,kg,14834.04,56369.35
B0020,concrete_c30,m3,3581.28,1181822.4
B0020,brick,kg,179064.0,39394.08
B0020,steel_rebar,kg,21487.68,40826.59
B0020,aluminium,kg,3581.28,28650.24
B0020,timber_glulam,kg,3581.28,429.75
B0020,glass_double,m2,149.22,4476.6
