building_id,retrofit_date,measure,capex_usd,estimated_savings_pct
B0001,2023-12-09T00:00:00,hvac_upgrade,118530.58,0.167
B0002,2021-08-23T00:00:00,solar_pv,61235.37,0.179
B0002,2021-10-22T00:00:00,insulation_wall,44784.25,0.283
B0003,2020-11-23T00:00:00,window_double_glazing,43898.26,0.066
B0003,2021-01-22T00:00:00,solar_pv,176455.5,0.265
B0004,2022-03-05T00:00:00,hvac_upgrade,75480.15,0.153
B0006,2014-08-27T00:00:00,insulation_roof,22630.3,0.07
B0006,2014-10-26T00:00:00,solar_pv,89314.34,0.274
B0008,2020-12-16T00:00:00,solar_pv,118614.47,0.182
B0008,2021-02-14T00:00:00,insulation_roof,26273.19,0.233
B0010,2015-08-13T00:00:00,hvac_upgrade,86231.76,0.167
B0012,2021-12-25T00:00:00,insulation_wall,32253.93,0.11
B0014,2015-12-08T00:00:00,insulation_wall,47928.95,0.113
B0016,2020-02-27T00:00:00,window_double_glazing,26372.18,0.07
B0017,2019-02-21T00:00:00,insulation_roof,12984.84,0.071
B0017,2019-04-22T00:00:00,window_double_glazing,19776.01,0.148
B0021,2021-09-11T00:00:00,lighting_led,23641.89,0.045
B0021,2021-11-10T00:00:00,hvac_upgrade,38954.95,0.177
B0022,2019-07-13T00:00:00,solar_pv,112531.5,0.198
B0023,2016-09-01T00:00:00,window_double_glazing,26575.03,0.068
B0024,2016-11-19T00:00:00,hvac_upgrade,100580.41,0.172
B0025,2020-02-16T00:00:00,insulation_wall,28692.17,0.115
B0025,2020-04-16T00:00:00,hvac_upgrade,73725.06,0.291
B0026,2018-04-10T00:00:00,lighting_led,13678.08,0.054
B0026,2018-06-09T00:00:00,solar_pv,91135.75,0.227
B0027,2022-04-26T00:00:00,hvac_upgrade,98539.68,0.145
B0027,2022-06-25T00:00:00,insulation_wall,41658.62,0.285
B0028,2023-03-05T00:00:00,hvac_upgrade,64938.82,0.152
B0028,2023-05-04T00:00:00,solar_pv,79072.53,0.358
B0029,2021-04-17T00:00:00,lighting_led,20699.98,0.042
B0029,2021-06-16T00:00:00,lighting_led,18242.64,0.083
