building_id,month,electricity_kwh,gas_kwh,total_kwh,energy_intensity_kwh_m2,rating_label,period
B0001,01,11391.5,4882.1,16273.6,18.23,A,pre
B0001,02,10051.3,4307.7,14359.1,16.09,A,pre
B0001,03,10721.4,4594.9,15316.3,17.16,A,pre
B0001,04,10989.5,4709.8,15699.2,17.59,A,pre
B0001,05,11391.5,4882.1,16273.6,18.23,A,pre
B0001,06,11793.6,5054.4,16848.0,18.88,A,pre
B0001,07,12195.6,5226.7,17422.3,19.52,A,pre
B0001,08,12731.7,5456.4,18188.1,20.38,A,pre
B0001,09,12329.6,5284.1,17613.8,19.73,A,pre
B0001,10,11525.5,4939.5,16465.1,18.45,A,pre
B0001,11,11525.5,4939.5,16465.1,18.45,A,pre
B0001,12,11391.5,4882.1,16273.6,18.23,A,pre
B0002,01,44206.1,18945.5,63151.6,10.62,A,pre
B0002,02,39005.4,16716.6,55722.0,9.37,A,pre
B0002,03,41605.8,17831.0,59436.8,10.0,A,pre
B0002,04,42645.9,18276.8,60922.7,10.25,A,pre
B0002,05,44206.1,18945.5,63151.6,10.62,A,pre
B0002,06,45766.3,19614.1,65380.5,11.0,A,pre
B0002,07,47326.6,20282.8,67609.4,11.38,A,pre
B0002,08,49406.8,21174.4,70581.2,11.87,A,pre
B0002,09,47846.6,20505.7,68352.3,11.5,A,pre
B0002,10,44726.2,19168.4,63894.6,10.75,A,pre
B0002,11,44726.2,19168.4,63894.6,10.75,A,pre
B0002,12,44206.1,18945.5,63151.6,10.62,A,pre
B0003,01,15836.8,6787.2,22624.0,14.03,A,pre
B0003,02,13973.7,5988.7,19962.4,12.38,A,pre
B0003,03,14905.2,6388.0,21293.2,13.2,A,pre
B0003,04,15277.9,6547.7,21825.5,13.53,A,pre
B0003,05,15836.8,6787.2,22624.0,14.03,A,pre
B0003,06,16395.8,7026.8,23422.5,14.52,A,pre
B0003,07,16954.7,7266.3,24221.0,15.02,A,pre
B0003,08,17700.0,7585.7,25285.7,15.68,A,pre
B0003,09,17141.0,7346.1,24487.2,15.18,A,pre
B0003,10,16023.1,6867.1,22890.2,14.19,A,pre
B0003,11,16023.1,6867.1,22890.2,14.19,A,pre
B0003,12,15836.8,6787.2,22624.0,14.03,A,pre
B0004,01,30975.7,13275.3,44251.0,18.23,A,pre
B0004,02,27331.5,11713.5,39045.0,16.09,A,pre
B0004,03,29153.6,12494.4,41648.0,17.16,A,pre
B0004,04,29882.4,12806.8,42689.2,17.59,A,pre
B0004,05,30975.7,13275.3,44251.0,18.23,A,pre
B0004,06,32069.0,13743.8,45812.8,18.88,A,pre
B0004,07,33162.2,14212.4,47374.6,19.52,A,pre
B0004,08,34619.9,14837.1,49457.0,20.38,A,pre
B0004,09,33526.6,14368.6,47895.2,19.73,A,pre
B0004,10,31340.1,13431.5,44771.6,18.45,A,pre
B0004,11,31340.1,13431.5,44771.6,18.45,A,pre
B0004,12,30975.7,13275.3,44251.0,18.23,A,pre
B0005,01,49116.1,21049.7,70165.8,10.63,A,pre
B0005,02,43337.7,18573.3,61911.0,9.38,A,pre
B0005,03,46226.9,19811.5,66038.4,10.0,A,pre
B0005,04,47382.6,20306.8,67689.4,10.25,A,pre
B0005,05,49116.1,21049.7,70165.8,10.63,A,pre
B0005,06,50849.6,21792.7,72642.2,11.0,A,pre
B0005,07,52583.1,22535.6,75118.7,11.38,A,pre
B0005,08,54894.4,23526.2,78420.6,11.87,A,pre
B0005,09,53160.9,22783.2,75944.2,11.5,A,pre
B0005,10,49693.9,21297.4,70991.3,10.75,A,pre
B0005,11,49693.9,21297.4,70991.3,10.75,A,pre
B0005,12,49116.1,21049.7,70165.8,10.63,A,pre
B0006,01,25562.4,10955.3,36517.7,8.08,A,pre
B0006,02,22555.1,9666.5,32221.5,7.12,A,pre
B0006,03,24058.7,10310.9,34369.6,7.6,A,pre
B0006,04,24660.2,10568.7,35228.9,7.79,A,pre
B0006,05,25562.4,10955.3,36517.7,8.08,A,pre
B0006,06,26464.6,11342.0,37806.6,8.36,A,pre
B0006,07,27366.8,11728.6,39095.5,8.64,A,pre
B0006,08,28569.8,12244.2,40813.9,9.03,A,pre
B0006,09,27667.6,11857.5,39525.1,8.74,A,pre
B0006,10,25863.1,11084.2,36947.4,8.17,A,pre
B0006,11,25863.1,11084.2,36947.4,8.17,A,pre
B0006,12,25562.4,10955.3,36517.7,8.08,A,pre
B0007,01,51065.3,21885.1,72950.4,10.62,A,pre
B0007,02,45057.6,19310.4,64368.0,9.38,A,pre
B0007,03,48061.4,20597.8,68659.2,10.0,A,pre
B0007,04,49263.0,21112.7,70375.7,10.25,A,pre
B0007,05,51065.3,21885.1,72950.4,10.62,A,pre
B0007,06,52867.6,22657.5,75525.1,11.0,A,pre
B0007,07,54669.9,23430.0,78099.8,11.38,A,pre
B0007,08,57073.0,24459.8,81532.8,11.88,A,pre
B0007,09,55270.7,23687.4,78958.1,11.5,A,pre
B0007,10,51666.0,22142.6,73808.6,10.75,A,pre
B0007,11,51666.0,22142.6,73808.6,10.75,A,pre
B0007,12,51065.3,21885.1,72950.4,10.62,A,pre
B0008,01,32282.3,13835.3,46117.6,10.63,A,pre
B0008,02,28484.4,12207.6,40692.0,9.38,A,pre
B0008,03,30383.4,13021.4,43404.8,10.0,A,pre
B0008,04,31142.9,13347.0,44489.9,10.25,A,pre
B0008,05,32282.3,13835.3,46117.6,10.63,A,pre
B0008,06,33421.7,14323.6,47745.3,11.0,A,pre
