building_id,month,electricity_kwh,gas_kwh,total_kwh,energy_intensity_kwh_m2,rating_label,period
B0001,01,9113.2,3905.7,13018.9,14.59,A,post
B0001,02,8041.1,3446.2,11487.2,12.87,A,post
B0001,03,8577.1,3675.9,12253.1,13.73,A,post
B0001,04,8791.6,3767.8,12559.4,14.07,A,post
B0001,05,9113.2,3905.7,13018.9,14.59,A,post
B0001,06,9434.9,4043.5,13478.4,15.1,A,post
B0001,07,9756.5,4181.4,13937.9,15.62,A,post
B0001,08,10185.4,4365.2,14550.5,16.3,A,post
B0001,09,9863.7,4227.3,14091.0,15.79,A,post
B0001,10,9220.4,3951.6,13172.0,14.76,A,post
B0001,11,9220.4,3951.6,13172.0,14.76,A,post
B0001,12,9113.2,3905.7,13018.9,14.59,A,post
B0002,01,35364.9,15156.4,50521.3,8.5,A,post
B0002,02,31204.3,13373.3,44577.6,7.5,A,post
B0002,03,33284.6,14264.8,47549.4,8.0,A,post
B0002,04,34116.7,14621.5,48738.2,8.2,A,post
B0002,05,35364.9,15156.4,50521.3,8.5,A,post
B0002,06,36613.1,15691.3,52304.4,8.8,A,post
B0002,07,37861.2,16226.2,54087.5,9.1,A,post
B0002,08,39525.5,16939.5,56465.0,9.5,A,post
B0002,09,38277.3,16404.6,54681.9,9.2,A,post
B0002,10,35781.0,15334.7,51115.6,8.6,A,post
B0002,11,35781.0,15334.7,51115.6,8.6,A,post
B0002,12,35364.9,15156.4,50521.3,8.5,A,post
B0003,01,12669.4,5429.8,18099.2,11.22,A,post
B0003,02,11178.9,4791.0,15969.9,9.9,A,post
B0003,03,11924.2,5110.4,17034.5,10.56,A,post
B0003,04,12222.3,5238.1,17460.4,10.82,A,post
B0003,05,12669.4,5429.8,18099.2,11.22,A,post
B0003,06,13116.6,5621.4,18738.0,11.62,A,post
B0003,07,13563.8,5813.0,19376.8,12.01,A,post
B0003,08,14160.0,6068.6,20228.5,12.54,A,post
B0003,09,13712.8,5876.9,19589.7,12.14,A,post
B0003,10,12818.5,5493.6,18312.1,11.35,A,post
B0003,11,12818.5,5493.6,18312.1,11.35,A,post
B0003,12,12669.4,5429.8,18099.2,11.22,A,post
B0004,01,24780.6,10620.2,35400.8,14.59,A,post
B0004,02,21865.2,9370.8,31236.0,12.87,A,post
B0004,03,23322.9,9995.5,33318.4,13.73,A,post
B0004,04,23906.0,10245.4,34151.4,14.07,A,post
B0004,05,24780.6,10620.2,35400.8,14.59,A,post
B0004,06,25655.2,10995.1,36650.2,15.1,A,post
B0004,07,26529.8,11369.9,37899.7,15.62,A,post
B0004,08,27695.9,11869.7,39565.6,16.3,A,post
B0004,09,26821.3,11494.8,38316.2,15.79,A,post
B0004,10,25072.1,10745.2,35817.3,14.76,A,post
B0004,11,25072.1,10745.2,35817.3,14.76,A,post
B0004,12,24780.6,10620.2,35400.8,14.59,A,post
B0005,01,39292.8,16839.8,56132.6,8.5,A,post
B0005,02,34670.2,14858.6,49528.8,7.5,A,post
B0005,03,36981.5,15849.2,52830.7,8.0,A,post
B0005,04,37906.0,16245.4,54151.5,8.2,A,post
B0005,05,39292.8,16839.8,56132.6,8.5,A,post
B0005,06,40679.7,17434.1,58113.8,8.8,A,post
B0005,07,42066.5,18028.5,60094.9,9.1,A,post
B0005,08,43915.5,18820.9,62736.5,9.5,A,post
B0005,09,42528.7,18226.6,60755.3,9.2,A,post
B0005,10,39755.1,17037.9,56793.0,8.6,A,post
B0005,11,39755.1,17037.9,56793.0,8.6,A,post
B0005,12,39292.8,16839.8,56132.6,8.5,A,post
B0006,01,20449.9,8764.3,29214.2,6.46,A,post
B0006,02,18044.1,7733.2,25777.2,5.7,A,post
B0006,03,19247.0,8248.7,27495.7,6.08,A,post
B0006,04,19728.2,8454.9,28183.1,6.23,A,post
B0006,05,20449.9,8764.3,29214.2,6.46,A,post
B0006,06,21171.7,9073.6,30245.3,6.69,A,post
B0006,07,21893.5,9382.9,31276.4,6.92,A,post
B0006,08,22855.8,9795.3,32651.2,7.22,A,post
