timestamp,building_id,dry_bulb_C,relative_humidity_pct,global_horizontal_irradiance_W_m2,wind_speed_m_s,co2_outdoor_ppm,pm25_outdoor_ug_m3,tvoc_outdoor_ppb
2022-01-01T00:00:00,B0001,8.59,61.7,0.0,1.92,425.0,14.0,186.0
2022-01-01T01:00:00,B0001,12.0,55.3,91.4,3.81,427.0,2.0,112.0
2022-01-01T02:00:00,B0001,9.53,76.6,181.2,3.52,390.0,12.8,159.0
2022-01-01T03:00:00,B0001,12.18,63.1,267.9,0.62,426.0,19.4,147.0
2022-01-01T04:00:00,B0001,11.58,59.7,350.0,2.92,398.0,12.4,208.0
2022-01-01T05:00:00,B0001,15.09,59.2,426.1,3.59,411.0,7.6,137.0
2022-01-01T06:00:00,B0001,15.52,56.1,495.0,4.58,425.0,17.1,66.0
2022-01-01T07:00:00,B0001,15.72,48.2,555.3,5.51,418.0,28.0,81.0
2022-01-01T08:00:00,B0001,14.67,52.1,606.2,0.67,419.0,2.0,82.0
2022-01-01T09:00:00,B0001,16.9,48.7,646.7,3.43,435.0,3.2,42.0
2022-01-01T10:00:00,B0001,15.92,56.5,676.1,3.41,428.0,10.6,167.0
2022-01-01T11:00:00,B0001,17.35,64.0,694.0,4.2,431.0,7.7,32.0
2022-01-01T12:00:00,B0001,19.25,56.7,700.0,2.0,415.0,14.2,180.0
2022-01-01T13:00:00,B0001,19.3,48.6,694.0,2.51,383.0,12.8,62.0
2022-01-01T14:00:00,B0001,18.7,54.7,676.1,3.56,381.0,20.0,102.0
2022-01-01T15:00:00,B0001,16.93,47.8,646.7,2.66,411.0,13.6,183.0
2022-01-01T16:00:00,B0001,17.19,57.5,606.2,2.84,402.0,16.6,178.0
2022-01-01T17:00:00,B0001,16.32,64.4,555.3,4.98,423.0,10.3,114.0
2022-01-01T18:00:00,B0001,13.72,57.5,495.0,3.03,422.0,8.0,148.0
2022-01-01T19:00:00,B0001,12.14,72.9,426.1,1.68,443.0,15.0,80.0
2022-01-01T20:00:00,B0001,12.33,62.8,350.0,0.0,399.0,5.2,190.0
2022-01-01T21:00:00,B0001,11.63,53.0,267.9,3.6,371.0,12.5,132.0
2022-01-01T22:00:00,B0001,11.02,66.7,181.2,2.56,397.0,14.5,211.0
2022-01-01T23:00:00,B0001,10.34,60.3,91.4,1.55,399.0,23.1,193.0
2022-01-02T00:00:00,B0001,10.38,63.4,0.0,4.78,423.0,3.1,20.0
2022-01-02T01:00:00,B0001,8.44,73.2,91.4,5.54,434.0,9.4,100.0
2022-01-02T02:00:00,B0001,10.69,50.3,181.2,2.88,414.0,25.9,109.0
2022-01-02T03:00:00,B0001,10.26,70.3,267.9,2.28,437.0,3.6,218.0
2022-01-02T04:00:00,B0001,12.07,59.1,350.0,5.57,413.0,18.0,37.0
2022-01-02T05:00:00,B0001,10.99,67.9,426.1,4.66,417.0,15.6,50.0
2022-01-02T06:00:00,B0001,12.54,62.3,495.0,3.36,404.0,21.0,29.0
2022-01-02T07:00:00,B0001,16.98,63.7,555.3,3.56,442.0,6.0,83.0
2022-01-02T08:00:00,B0001,18.12,57.3,606.2,3.93,433.0,14.2,68.0
2022-01-02T09:00:00,B0001,18.01,47.5,646.7,3.46,423.0,15.2,112.0
2022-01-02T10:00:00,B0001,17.02,48.2,676.1,3.62,389.0,6.3,65.0
2022-01-02T11:00:00,B0001,17.83,52.2,694.0,3.91,450.0,8.3,194.0
2022-01-02T12:00:00,B0001,16.36,58.4,700.0,1.28,435.0,5.9,202.0
2022-01-02T13:00:00,B0001,17.56,60.8,694.0,4.21,429.0,19.2,171.0
2022-01-02T14:00:00,B0001,17.34,51.3,676.1,3.86,443.0,8.5,20.0
2022-01-02T15:00:00,B0001,15.68,56.9,646.7,4.3,428.0,12.7,157.0
2022-01-02T16:00:00,B0001,17.3,56.6,606.2,2.88,473.0,2.0,89.0
2022-01-02T17:00:00,B0001,16.55,66.8,555.3,0.46,422.0,4.0,90.0
2022-01-02T18:00:00,B0001,13.11,62.5,495.0,6.89,435.0,2.0,136.0
2022-01-02T19:00:00,B0001,12.4,63.3,426.1,3.16,415.0,18.1,182.0
2022-01-02T20:00:00,B0001,10.55,85.0,350.0,5.38,443.0,2.0,54.0
