y_m,u_l_m_per_s
0.0,0.0
0.0007936508,0.9108287
0.0015873016,1.0112951
0.0023809525,1.0700033
0.0031746032,1.11165
0.003968254,1.1439517
0.004761905,1.1703432
0.0055555557,1.1926566
0.0063492064,1.2119851
0.007142857,1.2290341
0.007936508,1.2442847
0.008730159,1.2580806
0.00952381,1.2706752
0.010317461,1.2822611
0.011111111,1.292988
0.011904762,1.3029743
0.012698413,1.3123161
0.013492064,1.3210913
0.014285714,1.3293647
0.015079365,1.3371906
0.015873017,1.3446152
0.016666668,1.3516773
0.017460318,1.3584108
0.018253969,1.364845
0.01904762,1.3710054
0.01984127,1.3769141
0.020634921,1.3825912
0.021428572,1.388054
0.022222223,1.393318
0.023015874,1.3983973
0.023809524,1.4033045
0.024603175,1.4080505
0.025396826,1.3879797
0.026190476,1.3432063
0.026984127,1.2984327
0.027777778,1.2536591
0.028571429,1.2088857
0.02936508,1.1641121
0.03015873,1.1193385
0.030952381,1.074565
0.031746034,1.0297915
0.032539684,0.9850179
0.033333335,0.9402444
0.034126986,0.89547086
0.034920637,0.8506973
0.035714287,0.80592376
0.036507938,0.7611502
0.03730159,0.71637666
0.03809524,0.67160314
0.03888889,0.62682956
0.03968254,0.58205605
0.04047619,0.5372825
0.041269843,0.49250895
0.042063493,0.44773543
0.042857144,0.40296188
0.043650795,0.35818833
0.044444446,0.31341478
0.045238096,0.26864126
0.046031747,0.22386771
0.046825398,0.17909417
0.04761905,0.13432063
0.0484127,0.08954708
0.04920635,0.04477354
0.05,0.0
